rank	username	minecraft:picked_up/minecraft:crimson_button
1	thewindmillman	110
2	noam464	65
3	EcksD	64
4	Legendosh	36
5	Rebytre	28
6	AdmiralSmoke	23
7	Mattesco	21
8	BobDeBouwer1337	19
9	LeonelSalamanca	18
10	The_Cruncy	13
10	Fuad_R	13
12	beeperbeeper5	12
13	Jonafrog99	10
13	gustarlep	10
15	luseis	9
16	Jackattack53	7
17	12Magner05	6
17	shadowthemonkey	6
19	Lord_Jord	5
20	pintsizedrogue	3
21	Awyrlas	2
21	icim	2
23	Mr_Byzantine	1
23	joethahobo	1
23	TheSecondLord	1
23	kekhon	1
23	gcaisawesome	1
23	Spacewardharpy7	1
23	_Mythic____	1
