rank	username	minecraft:picked_up/minecraft:muddy_mangrove_roots
1	Enderxz3	932
2	corvidpartyfor6	244
3	Nicserso	243
4	Apollo_993	159
5	oscminus	99
6	Mattesco	80
7	mihimihimihi	36
8	pintsizedrogue	23
9	500am	17
10	12Magner05	13
10	YungMaki	13
12	Mr_Byzantine	12
13	Krowuss	11
14	DinoDoctor_	9
15	TheDankPlatypus	7
16	EveryonesUncle	6
16	Kowcio_	6
18	Hyp3rion_	5
18	luseis	5
20	PazinGaming	4
20	T045RTY	4
20	jessewegottacook	4
20	AlexxO_o	4
20	NATE_the_HALO	4
25	Merv__	3
25	EMC_	3
25	Jackattack53	3
28	ImpavidArcher	2
28	Di_infiri	2
28	hanaryheatwave	2
28	Jimb0nat0r	2
32	rarrq	1
32	Blackberry1310	1
32	thewindmillman	1
32	ItsDeltaMC	1
32	PlasticOtari	1
