rank	username	minecraft:picked_up/minecraft:soul_campfire
1	500am	103
2	Shogunite	33
3	EveryonesUncle	26
4	oxfordschool	21
5	Mahoose	20
6	CalebDHawk	14
7	12Magner05	13
8	UncreativeArtist	11
9	kekhon	7
10	Arceus1975	6
11	TheSecondLord	5
11	noam464	5
11	Dusk_95	5
11	fffMike	5
11	PlasticOtari	5
16	Masssonnn	4
16	Marbz_	4
16	ZeroKraken	4
19	Historical_Sand	3
19	beeperbeeper5	3
19	HesDemonPants	3
22	_Dean_123	2
22	El_Jalapeno	2
22	Eraxa	2
25	ImpavidArcher	1
25	RebelAndroid	1
25	ShedJr_	1
25	rarrq	1
25	jiggywraps	1
25	Fullut	1
25	HellsSponge	1
25	Spacewardharpy7	1
25	Enderslayerxz3	1
25	Smoke____	1
