rank	username	minecraft:picked_up/minecraft:leather_helmet
1	Mahoose	51
1	thewindmillman	51
3	AdmiralSmoke	49
4	Soplight	42
5	Spacewardharpy7	40
6	joethahobo	39
6	beeperbeeper5	39
8	Hyp3rion_	37
9	Smashic	36
10	luseis	34
11	FreakGenius	31
12	pintsizedrogue	29
13	teslawolf38	28
14	El_Jalapeno	27
15	Blackberry1310	26
15	Xclax101	26
17	Kowcio_	25
17	PlasticOtari	25
19	rarrq	23
19	sp00ky_ghost977	23
19	Ezekson	23
22	eitanzaki	21
22	gcaisawesome	21
22	Akoot_	21
22	StinkyDiplomat	21
26	Di_infiri	20
26	TechnoNinja64	20
28	ShedJr_	19
28	ConnorDanky_	19
30	Fullut	18
30	Legendosh	18
32	_Virify_	17
32	kekhon	17
34	bloodbiter	15
34	SpacesickPrism	15
36	4774	14
36	Winklepicker279	14
36	PigDab	14
36	masskedman	14
36	Quotary	14
41	jessewegottacook	13
41	noam464	13
41	TheShyPig	13
41	EveryonesUncle	13
41	fffMike	13
46	EMC_	12
46	Huwulling	12
46	SingedBread	12
46	YungMaki	12
46	Kyrum2169	12
46	Enderxz3	12
52	RebelAndroid	11
52	Lez_	11
52	Kakolbus	11
52	lordpipe	11
56	Zythose	10
56	Rebytre	10
56	SvenskaHugo	10
59	Frozil20	9
59	SteveCraftBlocks	9
59	500am	9
59	Kamflame10	9
59	himak1	9
59	Dakar_	9
59	HellsSponge	9
59	NameGenerat0r	9
59	Blaiku	9
59	Hisiste	9
59	pixelviolin	9
59	Steelynan	9
59	xolstoi	9
72	Cowison	8
72	Merv__	8
72	TheSecondLord	8
72	selectrix	8
72	NomadicRobin_	8
72	censorsheep	8
72	Segotep999	8
72	djancak	8
80	CoffeeNoir	7
80	ItsHydroMC	7
80	excelsionprime	7
80	whoaluv	7
80	Snowflowe	7
80	Katsuragi0243218	7
80	obzii	7
80	00000000-0000-0000-0009-01ff0c3e5e4f	7
88	SmashingPump	6
88	ImpavidArcher	6
88	fr0stss	6
88	Valoth	6
88	cheerytomato	6
88	Saucepeh	6
88	m_be9	6
88	Touched_Bread	6
88	Jackattack53	6
88	Skylord_Luke	6
88	Werbe	6
88	FishyBoy3811	6
88	LeonelSalamanca	6
88	Deathkob	6
88	Tyrannosplart	6
88	SkateboardR6	6
88	Eraxa	6
88	xzvu	6
88	SammiWolfGirl	6
88	Kubeusz2010	6
108	ECstardust	5
108	Sleek_Storm_721	5
108	T045RTY	5
108	Prismyst	5
108	Crowman1	5
108	Enigma0251	5
108	Kkanot	5
108	r123moore	5
108	Arceus1975	5
108	ooga47	5
108	KeruNatsema	5
108	AlphaWolfPlaysMC	5
108	Gryglu583	5
108	Fildyr	5
108	ItsDeltaMC	5
108	bloomkieren	5
108	_i_ERROR_i_	5
108	CalebDHawk	5
108	Skippeh	5
108	EcksD	5
108	jnp_gaming	5
129	Mr_Byzantine	4
129	q_wq	4
129	KingFaenor	4
129	I_Am_Mushkin	4
129	KarlKaek	4
129	Killercatty78	4
129	SyntheticSurgeon	4
129	Jackster03	4
129	H72l9w	4
129	G1ldor	4
129	mwrty	4
129	hcb238	4
129	Kubelz	4
129	platinumzero	4
129	XboxPanda	4
129	John6970	4
129	breadbowlgamer	4
129	shadowthemonkey	4
129	yheece	4
129	MyNameIsJobo	4
129	PuFY	4
129	IamCL4SSY	4
129	Lord_Jord	4
129	Lord_Zacler	4
129	Nycteus_	4
129	monky_irl	4
129	Ze_BaronKrigler	4
129	SSytex_X	4
129	Spenduh	4
129	mawileite	4
129	Eczbek	4
129	skrongus	4
129	diggydog67	4
162	MunkaKris	3
162	Groovy_MoonBird	3
162	k_ce	3
162	NatalieTW	3
162	CLG_Kata	3
162	Creativebuilder2	3
162	TooManyDuck	3
162	jimintyy	3
162	ZaneABrain	3
162	Myszoaz	3
162	Historical_Sand	3
162	SquadMonster	3
162	jushykins	3
162	BobDeBouwer1337	3
162	12Magner05	3
162	Tiberonus	3
162	MattieHD	3
162	thescout7	3
162	mimbo1211	3
162	ZeroAbyssTTV	3
162	CollinMH06	3
162	legal_tax_evader	3
162	Doom_melon	3
162	burbankbuilder28	3
162	DaviusMaximoose	3
162	LAVA129	3
162	Krowuss	3
162	TheWildMateo	3
162	Onennon	3
162	F_Uhre	3
162	J4k__	3
162	LilLizardWizard	3
162	lizardfightclub	3
162	KliBeast21	3
162	wezzzi	3
162	420BreadLizard	3
162	TheSeismicDuck	3
162	KlausVonStiglitz	3
162	jambvds	3
162	Soap_Bender	3
162	_Karmaa	3
162	AstreaTSS	3
162	MAns_44	3
162	Blu3beast	3
162	fluddd	3
162	wwwwinnebagoooo	3
162	Vorlice	3
162	_Meow_Mix	3
162	Druid95	3
162	MakeHistory157	3
162	UCP_TheKingK	3
162	__tomato	3
162	UltraZombie	3
162	MilleGrug	3
162	Njensen7	3
162	KingMatthew506	3
162	Hermanni__	3
162	laron58	3
162	TheBananaKat	3
162	smogfrog	3
162	Sral7	3
223	MuffinManzz	2
223	Bandito_Roamer	2
223	PhantomsGhost_	2
223	fanofbands101	2
223	LittleBug562	2
223	BPTY4618	2
