rank	username	minecraft:picked_up/minecraft:potato
1	PhantomsGhost_	60286
2	noam464	58850
3	Lez_	41381
4	thewindmillman	37336
5	thescout7	37169
6	LordAurum	32963
7	youhjjhhhjj	28418
8	kekhon	23420
9	SpacesickPrism	22151
10	Di_infiri	21837
11	jnp_gaming	20394
12	eviltunix	19367
13	Prodiginus	18908
14	Snowflowe	18531
15	Blaiku	18172
16	joethahobo	18102
17	FreakGenius	17839
18	AdmiralSmoke	17837
19	bloodbiter	17437
20	TechnoNinja64	17034
21	TheShyPig	16523
22	thgrocks	14907
23	Enderxz3	14187
24	EMC_	12933
25	MightyWertu	12658
26	The11thDoctor	12500
27	pintsizedrogue	11174
28	HellsSponge	11062
29	Blackberry1310	11000
30	Mr_Byzantine	10876
31	fade_emerge78823	9873
32	Voxin2K	8518
33	eitanzaki	7794
34	luseis	7109
35	Racengan	7042
36	UrbanPlanningEx	7036
37	Skippeh	6911
38	Kim_Jong_eel	6901
39	Manaateee	6662
40	Hiryu27	6417
41	wezzzi	6169
42	CoffeeNoir	6145
43	Soplight	6122
44	Airem_Core	6071
45	Dakar_	5837
46	RadarHz	5828
47	Katsuragi0243218	5655
48	Blu3beast	5618
49	PegLegPete93	5334
50	PigDab	5259
51	coobert42	4790
52	calamariclam_I	4602
53	Huwulling	4579
54	MineMaster0012	4475
55	beeperbeeper5	4385
56	diggydog67	4373
57	Ezekson	4368
58	slkiey	4255
59	Merv__	4191
60	ChampPog_	4148
61	Werbe	4139
62	Bumpy419	4083
63	ADEXTV	4061
64	ProfessorBee	3893
65	livingdaydreams	3864
66	Xalithia	3600
67	Iagoku	3461
68	Kubeusz2010	3457
69	El_Jalapeno	3445
70	Hyp3rion_	3408
71	SaucyDark	3376
72	q_wq	3374
72	Tolhart	3374
74	Kakolbus	3353
75	eiC_	3341
76	JESS_THE_RERE	3304
77	himak1	3263
78	NormanFetus	3201
79	Groovy_MoonBird	3141
80	Akoot_	3043
81	RebelAndroid	3017
81	ooga47	3017
83	benediktine1	3010
84	Lord_Jord	2974
85	KarlKaek	2919
86	Rumpletaezer	2882
87	Frozil20	2731
88	TooManyDuck	2707
89	m_be9	2523
90	TheSecondLord	2520
91	RatatJuice	2455
92	SvenskaHugo	2454
93	UncreativeArtist	2444
94	Zythose	2399
95	Warlord324	2386
96	H72l9w	2369
97	mwrty	2341
98	prizm_	2336
99	mariominejedi	2333
100	djancak	2311
101	SammiWolfGirl	2277
102	TheSeismicDuck	2238
103	ARandomHedge	2233
104	ewsophie	2220
105	_Virify_	2219
106	CliffEmAll	2200
107	Legendosh	2133
108	Mahoose	2122
109	sp00ky_ghost977	2100
110	NebulousBadger	2054
111	emrekn	2050
112	ReflexCode	2025
113	Joestra	2005
114	Bandito_Roamer	2000
115	Fullut	1980
116	legal_tax_evader	1959
117	NYJ	1951
118	SSytex_X	1918
119	Spacewardharpy7	1886
120	Xclax101	1780
121	Ossem	1778
122	CharlieButt	1769
123	Smashic	1766
124	ItsMrRamen	1763
125	Ryker	1693
126	BumbleBeever	1691
127	Kateesaur	1689
128	RefluxRatio	1678
129	Hoid_the_Roamer	1629
130	natajimi	1594
131	Frxnkz	1569
132	Ssor69	1550
133	MAns_44	1546
134	rarrq	1503
135	OfficerAnvil	1494
136	smogfrog	1462
137	6king6colt6	1437
138	Crowman1	1435
139	Powowowow	1386
140	__tomato	1359
141	Tiktola01	1356
142	NameGenerat0r	1350
143	rotten_mango	1345
144	excelsionprime	1341
145	SlayerCrypto	1334
146	ApophisNova	1291
146	MyNamaSheff	1291
148	Lutres_	1264
149	AJplaysMC_	1250
150	MattieHD	1246
151	dopplexd	1238
152	TastyPorkchop	1237
153	balin55	1235
154	GingerNeutron	1231
155	The_slideV3	1225
156	rachcl	1199
157	WYFYoyo	1191
