rank	username	minecraft:picked_up/minecraft:spruce_stairs
1	EcksDofficial	3973
2	EveryonesUncle	3909
3	rarrq	3631
4	EMC_	2647
5	pintsizedrogue	2276
6	Ezekson	1906
7	TheShyPig	1667
8	kekhon	1654
9	Onennon	1577
10	m_be9	1507
11	burbankbuilder28	1506
12	Snowflowe	1469
13	KarlKaek	1397
14	xxPipperDipperxx	1385
15	Skylord_Luke	1276
16	Di_infiri	1205
17	Legendosh	1196
18	Mahoose	1162
19	Eraxa	1109
20	Meatlaugh	1101
21	_Karmaa	1061
22	TheSecondLord	1052
23	500am	1046
24	ApophisNova	1006
24	MyNamaSheff	1006
26	PlasticOtari	988
27	Winklepicker279	901
28	Freak_Genius	900
29	Akoot_	851
30	Kakolbus	842
31	Steelynan	810
32	thescout7	779
33	RodSerlingCringe	764
34	Historical_Sand	757
35	DC_XII	738
36	lcvezra	734
37	_Dean_123	711
38	HellsSponge	704
39	El_Jalapeno	699
40	beeperbeeper5	680
41	Rumpletaezer	671
42	Kowcio_	670
43	Blackberry1310	659
44	RatatJuice	642
45	Inchef	608
46	Barlycorn	592
47	Blu3beast	568
48	iHuntWeeaboos	555
49	ImpavidArcher	554
50	Fullut	538
50	BreadBacon	538
52	Groundler	531
53	Deathkob	520
54	Chromary	515
55	Arceus1975	513
55	Racengan	513
57	MyNameIsJobo	502
58	Ardennes	501
59	Bumpy419	495
60	Lez_	482
61	diamondgolem35	463
62	oxfordschool	447
63	Jiminie	425
64	Inbefour	415
65	xorompole	414
66	Enderslayerxz3	408
67	Dusk_95	393
68	Zythose	383
69	Natty	375
70	Frozil20	361
70	Smoke____	361
72	joethahobo	359
73	SuperPooch06	358
74	Soplight	355
75	Kkanot	352
76	fkGrim	345
77	SaucyDark	343
78	set67	342
79	CSG_Haru	341
80	Touched_Bread	322
81	BlueZabu	318
82	Merv__	311
82	AuroraSkies	311
84	Drlzyy	307
85	AvaRosey	304
86	Tommhh	303
87	Skippeh	297
88	Ze_BaronKrigler	291
89	TheWildMateo	288
90	Rebytre	279
90	SvenskaHugo	279
92	RobotMinion101	274
93	heysushii	272
94	NoxxxxiS	267
95	Fildyr	257
96	youhjjhhhjj	254
96	PortlyPete69	254
98	TooManyDuck	237
99	fred870d	235
100	pappaberg	230
101	pixelviolin	223
101	Powowowow	223
103	prizm_	218
104	MakeHistory157	216
105	egglapras	215
105	ProfessorDiaper	215
107	gaziter10	213
108	UCP_TheKingK	211
109	Groovy_MoonBird	210
110	jacxhadow	208
110	seramalen	208
112	Luigipunch989	207
113	Lukeee33	205
114	Xclax101	203
115	YungMaki	200
116	SpacesickPrism	199
117	Werbe	193
118	Ailmast	192
119	12Magner05	190
120	BlancoFlaco	189
121	soundad	187
122	kinas45y5	185
123	MyNameIsDakar	182
124	hm947	180
125	monolu	179
126	FetteMutter	175
127	6king6colt6	174
128	krutas2000	173
129	Slapface522	169
130	H72l9w	167
130	yatsuta	167
132	Shavrin	164
133	Malorn_Aetherius	162
133	Lord_Doob	162
135	purpolepickle	161
136	Smashic	159
137	SammiWolfGirl	158
138	Jackster03	156
139	CoffeeNoir	155
139	Shogunite	155
141	_stets	154
141	NieToksikpl	154
141	ratglock	154
144	SkateboardR6	151
145	livingdaydreams	150
145	the_russell1611	150
147	ROY4LE	148
147	Jimi7hits	148
149	fffMike	146
149	Quotary	146
151	Swexti	145
151	Negriuke	145
151	layabout100	145
154	Dedalus36	144
155	G1ldor	142
156	Jackattack53	140
157	Spacewardharpy7	139
158	_Cloverbelle_	138
158	Quincannon	138
160	Huwulling	137
160	Myszoaz	137
162	zorin123	133
163	DarlaMeow	130
164	Cowison	126
165	Cryptacity	125
165	wwwwinnebagoooo	125
167	halfbakedlasagna	121
167	07shiny	121
169	claivin	120
170	NotMeanttoChange	119
170	kyouma777	119
172	okCrypto	118
173	eitanzaki	116
173	Queen_Jalapeno	116
173	BlossomOwO	116
176	DizzleJay311	115
177	Matyyy15	111
178	MilleGrug	110
179	ogoa	109
179	Toriankel	109
181	laron58	108
182	Megarboh	106
183	Sleepy_Time_	105
184	ProbablyNick	103
184	groofles	103
186	CarryLine	101
186	Fuad_R	101
186	Bloo2406	101
189	SaltineDream	98
189	Mr_Byzantine	98
189	obzii	98
192	2Stout	97
192	YoshikageBites	97
194	redikul	96
195	wrinkledpiglet	95
196	majlin16	94
197	LeauVox4921	93
197	Septemb3r	93
197	Sky_light_KING	93
197	Pootis11	93
201	Jimb0nat0r	92
202	noam464	89
202	JoCoLi	89
204	Hyp3rion_	88
204	epiksk8erduck	88
206	Prismyst	87
206	TheOuterCore	87
208	MinuteMira	86
208	LazySupport00	86
210	Jeteight	85
211	CliffEmAll	84
211	Snow_Blizzard	84
213	binman420	83
213	bitsplease	83
213	anbbang	83
216	MinttyFressh	82
216	Blaiku	82
216	VentiHilton	82
219	TechnoNinja64	81
220	XxCookiequeenxX	80
221	Masssonnn	79
222	ImDisconnected_	78
223	OfficerAnvil	77
224	TheFlfthHorseman	75
224	CrookedKaptain	75
224	SpicyMeatballs	75
224	Felenov	75
224	ToastedGamingYT	75
229	__tomato	74
229	ZoomieZoomie	74
231	roxycherry	73
231	StinkyDiplomat	73
231	Kubeusz2010	73
234	SquadMonster	72
234	SpaggeDR	72
234	Fuhrer_Teemo	72
234	ChocolatePepsi	72
234	drumine	72
234	ItsJunoIGuess	72
240	AlazelTheReal	71
240	NebulousBadger	71
240	Dreamdbr14	71
243	Incinere	70
244	Zoeyfortnite	68
245	Klerick	67
246	PazinGaming	65
246	Covalents	65
246	Choco_Spy	65
249	Froste131	64
249	Hermanni__	64
251	Kamflame10	63
252	CalebDHawk	62
253	Ravenbie	61
253	PigDab	61
255	HyperCave	60
255	Kiki_Majiki	60
257	PhantomsGhost_	59
257	elleparo	59
259	titanlax	58
259	MattieHD	58
259	regulator75	58
259	BlankityMcBlank	58
259	diggydog67	58
264	dabloons	57
264	intropass	57
264	M_Patata	57
264	Spenduh	57
268	alderban107	56
268	vandmanden	56
270	strongman951753	55
270	fr0stss	55
270	SlayerCrypto	55
270	RedcatVII	55
270	MasterNueve	55
270	_KuruKuru	55
276	IWorkAtIkea	54
277	_Bguette_	53
278	Foof13	52
278	numbra	52
278	T045RTY	52
278	whoaluv	52
278	1442	52
283	fr_ser	51
283	Soap_Bender	51
283	blackmage426	51
286	Roikdean	50
286	Steven1282598	50
286	bruh072	50
286	Ernnous	50
286	KingMatthew506	50
291	EfficientC52	49
291	The_SlideV5	49
293	JESS_THE_RERE	48
294	Sleek_Storm_721	47
294	Haadrada	47
296	Harotio	46
296	Ryker	46
296	YungJakobo	46
296	CarbonatedCola	46
300	Alteriity	45
