rank	username	minecraft:picked_up/minecraft:netherite_chestplate
1	eitanzaki	75
2	Hyp3rion_	25
3	FreakGenius	13
4	Wowful	11
5	thewindmillman	10
6	joethahobo	9
6	beeperbeeper5	9
6	Kowcio_	9
6	RealGroot	9
10	Esme_1	7
10	rarrq	7
10	set67	7
10	noam464	7
10	Jackattack53	7
10	luseis	7
16	Nicky_H225	6
16	SkateboardR6	6
16	Iamthejo	6
19	ApophisNova	5
19	MyNamaSheff	5
21	teslawolf38	4
21	ShedJr_	4
21	lorpus	4
21	LAVA129	4
21	Rebytre	4
21	PigDab	4
21	zToasty69z	4
21	Akoot_	4
21	Spacewardharpy7	4
21	Dusk_95	4
21	fffMike	4
21	Kubeusz2010	4
21	Enderxz3	4
21	MirielThePastor	4
35	pintsizedrogue	3
35	Frozil20	3
35	Myszoaz	3
35	MrKrabOnCoke	3
35	Da_Boss_Rani	3
35	TheSecondLord	3
35	kekhon	3
35	Inchef	3
35	r123moore	3
35	Mobstr	3
35	Chromary	3
35	The_Fulgurator	3
35	ItsDeltaMC	3
35	YungMaki	3
35	gusstationwerker	3
35	SammiWolfGirl	3
35	Biites	3
35	Smoke____	3
53	KarlKaek	2
53	Wooptey	2
53	Huwulling	2
53	Historical_Sand	2
53	Fullut	2
53	Smashic	2
53	paranoid_plant	2
53	olliebollie48	2
53	mimbo1211	2
53	M_Patata	2
53	fw3xywashere	2
53	NomadicRobin_	2
53	EveryonesUncle	2
53	LexMakesHistory	2
53	DarlaMeow	2
53	Fuad_R	2
53	weabis	2
53	Quaintster	2
53	El_Jalapeno	2
53	fluddd	2
53	Blaiku	2
53	Eraxa	2
53	pablopickle	2
53	jcool7	2
53	RadarHz	2
53	CattSoup	2
53	Legendosh	2
53	PlasticOtari	2
81	_Virify_	1
81	JohnnyFyes	1
81	FazeObama69	1
81	chipklip	1
81	Ev0luti0nz	1
81	dimondking777	1
81	6king6colt6	1
81	gren_ben	1
81	RebelAndroid	1
81	T045RTY	1
81	CoffeeNoir	1
81	NinjaKnifeKill	1
81	Mahoose	1
81	Swexti	1
81	Upstro10	1
81	NieToksikpl	1
81	Blackberry1310	1
81	Crowman1	1
81	Jakobo1337	1
81	SoftSix	1
81	Sloths_Ender	1
81	Kkanot	1
81	4774	1
81	mwrty	1
81	KGTV	1
81	SBean737	1
81	XboxPanda	1
81	prizm_	1
81	Winklepicker279	1
81	SuperPooch06	1
81	okCrypto	1
81	WET_WET_WET	1
81	Snowflowe	1
81	GUBBENZ	1
81	HAIRYCLOUD626	1
81	Werbe	1
81	Afinnity	1
81	F_Uhre	1
81	LeGold	1
81	AlexxO_o	1
81	TheShyPig	1
81	sammidk	1
81	PuFY	1
81	ZA07	1
81	groofles	1
81	Lord_Jord	1
81	CrumplyBanjo_	1
81	masskedman	1
81	aldplaysmc	1
81	shadowmanu8	1
81	Flrffy	1
81	CuzIm2Kev	1
81	EfficientC52	1
81	Blu3beast	1
81	the__Reaper4999	1
81	guitar_hero_101	1
81	OffWithTheirHead	1
81	MS_Pryxx	1
81	DolphinLaugh	1
81	MasterNueve	1
81	Mythic1130	1
81	SvenskaHugo	1
81	UCP_TheKingK	1
81	SC0RCHEDD	1
81	Soplight	1
81	_Yonk_	1
81	MilleGrug	1
81	alderban107	1
81	ConnorDanky_	1
81	2bolx_	1
81	xolstoi	1
81	Zcolt69	1
81	00000000-0000-0000-0009-01f431fe6dbe	1
81	00000000-0000-0000-0009-01f073f37a91	1
