rank	username	minecraft:picked_up/minecraft:exposed_cut_copper
1	beeperbeeper5	180
2	pixelviolin	9
3	Manaateee	8
4	Lez_	3
4	jessewegottacook	3
6	Mattesco	2
6	UCP_TheKingK	2
6	Steelynan	2
6	Jimb0nat0r	2
10	LeauVox4921	1
10	hanaryheatwave	1
10	luseis	1
10	Lutres_	1
10	MineMaster0012	1
10	PlasticOtari	1
