rank	username	minecraft:picked_up/minecraft:cut_red_sandstone_slab
1	loveseeker	85
2	kekhon	53
3	RobotMinion101	25
4	ImpavidArcher	20
5	Eraxa	18
5	Sral7	18
7	SuperPooch06	11
8	Freak_Genius	10
9	chipklip	9
10	Fullut	8
10	lordpipe	8
12	The_Quack_Dealer	5
13	ooga47	4
14	TheShyPig	2
14	Akoot_	2
16	500am	1
16	noam464	1
16	Smoke____	1
