rank	username	minecraft:picked_up/minecraft:blackstone_slab
1	thewindmillman	18129
2	Hyp3rion_	1733
3	hanaryheatwave	1679
4	luseis	1564
5	Mr_Byzantine	1063
6	ECstardust	815
7	fffMike	694
8	lordpipe	605
9	Enderxz3	452
10	pintsizedrogue	420
11	TheSecondLord	370
12	eitanzaki	337
13	AltnumberF4	256
14	Werbe	245
15	Yamdalorian	198
16	Mahoose	194
17	Di_infiri	193
18	Billious	144
19	fragrantmonke444	137
20	EveryonesUncle	115
21	set67	112
22	KarlKaek	103
22	HUNTERmaun	103
24	ogoa	94
25	beeperbeeper5	90
26	soundad	86
27	Lord_Jord	84
28	Jackattack53	78
29	Mattesco	75
30	Spenduh	67
31	pretty_pink_reno	64
32	Xalithia	62
33	Kowcio_	56
34	CalebDHawk	45
35	jacxhadow	44
36	rarrq	43
37	KartivGal	38
38	skroobiez	37
39	4774	33
40	joethahobo	32
40	Blackberry1310	32
40	noam464	32
43	BadenStayFly	31
44	FreakGenius	29
45	gustarlep	27
46	bigstankyy	25
46	Awyrlas	25
48	skitzxo	24
49	PazinGaming	21
50	Kubeusz2010	20
51	Snowflowe	18
51	emreknugrlu	18
53	_Dean_123	17
53	ApophisNova	17
53	Manaateee	17
53	MyNamaSheff	17
57	drunkeeez	16
57	PigDab	16
57	Eraxa	16
60	Apollo_993	15
60	HyperCave	15
62	ImpavidArcher	14
62	bl1ss0	14
62	cichy096	14
65	ShedJr_	12
65	lizardfightclub	12
67	lorpus	11
67	YungMaki	11
69	mwrty	9
69	EdGalbraith	9
71	titanlax	8
71	Druid95	8
73	Frozil20	7
73	T045RTY	7
73	TheKingK_	7
76	MattieHD	6
76	xxPipperDipperxx	6
76	Lord_Zacler	6
76	jnp_gaming	6
80	Paint	5
80	Fullut	5
80	U_Mos_	5
80	Fuad_R	5
80	MAns_44	5
80	wwwwinnebagoooo	5
80	Soplight	5
87	Marbz_	4
87	Arceus1975	4
87	Spacewardharpy7	4
87	EcksD	4
87	Legendosh	4
92	myaccountwasgone	3
92	RebelAndroid	3
92	Alteriity	3
92	500am	3
92	Quinasin	3
92	Blaiku	3
98	fanofbands101	2
98	Cowison	2
98	Huwulling	2
98	Hydro___________	2
98	kekhon	2
98	excelsionprime	2
98	Akoot_	2
98	pixelviolin	2
98	RadarHz	2
98	FishisTTV	2
108	ItsGrayWolf	1
108	Merv__	1
108	livingdaydreams	1
108	Historical_Sand	1
108	SquadMonster	1
108	ROY4LE	1
108	shadowthemonkey	1
108	Jonafrog99	1
108	Silvo614	1
108	Eczbox	1
108	Galactic_Badger	1
108	Jekyll	1
108	oscminus	1
108	TheShyPig	1
108	Wowful	1
108	Hahaa_0	1
108	Gryglu583	1
108	bluefragmentt	1
108	fluddd	1
108	Razzgriz	1
108	SammiWolfGirl	1
108	jcool7	1
108	Winston_Ingram	1
108	Eczbek	1
108	hermmm_	1
108	taengoos	1
108	trexgb	1
