rank	username	minecraft:picked_up/minecraft:netherite_block
1	EcksD	431
2	Enderxz3	46
3	TheSecondLord	35
4	thewindmillman	33
5	Huwulling	27
6	ZA07	21
7	ITDV	19
8	500am	14
9	Smashic	11
10	noam464	10
11	MilleGrug	8
12	Werbe	7
12	ConnorDanky_	7
12	xolstoi	7
15	RealGroot	6
15	gusstationwerker	6
15	PlasticOtari	6
18	Alteriity	5
18	beeperbeeper5	5
18	Hyp3rion_	5
18	lillips	5
18	UCP_TheKingK	5
23	Arlosaurus	4
24	Frozil20	3
24	12Magner05	3
26	ImpavidArcher	2
26	RebelAndroid	2
26	eitanzaki	2
26	joethahobo	2
26	jessewegottacook	2
26	set67	2
26	Awyrlas	2
26	Chromary	2
26	BronkerBrum	2
26	Skylord_Luke	2
26	PigDab	2
26	Hail_the_wombat	2
26	obzii	2
26	Hermanni__	2
40	_Virify_	1
40	PhantomsGhost_	1
40	Esme_1	1
40	BlancoFlaco	1
40	Flores991	1
40	Wooptey	1
40	Mahoose	1
40	_Dean_123	1
40	Fullut	1
40	Winklepicker279	1
40	gabriels543	1
40	_Buffo	1
40	Solar_Power	1
40	ApophisNova	1
40	SpaggeDR	1
40	Mattesco	1
40	halfwayup	1
40	TheTrueClipse	1
40	fw3xywashere	1
40	Deodorante	1
40	DarlaMeow	1
40	Quaintster	1
40	Nycteus_	1
40	Blaiku	1
40	TheTommyGun63	1
40	xzvu	1
40	SpacesickPrism	1
40	Njensen7	1
40	88Hazza88	1
40	Quotary	1
40	MyNamaSheff	1
40	Legendosh	1
