rank	username	minecraft:picked_up/minecraft:oxidized_copper
1	pintsizedrogue	1985
2	thewindmillman	706
3	iHuntWeeaboos	632
4	Jiminie	411
5	Marbz_	352
6	PlasticOtari	284
7	Enderslayerxz3	147
8	00000000-0000-0000-0009-01ff0c3e5e4f	138
9	diamondgolem35	114
10	mobunni	102
11	Miko_Fullbuster	88
12	shrimp_flips	85
13	ZoomieZoomie	59
14	sp00ky_ghost977	44
15	Spacewardharpy7	27
16	EMC_	24
17	Steelynan	13
18	Smoke____	12
19	Jimi7hits	3
19	CuzIm2Kev	3
19	EcksD	3
22	MinttyFressh	2
22	TerraVl	2
22	EveryonesUncle	2
25	RoskobiOne	1
25	Drlzyy	1
25	12Magner05	1
25	500am	1
25	NameGenerat0r	1
