rank	username	minecraft:picked_up/minecraft:cyan_terracotta
1	thewindmillman	92127
2	Jackattack53	53198
3	EcksD	8261
4	Hyp3rion_	5778
5	Kakolbus	4568
6	DarlaMeow	3455
7	Inbefour	2100
8	joethahobo	1993
9	Marbz_	1719
10	kekhon	1694
11	eitanzaki	1195
12	__tomato	1190
13	Lez_	1161
14	rarrq	1146
15	Fullut	1128
16	_Karmaa	964
17	noam464	928
18	Akoot_	884
19	TheShyPig	729
20	PazinGaming	720
21	weabis	614
22	cog	602
23	Blaiku	556
24	ConnorDanky_	546
25	PlasticOtari	509
26	Mahoose	506
27	lillips	497
28	Kowcio_	492
29	EveryonesUncle	473
30	epiksk8erduck	456
31	NameGenerat0r	423
32	Huwulling	408
33	mwrty	364
34	YungMaki	331
35	Ssor69	329
36	AuroraValkyrie	314
36	groofles	314
38	Frozil20	309
39	MightyWertu	294
40	Hiryu27	281
41	RobotMinion101	265
42	luseis	263
43	StarCookiees_	237
44	NinjaKnifeKill	226
45	pintsizedrogue	216
46	Mr_Byzantine	212
47	shadowthemonkey	208
48	Blackberry1310	205
49	skrongus	195
50	Manaateee	191
51	Karbl	185
52	AdmiralSmoke	181
53	Alteriity	179
54	titanlax	170
55	dopplexd	133
56	ImpavidArcher	132
56	Rebytre	132
58	beeperbeeper5	131
58	GooseWithin	131
60	oscminus	129
61	12Magner05	112
62	Ezekson	106
63	TheSecondLord	104
64	XxCookiequeenxX	101
65	Di_infiri	98
66	ediballbearings	95
67	Werbe	90
68	itburb	86
69	Krowuss	83
69	Blu3beast	83
71	ZoomieZoomie	80
72	SvenskaHugo	77
73	Sral7	68
74	KingEgg1	66
75	SuperPooch06	56
76	Snowflowe	52
76	Elastiq	52
78	CoffeeNoir	47
79	Rumpletaezer	45
80	CattSoup	41
81	Quotary	40
81	The_SlideV5	40
83	xxPipperDipperxx	39
83	audiocracked	39
85	Archsam	38
85	Steelynan	38
85	TechnoNinja64	38
88	Jimb0nat0r	37
89	thescout7	33
89	pixelviolin	33
91	MineMaster0012	30
92	r123moore	24
93	Merv__	19
93	SellyZ	19
93	Soplight	19
96	T045RTY	18
96	fluddd	18
98	_Bguette_	17
99	Lunkuku	15
100	KarlKaek	13
100	ApophisNova	13
100	Spenduh	13
100	MyNamaSheff	13
104	Mattesco	12
104	DemTechAlpha	12
104	SammiWolfGirl	12
107	ooga47	11
107	Mr_Teddiursa_K	11
109	silverpopcorn	10
109	Enderxz3	10
109	Zoeyfortnite	10
112	jessewegottacook	9
113	Eraxa	8
114	Segotep999	6
115	TheWildMateo	5
115	_3Stump_	5
117	k_ce	4
117	EMC_	4
117	ColeSnyder	4
117	PigDab	4
117	Legendosh	4
117	Empresario	4
123	hm947	3
123	BodaciousCake	3
123	ZaneABrain	3
123	himak1	3
123	gcaisawesome	3
123	Racengan	3
123	Kyrum2169	3
123	jnp_gaming	3
131	CLG_Kata	2
131	PhantomsGhost_	2
131	wickedword	2
131	MrAdamant209	2
131	Historical_Sand	2
131	NieToksikpl	2
131	Crowman1	2
131	SteveCraftBlocks	2
131	eviltunix	2
131	Xalithia	2
131	ROY4LE	2
131	theonlymagikarp	2
131	yheece	2
131	_Boipl_	2
131	Agent108	2
131	Jiminbub	2
131	Deathkob	2
131	__Auspicious	2
131	geekbird	2
131	BlankityMcBlank	2
131	Aryamanee	2
152	Bandito_Roamer	1
152	_Huge_Male_	1
152	abramgray	1
152	I_Am_Mushkin	1
152	Incinere	1
152	Batman922	1
152	Cloverhere	1
152	lorpus	1
152	Doom_melon	1
152	hanaryheatwave	1
152	Zythose	1
152	Skylord_Luke	1
152	The_Cruncy	1
152	Vetral1	1
152	Maenara	1
152	HellsSponge	1
152	claivin	1
152	stavgod	1
152	_Mythic____	1
152	xzvu	1
152	jcool7	1
152	Hermanni__	1
152	erkada	1
152	Skippeh	1
152	little_dUki	1
152	2blox_	1
152	xolstoi	1
152	00000000-0000-0000-0009-01f9cc38678e	1
