rank	username	minecraft:picked_up/minecraft:pitcher_plant
1	oscminus	119
2	TheSecondLord	58
3	Lez_	24
4	Kowcio_	23
5	EveryonesUncle	21
6	Enderxz3	19
7	j5ylim	14
8	Merv__	10
8	Krowuss	10
10	Steelynan	8
11	beeperbeeper5	7
11	Fullut	7
11	MAns_44	7
14	k_ce	5
14	CLG_Kata	5
14	luseis	5
14	lordpipe	5
18	eitanzaki	4
18	Smashic	4
20	_Huge_Male_	3
20	ECstardust	3
20	Alteriity	3
20	Jackattack53	3
24	CosmicStardustt	2
24	Jimb0nat0r	2
26	TooPure2	1
26	lorywithay	1
26	Huwulling	1
26	Archsam	1
26	SteveCraftBlocks	1
26	Lunkuku	1
