rank	username	minecraft:picked_up/minecraft:spruce_fence
1	beeperbeeper5	2572
2	pintsizedrogue	2030
3	El_Jalapeno	1325
4	Mahoose	1231
5	PlasticOtari	1163
6	_Dean_123	1035
7	kekhon	966
8	Eraxa	948
9	Onennon	912
10	Freak_Genius	897
11	m_be9	874
12	KarlKaek	868
13	diamondgolem35	864
14	Bumpy419	795
15	rarrq	784
16	burbankbuilder28	767
17	Arceus1975	737
18	Merv__	700
19	Werbe	696
20	Skylord_Luke	668
21	MyNameIsJobo	642
22	Kakolbus	635
23	fffMike	633
24	TheShyPig	614
25	Steelynan	592
26	RatatJuice	584
27	Legendosh	551
28	Di_infiri	545
29	Ezekson	532
30	_stets	521
31	ImpavidArcher	509
32	TheSecondLord	507
33	EcksDofficial	504
34	Meatlaugh	488
35	Historical_Sand	482
36	Enderslayerxz3	453
37	Dusk_95	427
38	Blackberry1310	417
39	Lez_	415
40	500am	399
41	Kkanot	374
42	Inchef	365
43	Comma__	362
44	ApophisNova	348
44	MyNamaSheff	348
46	Groovy_MoonBird	326
47	Lord_Jord	321
48	lcvezra	317
49	dopplexd	315
50	Snowflowe	307
51	ewpunk	295
52	Malorn_Aetherius	283
53	jacxhadow	282
54	TechnoNinja64	280
55	NoChumpChange	274
56	Jeteight	247
57	SvenskaHugo	245
58	ROY4LE	231
59	CSG_Haru	230
60	eitanzaki	227
61	thescout7	225
61	Kowcio_	225
63	John6970	224
64	Eczbek	219
65	RoskobiOne	218
65	awesomeoneme	218
65	MangoTheFish	218
65	Racengan	218
69	HellsSponge	217
70	Barlycorn	213
71	Jiminie	208
71	Soplight	208
73	EveryonesUncle	206
74	Jackster03	198
75	joethahobo	195
76	Tommhh	192
77	Chromary	184
78	Spenduh	180
78	Slapface522	180
80	PortlyPete69	176
81	KingMatthew506	173
82	seramalen	172
82	Akoot_	172
84	StinkyDiplomat	167
84	lolpoottoot	167
86	oxfordschool	166
87	WYFYoyo	165
88	YungMaki	157
89	iHuntWeeaboos	155
90	XxCookiequeenxX	154
91	Smoke____	153
92	chipklip	152
93	__Fanda__	150
94	MeetTheWollo	149
95	redikul	146
96	Soffbord	143
97	BlueZabu	141
97	SkateboardR6	141
99	MyNameIsDakar	138
100	sammidk	136
101	Flores991	134
102	Drlzyy	132
102	Hyp3rion_	132
104	Cryptacity	130
105	AuroraValkyrie	129
106	xxPipperDipperxx	128
107	SquadMonster	125
108	Jackattack53	122
109	Fullut	121
110	Rumpletaezer	116
110	CuzIm2Kev	116
112	MrKrabOnCoke	115
113	AvaRosey	114
114	Hanselhoof	113
114	AuroraSkies	113
114	TheOuterCore	113
117	Kyrum2169	110
118	MightyWertu	109
119	set67	105
120	ZoomieZoomie	104
121	krutas2000	102
122	Jimi7hits	100
123	EMC_	99
123	OfficerAnvil	99
125	Frozil20	98
126	fkGrim	97
126	fluddd	97
126	stahouo	97
129	monolu	96
130	Luigipunch989	94
131	T045RTY	93
131	H72l9w	93
131	Deathkob	93
134	Smiguli_	92
135	2Stout	91
136	livingdaydreams	89
137	roxycherry	88
138	SammiWolfGirl	87
139	Unitas_isa	84
139	Xalithia	84
141	tuckerdoodle	83
141	_Bguette_	83
143	pappaberg	82
144	Cowison	81
144	Ardennes	81
144	whoaluv	81
144	Blu3beast	81
148	Yogscast_Manden	77
149	Huwulling	76
150	Cortexia	73
150	r123moore	73
150	natajimi	73
150	Blaiku	73
154	Zythose	72
155	Lord_Doob	71
156	ChocolatePepsi	70
156	JESS_THE_RERE	70
156	_Karmaa	70
156	claivin	70
160	AlexxO_o	69
161	M_Patata	68
161	MasterNueve	68
163	Ssor69	66
164	Winklepicker279	64
164	selectrix	64
164	Xclax101	64
164	layabout100	64
168	SaucyDark	63
168	Hpdinosaur	63
170	RodSerlingCringe	62
171	Kamflame10	60
172	Louiis123	59
173	Dedalus36	56
174	MOSS000	55
175	RobotMinion101	54
175	Soap_Bender	54
175	kyouma777	54
175	HesDemonPants	54
179	bigstankyy	52
179	Nycteus_	52
179	bloomkieren	52
182	Crasswolf	51
182	Groundler	51
182	SUN_DREAM	51
182	SpacesickPrism	51
182	Zoeyfortnite	51
187	cytotoxaint	50
188	Spacewardharpy7	49
189	breadbowlgamer	48
189	wTXop	48
189	Fizznut909	48
192	Zaridey	47
193	ColeSnyder	46
193	Natty	46
193	Laykon	46
196	fw3xywashere	45
196	Wowful	45
196	Toriankel	45
199	Negriuke	44
199	wwwwinnebagoooo	44
201	Sky_light_KING	42
201	Typadopoulos	42
203	Froste131	41
203	Voxin2K	41
203	JustAWill_	41
203	ogoa	41
207	wrinkledpiglet	40
207	NebulousBadger	40
209	q_wq	39
209	Matyyy15	39
209	MAns_44	39
209	Bloo2406	39
209	trexgb	39
214	MinuteMira	38
214	UCP_TheKingK	38
214	FGamerJ	38
217	elleparo	37
217	TableTim	37
217	wobn	37
220	egglapras	36
220	IAmTheWalrus910	36
222	Patwannabegamer	35
222	Inbefour	35
222	Deodorante	35
225	Harotio	34
225	PazinGaming	34
225	Kubelz	34
225	Parcc	34
225	TheWildMateo	34
225	thgrocks	34
231	Prismyst	33
231	Ze_BaronKrigler	33
231	Hermanni__	33
234	titanlax	32
234	impossibleteapot	32
234	Quincannon	32
234	RedcatVII	32
234	al626win52	32
234	CalebDHawk	32
240	Guillemet	31
240	4774	31
240	SpicyMeatballs	31
240	DermeinUser	31
240	DarlaMeow	31
240	yatsuta	31
240	mountaingirl311	31
247	noam464	30
247	SlayerCrypto	30
247	Toasty_Tom	30
247	MustaLoordi	30
247	lordpipe	30
252	6king6colt6	29
252	ooga47	29
252	KermitTheKripple	29
252	FlashMigma	29
252	sleepdrifter_	29
252	anbbang	29
258	squigglybones	28
258	zorin123	28
258	Stiar	28
258	Shavrin	28
