rank	username	minecraft:picked_up/minecraft:stick
1	thewindmillman	75813
2	Spacewardharpy7	71720
3	noam464	64692
4	Smoke____	27709
5	Di_infiri	24248
6	Hyp3rion_	23866
7	eitanzaki	21280
8	HellsSponge	15763
9	Eczbek	14457
10	Blackberry1310	11687
11	Freak_Genius	9808
12	EcksD	8937
13	MangoTheFish	8416
14	beeperbeeper5	7693
15	Awyrlas	7016
16	joethahobo	6968
17	TheShyPig	6850
18	HesDemonPants	6627
19	thescout7	6612
20	Ezekson	6607
21	Sral7	6336
22	EveryonesUncle	6161
23	YungMaki	5294
24	Mahoose	5287
25	lordpipe	5102
26	Werbe	4912
27	AssEatrAndLicker	4840
28	EMC_	4658
29	Snowflowe	4579
30	Legendosh	4572
31	MakeHistory157	4479
32	pintsizedrogue	3812
33	Frozil12	3518
34	gcaisawesome	3255
35	MyNameIsJobo	3246
36	rarrq	3164
37	Deathkob	3091
38	m_be9	3055
39	Historical_Sand	2918
40	kekhon	2897
41	El_Jalapeno	2800
42	TechnoNinja64	2749
43	PigDab	2687
44	CoffeeNoir	2673
45	set67	2537
46	_Virify_	2522
47	Blaiku	2403
48	diamondgolem35	2360
49	PhantomsGhost_	2328
50	Akoot_	1980
51	oxfordschool	1957
52	TheSecondLord	1927
53	ImpavidArcher	1899
54	Arceus1975	1889
55	2Stout	1859
56	Dedalus36	1800
57	Lord_Jord	1755
58	EcksDofficial	1743
59	Soplight	1711
60	ApophisNova	1679
61	ROY4LE	1655
62	Fullut	1651
63	MyNamaSheff	1649
64	NameGenerat0r	1643
65	Zythose	1598
66	KingMatthew506	1540
67	RebelAndroid	1460
68	PlasticOtari	1411
69	Onennon	1367
70	Chromary	1341
71	Racengan	1339
72	xxPipperDipperxx	1333
73	Cowison	1330
74	sebastiensaborio	1329
75	PortlyPete69	1325
76	Rumpletaezer	1316
77	eiC_	1285
78	Enderslayerxz3	1266
79	KarlKaek	1260
80	Marbz_	1250
81	Kakolbus	1246
