rank	username	minecraft:picked_up/minecraft:waxed_copper_block
1	12Magner05	500
2	Mr_Byzantine	343
3	Mattesco	164
4	Lez_	101
5	TheSecondLord	93
6	PlasticOtari	70
7	Legendosh	32
8	thewindmillman	23
9	Nicserso	22
10	CoffeeNoir	21
11	Enderxz3	19
12	pintsizedrogue	17
13	MineMaster0012	9
14	Huwulling	7
14	Touched_Bread	7
16	FreakGenius	6
17	500am	5
17	Jimb0nat0r	5
19	Manaateee	4
20	Jackattack53	3
20	Soplight	3
22	PazinGaming	2
22	NameGenerat0r	2
22	YungMaki	2
22	UCP_TheKingK	2
26	Hyp3rion_	1
26	Steelynan	1
