rank	username	minecraft:picked_up/minecraft:shulker_shell
1	thewindmillman	289186
2	Hyp3rion_	89001
3	noam464	63727
4	EcksD	12698
5	Alteriity	4077
6	pixelviolin	3601
7	Jackattack53	3599
8	xzvu	3166
9	Di_infiri	2989
10	hanaryheatwave	2973
11	mihimihimihi	2779
12	Manaateee	2498
13	PigDab	2298
14	doublemaki	2172
15	lpinfinity	2150
16	masskedman	1655
17	11Brewer	1617
18	NameGenerat0r	1416
19	Yamdalorian	1357
20	jnp_gaming	1355
21	SvenskaHugo	1226
22	PhantomsGhost_	1183
23	Creativebuilder2	1088
24	beeperbeeper5	1072
25	Racengan	1035
26	Fuad_R	1011
27	Spenduh	963
28	HyperCave	949
29	Lez_	935
30	Historical_Sand	887
31	Awyrlas	879
32	milltesco	872
33	Spacewardharpy7	842
34	Kowcio_	825
35	eitanzaki	807
36	TheSecondLord	770
36	mwrty	770
38	Steelynan	749
39	SpacesickPrism	726
40	Fullut	705
41	Segotep999	682
42	Sral7	673
43	joethahobo	649
44	Mr_Byzantine	628
45	Werbe	612
46	Blaiku	590
47	MightyWertu	546
48	Frozil20	531
49	yulgur1	508
50	luseis	476
51	fw3xy	471
52	Comma__	459
53	6king6colt6	457
54	Sleepy_Evelyn	451
55	hermmm_	443
56	Hisiste	429
57	Jimi7hits	377
58	Skylord_Luke	376
59	Covalents	361
60	Dogcorn69420	358
61	oscminus	347
62	Huwulling	342
62	PlasticOtari	342
64	Marbz_	330
65	FiguraDei	324
66	EMC_	321
67	vandmanden	309
68	pintsizedrogue	306
69	HellsSponge	301
70	gcaisawesome	300
70	IdeallyGrey	300
72	PazinGaming	296
73	thescout7	292
74	Groundler	290
75	500am	286
76	Maenara	282
76	_flud	282
78	miramyu	281
79	Inchef	274
80	LeEricc	270
81	FreakGenius	269
82	lordpipe	267
83	FishisTTV	260
84	royal_2	256
85	ROY4LE	252
86	Mewar	251
87	knarian	250
87	claivin	250
89	IlkeCookes_	238
90	Bumpy419	212
91	emreknugrlu	210
92	audiocracked	204
93	MSK__	201
94	TheWickedBird	200
95	Enderxz3	199
96	Onennon	196
96	tartanboy	196
98	Chromary	192
99	SingedBread	187
100	chrolus	186
101	Shogunite	182
102	cutelilreno	180
103	Xclax101	179
104	surfinggiraffejp	176
104	p4lp	176
106	_TCARREIRA_	174
107	Z3braYTIL	173
108	zToasty69z	169
108	lizardfightclub	169
110	gamerlord1324	168
111	QuiCreans	165
112	MinttyFressh	164
113	Lepthymo	160
114	_Mythic____	158
115	diamondgolem35	156
115	McCakeAh	156
115	Txeptsyip	156
118	Mattesco	154
119	Blu3beast	152
120	Blackberry1310	150
121	Rebytre	147
122	yheece	146
123	j5ylim	136
124	Ezekson	134
125	Inbefour	133
126	ImpavidArcher	131
126	es0th	131
128	Galactic_Badger	130
128	Gus2005	130
128	Skippeh	130
131	CollinMH06	129
132	Ilyaskand	128
132	FishyBoy3811	128
132	Elastiq	128
132	That_tech_head	128
132	ItsDeltaMC	128
137	Winston_Ingram	127
138	GravitySaint	126
139	501g	122
139	non089	122
141	Deodorante	121
142	DTwenty	120
142	weabis	120
144	Eraxa	118
145	KingEgg1	117
146	TAKrules	114
146	Masssonnn	114
146	groofles	114
149	Reneedium	112
150	eiC_	111
151	BeardBois	108
152	Bandito_Roamer	107
153	MC_Skribble	106
154	MAns_44	103
155	NATE_the_HALO	102
156	ProbablyNick	101
156	Rasmanden	101
158	LugusMcGrugus	100
159	CLG_Kata	97
159	T045RTY	97
159	HolyVenom	97
162	Iagoku	96
163	Secret_Canary	94
164	Eczbek	93
165	hydrothebot	92
166	wx4z	89
166	KartivGal	89
168	Krowuss	88
169	Noah_Bez	84
169	Snowflowe	84
171	k_ce	81
172	4774	80
172	Iamthejo	80
174	AlexxO_o	79
175	kekhon	78
176	RebelAndroid	77
176	Khoaducquan1234	77
178	Yatitay	76
178	Ecplosive	76
178	fffMike	76
181	wezzzi	75
182	EKUG	74
183	Rich_Kat	71
184	xPixelRainx	70
184	jushykins	70
184	SellyZ	70
184	AnArtisticDud	70
184	laron58	70
189	AuroraValkyrie	69
189	rarrq	69
189	Zaridey	69
189	TheWildMateo	69
193	nattybears	68
193	CoffeeNoir	68
195	poopybh	67
196	MustaLoordi	66
196	OG_Songsee	66
198	MilleGrug	65
199	SyntheticSurgeon	64
199	_witch_craft_	64
199	Rocco_Lane	64
202	robertsnose	63
202	Donutt	63
202	EveryonesUncle	63
205	ActualPatbaf	61
206	MogusBussy69	60
206	Olib3ar	60
206	TheDumbHuman	60
209	GooseWithin	59
210	xKool	58
211	SkateboardR6	57
211	UrbanPlanningEx	57
213	Frigzy_	56
213	MyNameIsJobo	56
213	__tomato	56
216	philandr	55
216	blackeemperor	55
216	CalebDHawk	55
219	SlayerCrypto	54
219	Alex_Hansen	54
219	Shortest_	54
219	Kura2218	54
223	TheSeismicDuck	52
224	F_Uhre	51
225	MustardSquid	50
226	LilyNova	49
227	Kkanot	48
227	theonlymagikarp	48
227	OreTheBear	48
230	mariominejedi	47
230	Zythose	47
232	Lord_Jord	46
233	TheEnderMan548	45
234	Mahoose	44
234	Auseawesome	44
234	MattieHD	44
234	set67	44
234	Wowful	44
234	TheSandwhich_	44
240	Literally_Rat	43
241	Winklepicker279	42
241	DairyNickel756	42
243	ssleepless	40
243	TooManyDuck	40
243	Sorry_Arey07	40
243	THEKINGLyric10	40
247	NatalieTW	39
247	chipklip	39
247	Gab4101	39
250	Lazy_geniusig	38
250	Jonafrog99	38
252	excelsionprime	37
253	Apollo_993	36
253	Myszoaz	36
255	XboxPanda	35
255	JayToe	35
257	FirsTimeGamingTV	34
257	2Stout	34
257	ApophisNova	34
257	MyNamaSheff	34
257	Jimb0nat0r	34
262	craaaash	33
262	Buuck_	33
264	WinterSepp	32
264	DinoDoctor_	32
264	Euclidoris	32
264	Rumpletaezer	32
264	ClemenPine	32
269	himak1	31
270	Niklas20114552	30
270	NotMyLucKMC	30
270	chiakirice	30
273	__TheNorseMan__	29
273	Tyrannosplart	29
275	ECstardust	28
275	ZeroAbyssTTV	28
277	MrKrabOnCoke	27
277	m_be9	27
277	TheBananaKat	27
277	2blox_	27
281	Gundam_Steven	26
281	ARandomHedge	26
281	ElectricDragon81	26
281	bobbydoodledot	26
281	Fizznut909	26
286	Groovy_MoonBird	25
286	tuckerdoodle	25
288	Zee_zey	24
288	Fullbit_	24
288	pappaberg	24
288	1442	24
288	infiniteQuery	24
288	TheOuterCore	24
294	shineh10	23
294	Swexti	23
294	iSammael	23
297	cyrusisntgay	22
297	imcombxt	22
297	noful	22
297	TheShyPig	22
