rank	username	minecraft:picked_up/minecraft:bamboo_trapdoor
1	Spaghettatron	366
2	Buuck_	359
3	Mr_Byzantine	258
4	craaaash	178
5	k_ce	91
6	lpinfinity	58
7	Mr_Sun15	53
8	_witch_craft_	52
9	Mattesco	29
10	CacheOut	28
11	milltesco	25
12	Jimb0nat0r	15
13	McCakeAh	13
13	Enderxz3	13
15	Hoid_the_Roamer	12
16	Synthoum	9
16	Steelynan	9
18	pintsizedrogue	6
18	Bambuino	6
20	Legendosh	5
21	MattieHD	4
21	DisgruntledKoala	4
23	TheSecondLord	3
24	Caribouse	2
24	Penguinllama517	2
26	Merv__	1
26	noam464	1
26	EveryonesUncle	1
