rank	username	minecraft:picked_up/minecraft:piston
1	noam464	570349
2	Hyp3rion_	103721
3	joethahobo	55908
4	oscminus	53235
5	Spacewardharpy7	45120
6	Jackattack53	41229
7	thewindmillman	31505
8	Di_infiri	22599
9	eitanzaki	10834
10	EcksD	10226
11	Kowcio_	10005
12	Blaiku	9518
13	lordpipe	7063
14	SteveCraftBlocks	5992
15	cutelilreno	5755
16	HellsSponge	5690
17	PigDab	4622
18	Alteriity	2914
19	Spaghettatron	2033
20	mihimihimihi	1751
21	Zythose	1603
22	EMC_	1399
23	Yamdalorian	1377
24	Werbe	1314
25	thescout7	1268
26	Manaateee	717
27	Snowflowe	681
28	T045RTY	621
29	FreakGenius	571
30	Mahoose	555
31	Arceus1975	549
32	r123moore	501
33	fffMike	499
34	Sral7	478
35	non089	455
36	fkGrim	432
37	Eczbek	424
38	Kakolbus	419
39	Frozil20	410
40	_Mythic____	402
41	pintsizedrogue	397
42	Fuad_R	388
43	12Magner05	379
44	Akoot_	376
45	lpinfinity	358
46	Studio4x32	352
47	StinkyDiplomat	350
48	starbits140	332
49	Aryamanee	323
50	IamCL4SSY	318
51	jnp_gaming	305
52	m_be9	302
53	TechnoNinja64	299
54	Lord_Jord	291
55	beeperbeeper5	290
55	SvenskaHugo	290
57	eiC_	284
58	_Virify_	279
59	Warlord324	274
60	gcaisawesome	271
61	craaaash	264
62	Powowowow	246
63	doublemaki	242
64	Enderxz3	241
65	Tyrannosplart	236
66	Racengan	230
67	Rebytre	228
68	kekhon	223
69	AstreaTSS	218
70	ECstardust	217
70	fw3xy	217
70	_TCARREIRA_	217
73	Lez_	216
74	500am	214
75	Spenduh	212
76	Gus2005	211
77	censorsheep	210
77	obzii	210
79	ApophisNova	207
79	MyNamaSheff	207
81	PlasticOtari	205
82	Ezekson	203
83	Soplight	202
84	set67	198
85	WyngGoy	193
86	prizm_	188
86	pixelviolin	188
88	Bumpy419	187
89	Historical_Sand	182
90	BPTY4618	178
90	ediballbearings	178
92	Vorlice	162
93	NameGenerat0r	157
94	claivin	156
95	domagawha	152
96	legal_tax_evader	148
97	wx4z	145
98	PortlyPete69	138
99	tuckerdoodle	134
100	Groundler	132
101	Inbefour	130
101	MightyWertu	130
103	MattieHD	128
104	Ssor69	127
105	Elastiq	125
106	Nicserso	124
106	UrbanPlanningEx	124
108	PhantomsGhost_	123
108	Samificator	123
110	catandmoose	120
111	Hiryu27	118
111	MilleGrug	118
113	11Brewer	117
114	Crowvens	114
115	soundad	110
115	_Nuf	110
115	Krowuss	110
118	Huwulling	108
119	skroobiez	106
119	gamerlord1324	106
121	j5ylim	105
121	MC_Skribble	105
123	es0th	104
124	emreknugrlu	100
125	eviltunix	99
125	Blu3beast	99
127	ConnorDanky_	98
127	FishisTTV	98
129	smogfrogg	97
130	Chromary	93
131	Sheldor097	90
132	TheShyPig	88
132	LexMakesHistory	88
134	picardred	86
134	TheSeismicDuck	86
134	luseis	86
134	Njensen7	86
138	Legendosh	85
139	Z3braYTIL	83
140	Ozixar	82
141	Niklas20114552	81
142	ShedJr_	80
143	NATE_the_HALO	77
144	TwinTowerV2	76
145	diamondgolem35	74
145	Deathkob	74
147	Segotep999	73
148	SkateboardR6	72
149	q_wq	71
150	Solar_Power	70
151	Crowman1	68
151	EveryonesUncle	68
153	ImpavidArcher	67
153	Rani_R	67
153	Awyrlas	67
156	diggydog67	66
157	RebelAndroid	65
157	MSK__	65
157	rarrq	65
157	Xalithia	65
157	Shogunite	65
157	El_Jalapeno	65
157	Xclax101	65
157	hermmm_	65
165	andy_rex	63
166	CLG_Kata	62
166	Merv__	62
168	Groovy_MoonBird	61
169	The_slideV3	60
170	Mr_Byzantine	57
170	Prismyst	57
170	Masssonnn	57
170	sp00ky_ghost977	57
174	HolyVenom	56
175	groggregg42	54
175	OfficerAnvil	54
177	Comma__	53
177	le4ves	53
179	Incinere	52
179	mwrty	52
181	TildaAndrea	50
181	TheSecondLord	50
183	Ryan_GEMS	49
184	EdaterPure	48
184	xxPipperDipperxx	48
184	Freedrik	48
187	AlexxO_o	46
187	cedric72	46
189	Tobinator_007	45
189	JESS_THE_RERE	45
189	BlankityMcBlank	45
189	Luigipunch989	45
193	MinttyFressh	44
193	MyNameIsJobo	44
193	groofles	44
193	Soap_Bender	44
197	BadenOnGod	43
197	lorywithay	43
197	The_SlideV5	43
200	Fullut	42
201	Syropatathe	41
202	McCakeAh	40
202	Prodiginus	40
202	layabout100	40
205	heckface	39
205	Mattesco	39
205	jcool7	39
208	RIPB0ZO	38
208	Quotary	38
210	theonlymagikarp	37
211	Apollo_993	36
211	DisgruntledKoala	36
211	txxskx	36
211	Maenara	36
211	_flud	36
211	bananowySigma	36
217	Soul_Atreus	35
218	Hisiste	34
219	teslawolf38	33
219	pappaberg	33
219	lizardfightclub	33
222	FirsTimeGamingTV	32
222	PegLegPete93	32
222	Factoroni	32
222	__tomato	32
222	DairyNickel756	32
227	EfficientC52	31
228	Minimize501	30
228	_witch_craft_	30
228	XboxPanda	30
228	Hoid_the_Roamer	30
228	Vanni9	30
228	masskedman	30
228	djancak	30
228	Logain42	30
236	Wowful	29
237	Iagoku	28
237	Voxin2K	28
