rank	username	minecraft:picked_up/minecraft:torchflower
1	Enderxz3	5434
2	pintsizedrogue	781
3	Mattesco	226
4	Kowcio_	211
5	MAns_44	132
6	ECstardust	76
7	cutelilreno	64
8	Pumpkin_P_Patch	57
9	Spaghettatron	48
10	TheSecondLord	36
11	Merv__	34
12	Jimb0nat0r	19
13	ZaneABrain	16
13	FiguraDei	16
13	KamFurnace	16
16	j5ylim	12
17	robonya_	11
18	Fullut	8
18	craaaash	8
18	Krowuss	8
21	oscminus	7
21	EveryonesUncle	7
23	k_ce	5
23	XxCookiequeenxX	5
25	Caribouse	4
26	Hyp3rion_	2
26	luseis	2
26	lunkuku	2
26	Steelynan	2
30	Napoleonpancake	1
30	Jackattack53	1
30	Gzrdy	1
30	lordpipe	1
30	Yamdalorian	1
