rank	username	minecraft:picked_up/minecraft:chicken
1	TheShyPig	2869
2	Jiminie	1835
3	starbits140	1432
4	Jackattack53	1356
5	MakeHistory157	1256
6	Freak_Genius	1200
7	Groovy_MoonBird	1098
8	Kateesaur	943
9	TechnoNinja64	926
10	CarltheCuck	844
11	Arceus1975	840
12	Legendosh	829
13	UrbanPlanner1978	814
14	joethahobo	757
15	pintsizedrogue	665
16	kekhon	644
17	Akoot_	614
18	GingerNeutron	557
19	Smashic	552
20	KermitTheKripple	528
21	djancak	513
22	El_Jalapeno	495
23	HellsSponge	477
24	Bumpy419	452
25	Wooptey	440
26	6king6colt6	388
27	_Boipl_	386
28	Mahoose	366
29	CliffEmAll	365
30	ediballbearings	346
31	KingMatthew506	319
32	thescout7	313
33	Rumpletaezer	279
34	Spacewardharpy7	269
35	Blu3beast	266
36	thewindmillman	260
37	Blackberry1310	259
38	RebelAndroid	256
39	PlasticOtari	248
40	KG1999	246
41	Comma__	244
42	_Cloverbelle_	239
43	12Magner05	234
44	m_be9	226
45	mobunni	225
46	WyngGoy	222
47	Lowjinx	221
48	Blaiku	215
49	noam464	213
50	Doom_melon	207
51	PigDab	200
52	KarlKaek	196
52	MattieHD	196
54	fluddd	193
55	CoryJJ	189
56	DanTheBuilderino	188
57	YungMaki	187
58	Meatlaugh	185
59	Menthas	182
60	NormanFetus	181
61	lcvezra	176
62	smogfrog	169
63	eitanzaki	168
64	valiSW	165
65	Groundler	159
66	Skylord_Luke	157
67	Hiryu27	156
68	PuFY	154
69	chipklip	152
70	censorsheep	151
71	ImpavidArcher	150
72	SteveCraftBlocks	139
73	Lord_Jord	138
74	jacxhadow	136
74	Zaridey	136
74	SuperPooch06	136
77	Bandito_Roamer	135
78	Snowflowe	134
79	SLASHZEERA	133
79	Smoke____	133
81	dopplexd	131
81	Werbe	131
83	kinas45y5	128
84	Ezekson	124
85	Frozil12	122
86	Windo_licker	121
87	Moofyman	120
88	himak1	119
89	Fuad_R	115
90	Mewar	114
91	BlancoFlaco	112
92	Xclax101	111
93	emrekn	109
94	500am	108
95	Russiancat1	106
96	Enderslayerxz3	105
97	claivin	102
98	Powowowow	96
99	SquadMonster	95
100	ratglock	93
100	masskedman	93
102	Natty	92
102	bloodbiter	92
104	PlzNoBM	88
105	The11thDoctor	86
106	Di_infiri	85
107	Fullut	80
108	Inbefour	79
108	BlankityMcBlank	79
110	Hyp3rion_	78
111	KlausVonStiglitz	77
112	SammiWolfGirl	76
113	HollieDaNugget	75
114	DAD_1996	72
115	wrinkledpiglet	71
116	Ilinca_Io	69
117	_Bguette_	67
118	lordpipe	65
119	numbra	63
119	Sheldor097	63
121	boog4loo	62
122	_Bruhtastic_	61
122	Awyrlas	61
122	FungalCat	61
125	Vetral1	60
126	Donutt	59
126	DemTechAlpha	59
126	Njensen7	59
129	MyNameIsDakar	58
129	laron58	58
131	SpicyMeatballs	56
131	SHAOBADMAN	56
133	Paint	55
133	GoofyBread	55
133	tartanboy	55
136	stellarjay	53
137	pZygh0st	52
137	ApophisNova	52
137	MyNamaSheff	52
140	loveseeker	51
141	MunkaKris	50
141	beeperbeeper5	50
141	EcksDofficial	50
144	Ravenbie	49
145	brrh	48
146	Ssor69	46
146	Kryktal	46
146	Kim_Jong_eel	46
149	DTwenty	45
149	StinkyDiplomat	45
149	MightyWertu	45
152	Merv__	44
152	Kalwag	44
154	UltimuShadow	43
154	Kubelz	43
156	_Dean_123	42
156	audiocracked	42
156	RedcatVII	42
159	2Stout	41
159	Quincannon	41
159	monky_irl	41
159	AvaRosey	41
159	Kowcio_	41
164	fade_emerge78823	40
164	faulder	40
164	AlexStrange	40
164	ItsAki_	40
164	jnp_gaming	40
169	MrExplorer	39
170	Rich_Kat	38
170	bean__salad	38
170	_Tilariel_	38
173	abramgray	37
173	Toriankel	37
173	Yahir091	37
173	PabloGonza02	37
177	xxPipperDipperxx	36
177	CharlieButt	36
177	MineMaster0012	36
180	stavgod	35
180	OfficerAnvil	35
182	Enigma0251	33
182	_3Stump_	33
184	bigstankyy	32
184	LeeMcGee30	32
184	oxfordschool	32
187	561cool	31
188	AJplaysMC_	30
189	lotarp	29
189	Tjhodskins19	29
189	ehunt54	29
189	trixterrx	29
189	tobinwilliams	29
189	Hisiste	29
189	IdeallyGrey	29
196	TheSecondLord	28
196	zorin123	28
196	intropass	28
196	Kynigito	28
196	SingedBread	28
196	Deguns123	28
196	sea_otter_h	28
203	Froste131	27
203	AuroraValkyrie	27
203	ooga47	27
203	Sky_light_KING	27
203	Sank34	27
203	EtherealEspresso	27
209	Batman922	26
209	Jokerman369	26
209	lia1337owo	26
209	NebulousBadger	26
213	DinoDoctor_	25
213	__TheNorseMan__	25
213	SlayerCrypto	25
213	radioactv_jelly	25
213	Naturalrogue	25
213	Soplight	25
219	PhantomsGhost_	24
219	RoskobiOne	24
219	shineh10	24
219	Tommhh	24
219	Shazzyling	24
219	StylesK	24
219	regulator75	24
226	dudcreeper	23
226	Mowelan	23
226	FirsTimeGamingTV	23
226	_Nuf	23
226	Paintz	23
226	SonicRainBow_	23
226	TheWildMateo	23
226	lillips	23
226	sp00ky_ghost977	23
226	plato2066	23
236	EMC_	22
236	CoffeeNoir	22
236	KliBeast21	22
236	420BreadLizard	22
236	iHuntWeeaboos	22
236	Breb74	22
236	Cocoamallows	22
236	Decaying_Lotus	22
236	a_smol_bean	22
245	Simon_Lowell	21
245	eddiehobbit	21
245	LavenderBi1ch	21
245	OG_Songsee	21
249	Winklepicker279	20
249	JitteryJared2	20
249	bloomkieren	20
249	Moetis	20
253	Voltique69	19
253	rarrq	19
253	Misato_0	19
253	Gingayy	19
253	gcaisawesome	19
253	ItzYaBoiPicard	19
253	F_22_	19
253	St4nLe7	19
253	_Crimson_Legate	19
253	Seindi	19
253	Winston_Ingram	19
264	Dedalus36	18
264	SaucyDark	18
264	hm947	18
264	Euclidoris	18
264	Notta	18
264	fred870d	18
264	skelctal	18
264	Kennyissleepy	18
