rank	username	minecraft:picked_up/minecraft:white_glazed_terracotta
1	noam464	1467
2	eitanzaki	949
3	mihimihimihi	575
4	Smoke____	458
5	Tobinator_007	380
6	jnp_gaming	287
7	QueenShuvi	274
8	ImpavidArcher	241
9	Freak_Genius	240
10	Di_infiri	222
11	Inbefour	200
12	Legendosh	153
13	Spacewardharpy7	147
14	Mahoose	144
15	lillips	120
16	wwwwinnebagoooo	112
17	m_be9	106
18	tobinwilliams	98
19	Parcc	70
20	Merv__	58
21	lordpipe	56
21	Steelynan	56
23	Tommhh	50
24	Kim_Jong_eel	46
25	RatatJuice	45
26	Menthas	43
26	diggydog67	43
28	kekhon	41
28	CarltheCuck	41
30	SaucyDark	38
31	Tristankill	37
32	Blaiku	27
33	Nycteus_	24
34	Kamflame10	20
35	Akoot_	18
36	MSK__	16
36	Awyrlas	16
38	Bumpy419	13
39	ATrojansLegend	12
40	mwrty	10
40	sxc_	10
40	YungMaki	10
43	_Virify_	8
43	CoffeeNoir	8
43	Ozixar	8
43	Malorn_Aetherius	8
43	lordsaladito	8
43	ROY4LE	8
43	TheDankPlatypus	8
43	StinkyDiplomat	8
43	Enderslayerxz3	8
52	Sabby65	7
53	beeperbeeper5	6
53	PigDab	6
53	The_SlideV5	6
56	Frozil20	5
56	Whiterooster001	5
56	AJplaysMC_	5
59	jacxhadow	4
59	MightyWertu	4
59	monky_irl	4
59	djancak	4
59	Powowowow	4
59	PlasticOtari	4
65	titanlax	3
65	Rumpletaezer	3
65	burbankbuilder28	3
65	Kubeusz2010	3
69	Inchef	2
69	Soplight	2
69	_TCARREIRA_	2
69	oxfordschool	2
73	abramgray	1
73	RoskobiOne	1
73	Hyugo	1
73	Mewar	1
73	Winklepicker279	1
73	whoaluv	1
73	WET_WET_WET	1
73	fred870d	1
73	CarryLine	1
73	Razzgriz	1
73	1Riot	1
73	EcksDofficial	1
