rank	username	minecraft:picked_up/minecraft:quartz_slab
1	Comma__	2359
2	beeperbeeper5	1483
3	Hyp3rion_	1147
4	pintsizedrogue	1038
5	thescout7	991
6	Groundler	888
7	jnp_gaming	806
8	eitanzaki	733
9	Inbefour	716
10	Di_infiri	667
11	kekhon	659
12	Smoke____	642
13	cedric72	638
14	HellsSponge	503
15	joethahobo	495
16	Yahrto	475
17	EcksDofficial	473
18	YungMaki	458
19	PlasticOtari	457
20	Truckoss	449
21	Eraxa	429
22	Jovaphobic	413
23	Legendosh	411
24	Merv__	390
25	Lord_Jord	370
26	xxPipperDipperxx	361
27	rarrq	358
27	Rumpletaezer	358
29	Swexti	350
30	The_slideV3	334
31	Incinere	317
32	lordpipe	306
33	ImpavidArcher	299
34	TheShyPig	262
34	Frozil12	262
36	Steelynan	249
37	Skylord_Luke	242
38	SaucyDark	240
39	titanlax	238
40	PigDab	206
41	MakeHistory157	182
42	noam464	162
43	Soplight	158
43	Sral7	158
45	EveryonesUncle	157
46	SuperPooch06	145
47	Skippeh	142
48	Maenara	138
49	chipklip	134
50	MilleGrug	130
51	Blu3beast	129
52	Spenduh	128
53	Mahoose	127
54	jedi_george	123
55	EMC_	118
56	SkateboardR6	117
57	SammiWolfGirl	116
58	MunkaKris	113
59	Winklepicker279	109
60	set67	102
60	RobotMinion101	102
62	r123moore	101
63	500am	100
64	Fizznut909	99
65	himak1	98
66	AJplaysMC_	95
67	CliffEmAll	94
68	Sheldor097	92
69	Werbe	90
69	__tomato	90
71	Sky_light_KING	87
72	KarlKaek	86
72	Blackberry1310	86
72	lillips	86
72	The_SlideV5	86
76	K_a__a_n	84
77	Spacewardharpy7	81
77	Optiprimus	81
79	KingMatthew506	79
80	Toriankel	78
81	Akoot_	77
82	ssleepless	73
82	NameGenerat0r	73
84	NinjaKnifeKill	72
84	NotMeanttoChange	72
86	Ssor69	69
86	Ezekson	69
88	ROY4LE	68
89	_Boipl_	67
90	PhantomsGhost_	63
91	Hpdinosaur	60
92	CoffeeNoir	59
93	zylanzagreat	55
94	Freak_Genius	48
95	nocturne78	45
95	_Karmaa	45
97	stahouo	43
98	audiocracked	42
98	RedcatVII	42
100	FetteMutter	41
101	Nesquiczek	40
102	AuroraValkyrie	38
103	Blamphe	37
104	BumbleBeever	36
104	h2p_emrld	36
106	EcksD	34
107	_Bguette_	33
108	bloomkieren	32
109	gabriels543	30
109	MovingFish7	30
109	MeetTheWollo	30
112	Cocoamallows	29
113	Wooptey	25
113	Arceus1975	25
115	m_be9	24
115	DebbieBrunswick	24
115	NomadicRobin_	24
118	RodSerlingCringe	23
119	MyNameIsDakar	22
120	FishyBoy3811	21
120	Racengan	21
120	Kyrum2169	21
120	fffMike	21
124	soundad	20
124	Xalithia	20
126	ProfessorBee	18
127	_Nuf	17
127	CrateOfBoxes	17
127	tobinwilliams	17
127	wobn	17
127	oxfordschool	17
132	alderban107	16
132	Nicserso	16
134	Cortexia	15
134	The11thDoctor	15
134	FelixPSY375	15
137	Snowflowe	14
137	WyngGoy	14
137	kinas45y5	14
140	Irko	13
140	fallingemma	13
140	Donutt	13
143	ooga47	11
143	Leyna3	11
143	Enderslayerxz3	11
146	Groovy_MoonBird	10
146	_NieToksikpl_	10
146	ShedJr_	10
146	Deathkob	10
150	shdesolt	9
150	ClemenPine	9
150	wwwwinnebagoooo	9
150	AssFullaCum	9
150	ZeroKraken	9
155	T045RTY	8
155	Historical_Sand	8
155	NotTrixi	8
155	emrekn	8
155	Avrelion	8
155	SingedBread	8
155	Hermanni__	8
155	TechnoNinja64	8
163	teslawolf38	7
163	6king6colt6	7
163	PegLegPete93	7
163	dartwaffle	7
163	MightyWertu	7
163	Blaiku	7
163	KG1999	7
170	ManlyAdjective	6
170	cog	6
170	trexgb	6
173	claivin	5
173	marumochis	5
173	RadarHz	5
176	intropass	4
176	Jackattack53	4
176	Chromary	4
176	thewindmillman	4
176	Hiryu27	4
176	FreddyFart	4
176	DemTechAlpha	4
176	SlinkyPinky	4
176	MAns_44	4
176	Serval2000	4
186	Cowison	2
186	Sleek_Storm_721	2
186	chimpmunker	2
186	ColeSnyder	2
186	RebelAndroid	2
186	MrExplorer	2
186	MinttyFressh	2
186	yaboo88	2
186	Jiminie	2
186	Quincannon	2
186	GlitchyPlate810	2
186	jcool7	2
186	AltnumberF4	2
199	Krasnal1337	1
199	Tobinator_007	1
199	I_Am_Mushkin	1
199	Zippyzam	1
199	Myszoaz	1
199	TheSecondLord	1
199	Fullut	1
199	mwrty	1
199	Awyrlas	1
199	CaptainBadKid	1
199	XboxPanda	1
199	Zythose	1
199	burbankbuilder28	1
199	ApophisNova	1
199	fred870d	1
199	DarlaMeow	1
199	CookTheChef3	1
199	AgentMeatCandy	1
199	AvaRosey	1
199	Zetsey	1
199	xof_on_microwave	1
199	MyNamaSheff	1
