rank	username	minecraft:picked_up/minecraft:powered_rail
1	thewindmillman	38541
2	Spacewardharpy7	10697
3	noam464	10072
4	HellsSponge	6345
5	fffMike	5285
6	Di_infiri	5134
7	gabriels543	3719
8	eitanzaki	3019
9	Smoke____	2646
10	RobotMinion101	2279
11	thescout7	1654
12	TechnoNinja64	1627
13	Hyp3rion_	1609
14	Snowflowe	1586
15	Spenduh	1422
16	beeperbeeper5	1230
17	Bumpy419	1074
18	PigDab	1051
19	MightyWertu	1028
20	Kakolbus	1006
21	Blaiku	954
22	Groundler	915
23	Werbe	879
24	MyNameIsJobo	877
25	Freak_Genius	739
26	Blu3beast	735
27	YungMaki	732
28	Jovaphobic	710
29	El_Jalapeno	700
30	EMC_	662
31	Eczbek	655
32	pintsizedrogue	603
33	T045RTY	589
34	balin55	573
35	The_slideV3	558
36	Historical_Sand	548
37	Jackattack53	500
38	PortlyPete69	483
39	ShedJr_	482
40	Frozil20	468
41	Quincannon	465
42	__tomato	421
43	joethahobo	405
44	ayamefag	400
45	NieToksikpl	385
46	jnp_gaming	360
47	ProfessorBee	357
48	Lez_	346
49	obzii	338
50	gcaisawesome	330
51	Akoot_	320
52	Racengan	318
53	kekhon	313
54	Jimi7hits	307
55	_Virify_	305
56	Ezekson	302
57	Comma__	290
58	Mahoose	272
59	Warlord324	268
60	EngagedGrub41	266
61	MustaLoordi	264
61	lordpipe	264
63	Franco093	257
64	oxfordschool	245
65	Shogunite	225
66	Lord_Jord	221
67	Soplight	213
68	Steelynan	206
69	DanTheBuilderino	205
70	vandmanden	204
71	SteveCraftBlocks	202
72	Rebytre	200
73	BumbleBeever	193
74	Enderslayerxz3	192
75	TheShyPig	186
76	Sleek_Storm_721	183
76	pixelviolin	183
78	emrekn	180
78	mariominejedi	180
80	Deathkob	179
81	Nyxiom_	178
81	ediballbearings	178
83	JESS_THE_RERE	177
84	audiocracked	174
84	Fuad_R	174
86	TheSeismicDuck	173
87	Hiryu27	172
87	PlasticOtari	172
89	EveryonesUncle	167
90	EcksD	159
91	Quotary	156
92	Sral7	153
93	OfficerAnvil	152
93	The_SlideV5	152
95	MilleGrug	150
96	eviltunix	147
97	Segotep999	146
98	theonlymagikarp	142
99	q_wq	139
100	Skippeh	135
101	rarrq	134
102	mwrty	131
103	H72l9w	128
104	prizm_	127
105	Maenara	126
106	Cowison	124
107	PhantomsGhost_	122
108	UrbanPlanner1978	119
109	_Nuf	117
110	StinkyDiplomat	115
111	KG1999	114
111	07shiny	114
113	masskedman	112
114	RebelAndroid	105
114	yatsuta	105
116	xxPipperDipperxx	102
116	Marbz_	102
118	WyngGoy	101
119	Inbefour	100
120	NotMeanttoChange	99
121	Nycteus_	95
122	stuy9	94
123	soundad	93
124	Dedalus36	92
124	anbbang	92
126	Dusk_95	91
127	ProbsNotNova	89
128	groofles	88
129	dimondking777	82
129	Hisiste	82
129	Jordan_R	82
132	12Magner05	81
133	jacxhadow	80
133	MakeHistory157	80
133	HesDemonPants	80
136	Rumpletaezer	79
137	SammiWolfGirl	77
138	non089	74
139	Arceus1975	73
139	jcool7	73
141	slkiey	71
142	Incinere	70
143	sp00ky_ghost977	69
144	Swexti	67
145	Skylord_Luke	66
146	Onennon	65
147	6king6colt6	63
148	eiC_	62
148	Kijiki	62
150	Zoeyfortnite	60
151	andy_rex	59
151	AuroraSkies	59
153	ssleepless	58
153	ROY4LE	58
155	Blackberry1310	56
155	bloodbiter	56
155	Strangemonkey71	56
155	mawileite	56
159	Da_Boss_Rani	55
159	radioactv_jelly	55
159	TheOuterCore	55
162	TheDankPlatypus	54
162	mihimihimihi	54
164	Sky_light_KING	52
164	censorsheep	52
166	ooga47	51
166	FishyBoy3811	51
166	Freedrik	51
169	MattieHD	50
170	ivorico	49
171	teslawolf38	48
171	Prismyst	48
171	Quaintster	48
174	Euclidoris	47
174	Jiminie	47
174	GlitchyPlate810	47
177	Cyntrical	46
178	SingedBread	43
179	ClemenPine	42
179	MeetTheWollo	42
181	Sheldor097	41
182	bigstankyy	40
182	_Boipl_	40
182	Leyna3	40
185	Kowcio_	39
186	ElKaySVK	38
187	Kkanot	36
187	Powowowow	36
189	Ev0luti0nz	35
189	Touched_Bread	35
189	tsitrawhy	35
192	ImpavidArcher	34
192	fr0stss	34
192	SDMNAEK	34
192	Soul_Atreus	34
192	2blox	34
197	Mr_Byzantine	33
197	Awyrlas	33
197	r123moore	33
200	FirsTimeGamingTV	32
200	Darkgon	32
202	Ryker	31
202	PegLegPete93	31
202	CharlieButt	31
202	Typadopoulos	31
206	KingFaenor	30
206	m_be9	30
206	Drewen24	30
206	SpacesickPrism	30
210	Alteriity	29
210	Ssor69	29
210	Chromary	29
210	Rasmanden	29
210	DemTechAlpha	29
210	lcvezra	29
216	CruncyIsTaken	28
216	SkateboardR6	28
216	Nicserso	28
216	MusicMe1005	28
220	Groovy_MoonBird	27
220	CoffeeNoir	27
220	M_Patata	27
220	fred870d	27
220	Moofyman	27
220	MinuteMira	27
220	chipklip	27
220	Barlycorn	27
228	IAmTheWalrus910	26
228	Legendosh	26
228	FishisTTV	26
231	youhjjhhhjj	25
231	awesomeoneme	25
231	EfficientC52	25
231	MasterNueve	25
231	Cocoamallows	25
231	stavgod	25
