rank	username	minecraft:picked_up/minecraft:diamond_hoe
1	500am	54
2	FreakGenius	36
3	Smashic	34
4	youhjjhhhjj	27
5	groofles	24
6	Hyp3rion_	19
7	Xclax101	18
8	ShedJr_	17
8	AdmiralSmoke	17
10	Di_infiri	16
11	eitanzaki	14
11	Sleepy_Time_	14
11	Snowflowe	14
14	TheSecondLord	13
14	EcksD	13
14	Legendosh	13
17	Groovy_MoonBird	12
17	Blaiku	12
19	diamondgolem35	11
19	thescout7	11
19	Jackattack53	11
22	joethahobo	10
22	noam464	10
24	Manaateee	9
24	xzvu	9
26	BumbleBeever	8
26	Spacewardharpy7	8
26	Hermanni__	8
29	pintsizedrogue	7
29	I_Am_Mushkin	7
29	beeperbeeper5	7
29	kekhon	7
33	PazinGaming	6
33	EMC_	6
33	Prodiginus	6
33	oscminus	6
33	IamCL4SSY	6
33	claivin	6
33	SpacesickPrism	6
40	Sn0w0ps	5
40	q_wq	5
40	KarlKaek	5
40	bloodbiter	5
40	Rebytre	5
40	Werbe	5
40	KartivGal	5
40	Dakar_	5
40	Blu3beast	5
40	Kowcio_	5
40	Nicserso	5
51	Apollo_993	4
51	SyntheticSurgeon	4
51	Alteriity	4
51	CoffeeNoir	4
51	jessewegottacook	4
51	rarrq	4
51	Fullut	4
51	Windo_licker	4
51	AlexxO_o	4
51	Lord_Jord	4
51	EveryonesUncle	4
51	MovingFish7	4
51	YungMaki	4
64	_Huge_Male_	3
64	PhantomsGhost_	3
64	Frozil20	3
64	Ryan_GEMS	3
64	ImpavidArcher	3
64	Hpdinosaur	3
64	Mahoose	3
64	Blackberry1310	3
64	Cryptacity	3
64	Comma__	3
64	set67	3
64	UncreativeArtist	3
64	himak1	3
64	Marbz_	3
64	MyNameIsJobo	3
64	Arceus1975	3
64	thewindmillman	3
64	ApophisNova	3
64	Kynigito	3
64	NomadicRobin_	3
64	StinkyDiplomat	3
64	Nycteus_	3
64	Bloo2406	3
64	Racengan	3
64	Kyrum2169	3
64	UCP_TheKingK	3
64	lcvezra	3
64	Dogcorn69420	3
64	MyNamaSheff	3
64	TechnoNinja64	3
64	skrongus	3
95	k_ce	2
95	adarkwindblows	2
95	ItsColin11	2
95	Yatitay	2
95	bigstankyy	2
95	SaucyDark	2
95	Killercatty78	2
95	Huwulling	2
95	Myszoaz	2
95	Vizzoid	2
95	12Magner05	2
95	MinttyFressh	2
95	fade_emerge78823	2
95	eviltunix	2
95	shadowthemonkey	2
95	Hannah_Banana_69	2
95	SuperPooch06	2
95	Jonafrog99	2
95	Afinnity	2
95	Dan_Scha	2
95	SaintJosie	2
95	Akoot_	2
95	masskedman	2
95	Beagle_Boy	2
95	DarlaMeow	2
95	Soap_Bender	2
95	HellsSponge	2
95	FlashMigma	2
95	Airem_Core	2
95	TheTommyGun63	2
95	WyngGoy	2
95	OG_Songsee	2
95	Cocoamallows	2
95	Meeerkat	2
95	SvenskaHugo	2
95	Segotep999	2
95	Soplight	2
95	KingMatthew506	2
95	little_dUki	2
95	HesDemonPants	2
95	UrbanPlanningEx	2
95	PlasticOtari	2
95	aubergined	2
95	Zoeyfortnite	2
139	ItsGrayWolf	1
139	_Virify_	1
139	FroggoTheDoggo	1
139	_darky1_	1
139	Merv__	1
139	Ailmast	1
139	ECstardust	1
139	Houstonion	1
139	Tolhart	1
139	T045RTY	1
139	Lez_	1
139	stevewithclout	1
139	ITDV	1
139	H72l9w	1
139	EliteTrashPanda_	1
139	cyuar	1
139	Da_Boss_Rani	1
139	oreee	1
139	FirsTimeGamingTV	1
139	chlorinex	1
139	Cassu665	1
139	titanlax	1
139	Malorn_Aetherius	1
139	jacxhadow	1
139	m_be9	1
139	MattieHD	1
139	AdvertisingMerc	1
139	GingerNeutron	1
139	SteveCraftBlocks	1
139	Z3braYTIL	1
139	paranoid_plant	1
139	Scathra	1
139	NotMeanttoChange	1
139	LeauVox4921	1
139	gcaisawesome	1
139	NotKaden_	1
139	Kubelz	1
139	Zaridey	1
139	Ecplosive	1
139	moderncraft	1
139	Chromary	1
139	Rumpletaezer	1
139	wTXop	1
139	GoodWeed	1
139	_Boipl_	1
139	Krowuss	1
139	The_Fulgurator	1
139	Skylord_Luke	1
139	F_Uhre	1
139	PigDab	1
139	MonitorLizards	1
139	TheShyPig	1
139	Jah_Den	1
139	HolyVenom	1
139	lizardfightclub	1
139	Maenara	1
139	GooseWithin	1
139	MrQuanQuan	1
139	AuroraSkies	1
139	ogoa	1
139	LeonelSalamanca	1
139	yulgur1	1
139	gustarlep	1
139	Inbefour	1
139	Lutres_	1
139	Tyrannosplart	1
139	Meatlaugh	1
139	Fuad_R	1
139	The_slideV3	1
139	jaxfarted	1
139	Walter___White__	1
139	Quincannon	1
139	Quaintster	1
139	El_Jalapeno	1
139	Cavetorch	1
139	cog	1
139	tlustyCZARNY	1
139	Groundler	1
139	Yahir091	1
139	lordpipe	1
139	stavgod	1
139	Sank34	1
139	_Tilariel_	1
139	DracZSenpai	1
139	MineMaster0012	1
139	LeEricc	1
139	SammiWolfGirl	1
139	Luigipunch989	1
139	LeeMcGee30	1
139	Winston_Ingram	1
139	TheALV	1
139	_3Stump_	1
139	alderban107	1
139	FelixPSY375	1
139	jnp_gaming	1
139	Jimb0nat0r	1
139	xolstoi	1
139	JohnPrice	1
139	satuern	1
139	trexgb	1
139	FishisTTV	1
139	00000000-0000-0000-0009-01ff0c3e5e4f	1
