rank	username	minecraft:picked_up/minecraft:stripped_dark_oak_log
1	EveryonesUncle	3023
2	ImpavidArcher	1251
3	TheSecondLord	1039
4	TheShyPig	762
5	Mahoose	674
6	500am	634
7	kekhon	547
8	Zythose	506
9	sebastiensaborio	499
10	El_Jalapeno	459
11	burbankbuilder28	402
12	EcksD	392
13	KarlKaek	389
14	YungJakobo	360
15	Skippeh	352
16	pintsizedrogue	350
17	Merv__	348
18	Frozil12	343
19	stahouo	342
20	PortlyPete69	337
21	Werbe	299
21	AssEatrAndLicker	299
23	oxfordschool	282
24	Blackberry1310	271
25	Sky_light_KING	215
26	OtariCharlie	214
27	censorsheep	213
27	Soplight	213
29	M_Patata	206
29	Kowcio_	206
31	MasterNueve	198
32	HolyVenom	182
33	Chromary	179
34	SvenskaHugo	161
35	CalebDHawk	139
36	thescout7	137
36	seramalen	137
38	EcksDofficial	131
39	rarrq	123
40	YungMaki	118
41	Ravenbie	117
42	Ozixar	112
43	titanlax	107
44	BlancoFlaco	102
45	ExtraDumb	100
46	noam464	96
47	_Cloverbelle_	92
48	SquadMonster	91
49	xxPipperDipperxx	90
50	NameGenerat0r	86
50	Kubeusz2010	86
52	Deathkob	81
53	Awyrlas	80
54	Cryptacity	79
55	m_be9	78
56	Ezekson	77
57	Winklepicker279	76
58	set67	75
59	madderfall	74
60	MilleGrug	70
61	Bandito_Roamer	67
61	MrExplorer	67
63	anbbang	65
64	Eraxa	64
65	MyNameIsDakar	62
66	Meatlaugh	55
67	Spacewardharpy7	53
68	Freak_Genius	52
69	fkGrim	51
70	theofiel	49
71	hollowww	44
72	eitanzaki	43
72	MyNameIsJobo	43
74	Akoot_	42
74	jnp_gaming	42
76	ROY4LE	41
77	DarkS0L	40
78	lillips	39
78	Barlycorn	39
80	Snowflowe	37
81	Smoke____	35
82	fluddd	34
82	Lowjinx	34
82	TechnoNinja64	34
85	livingdaydreams	33
86	dudcreeper	30
87	lordpipe	29
88	Dedalus36	28
89	SuperPooch06	27
90	GingerNeutron	26
90	Kakolbus	26
92	Historical_Sand	25
92	Euclidoris	25
92	Notta	25
92	SingedBread	25
96	Hiryu27	24
97	brofrickcheaters	23
97	Quotary	23
99	Cowison	22
99	dongli	22
101	emrekn	21
101	Di_infiri	21
103	smogfrog	20
104	snizv1	19
105	eiC_	18
106	IronyMan69	17
107	TinMaster	16
107	Leithz6	16
107	SammiWolfGirl	16
110	SexcMf	15
110	Deguns123	15
112	ShedJr_	14
113	RatatJuice	13
113	nocturne78	13
113	egglapras	13
113	gabriels543	13
113	_Bguette_	13
113	YoshikageBites	13
119	NomadicRobin_	12
119	Jiminie	12
119	Dusk_95	12
119	Faart	12
123	Fullut	11
123	AngalexikCZ	11
123	HellsSponge	11
123	Nycteus_	11
123	Racengan	11
128	_NieToksikpl_	10
128	teslawolf38	10
128	joethahobo	10
128	cowgirlkasia	10
132	Hpdinosaur	9
132	Nach0Bear	9
132	r123moore	9
132	thgrocks	9
136	SaucyDark	8
136	CoffeeNoir	8
136	MSK__	8
136	Stiar	8
136	gcaisawesome	8
136	Norrhede	8
136	RodSerlingCringe	8
136	Lord_Jord	8
136	MakeHistory157	8
136	starbits140	8
136	obzii	8
136	annoyingenderman	8
148	beeperbeeper5	7
148	cwartzo	7
148	RobotMinion101	7
148	Hail_the_wombat	7
148	Maenara	7
148	Spenduh	7
154	EMC_	6
154	diamondgolem35	6
154	T045RTY	6
154	Cartoonmaniac	6
154	Inchef	6
154	2Stout	6
154	Russiancat1	6
154	sp00ky_ghost977	6
154	KG1999	6
154	Enderslayerxz3	6
154	2blox	6
165	paranoid_plant	5
165	Queen_Jalapeno	5
165	Blu3beast	5
165	Zetsey	5
165	OnlyOfficial	5
170	Mr_Byzantine	4
170	JohnnyFyes	4
170	_Razar	4
170	SteveCraftBlocks	4
170	KingEgg1	4
170	Ch4osDoom64	4
170	0nly_sn1per	4
170	ImDisconnected_	4
170	AnnieBathory	4
170	The11thDoctor	4
170	XxCookiequeenxX	4
170	CookTheChef3	4
170	Blaiku	4
170	lcvezra	4
170	Sheldor097	4
170	jcool7	4
170	_3Stump_	4
170	Legendosh	4
170	MusicMe1005	4
189	Groovy_MoonBird	3
189	q_wq	3
189	6king6colt6	3
189	tsohomie	3
189	dopplexd	3
189	SDMNAEK	3
189	Nicky_H225	3
189	TheDankPlatypus	3
189	CaptainSteve345	3
189	CollinMH06	3
189	thewindmillman	3
189	Kouridragon	3
189	KeruNatsema	3
189	stuy9	3
189	claivin	3
189	MightyWertu	3
189	Yahir091	3
189	IAmTheWalrus910	3
189	07shiny	3
189	Jij0	3
189	pixelviolin	3
189	LeeMcGee30	3
189	The_SlideV5	3
212	Astronicky	2
212	Incinere	2
212	Myszoaz	2
212	Cortexia	2
212	_Dean_123	2
212	NotMeanttoChange	2
212	eviltunix	2
212	intropass	2
212	Xalithia	2
212	benediktine1	2
212	mimbo1211	2
212	LAVA129	2
212	ApophisNova	2
212	ADEXTV	2
212	KnightmareD	2
212	yulgur1	2
212	jake314810	2
212	The_slideV3	2
212	Groundler	2
212	TheTommyGun63	2
212	_Ruzeeq_	2
212	Optiprimus	2
212	PabloGonza02	2
212	Shin69	2
212	Hermanni__	2
212	TheOuterCore	2
212	TheOnlyRake	2
212	cichy096	2
212	MyNamaSheff	2
212	Nicserso	2
212	Kateesaur	2
212	h2p_emrld	2
244	Diamondpanda4	1
244	xyct	1
244	Lotheburgh	1
244	CueMix	1
244	LittleBug562	1
244	Nesquiczek	1
244	hm947	1
244	RebelAndroid	1
244	maliraspberry	1
244	SidorAlex	1
244	awesomeoneme	1
244	actuallysadie	1
244	jjekyll	1
