rank	username	minecraft:picked_up/minecraft:ender_eye
1	thewindmillman	1969
2	Hyp3rion_	991
3	12Magner05	263
4	TheSecondLord	145
5	Cocoamallows	130
6	eitanzaki	128
7	YungMaki	112
8	HellsSponge	108
9	Tyrannosplart	101
10	Wowful	81
11	Legendosh	76
12	Mahoose	63
13	Gryglu583	49
14	EveryonesUncle	48
15	pappaberg	46
15	RealGroot	46
17	Maenara	45
18	Nycteus_	44
19	pintsizedrogue	43
19	UCP_TheKingK	43
21	EcksD	42
22	SvenskaHugo	39
23	Awyrlas	38
24	Fullut	35
24	Di_infiri	35
26	FreakGenius	29
26	mihimihimihi	29
28	4774	27
29	RebelAndroid	26
30	Ezekson	25
31	Jackattack53	24
31	luseis	24
31	claivin	24
34	Merv__	23
35	SmashingPump	22
35	6king6colt6	22
37	crying_wolf_13	20
37	Rocco_Lane	20
37	Gab4101	20
40	Kkanot	19
40	lorpus	19
40	TheShyPig	19
43	Smoke____	18
44	Harotio	17
45	livingdaydreams	16
45	MrKrabOnCoke	16
45	Inchef	16
45	gabriels543	16
45	Blu3beast	16
45	Kowcio_	16
51	Esme_1	15
51	kekhon	15
51	binman420	15
51	iSammael	15
51	jcool7	15
51	EngagedGrub41	15
57	Euclidoris	14
57	AlexxO_o	14
57	stavgod	14
57	PlasticOtari	14
61	__TheNorseMan__	13
62	noam464	12
62	MirielThePastor	12
64	Prismyst	11
64	FirsTimeGamingTV	11
64	MinttyFressh	11
64	Mattesco	11
64	Eraxa	11
64	AssFullaCum	11
64	ProbsNotNova	11
64	diggydog67	11
72	chipklip	10
72	500am	10
72	jnp_gaming	10
75	diamondgolem35	9
75	xxPipperDipperxx	9
75	Zythose	9
75	Akoot_	9
79	gcaisawesome	8
79	MyNameIsJobo	8
79	PigDab	8
79	Spacewardharpy7	8
79	NotMeowMix	8
79	xzvu	8
85	Flores991	7
85	lotarp	7
85	Onennon	7
88	EMC_	6
88	Blackberry1310	6
88	_Magdo_	6
88	Chromary	6
88	Fuad_R	6
93	I_Am_Mushkin	5
93	beeperbeeper5	5
93	Yirtle	5
93	J4ko8_	5
93	SaintJosie	5
93	WyngGoy	5
93	2bolx_	5
93	JayToe	5
101	joethahobo	4
101	SlayerCrypto	4
101	IamCL4SSY	4
101	Groundler	4
101	Kukkelikuk	4
101	TheOuterCore	4
101	Enderxz3	4
108	Frozil20	3
108	AlazelTheReal	3
108	mattybeewrapss	3
108	fluddd	3
108	Racengan	3
108	lordpipe	3
108	ConnorDanky_	3
115	Groovy_MoonBird	2
115	lewieinnit	2
115	Huwulling	2
115	rarrq	2
115	MattieHD	2
115	ProfessorBee	2
115	Tjhodskins19	2
115	SellyZ	2
115	Skylord_Luke	2
115	GoofyBread	2
115	El_Jalapeno	2
115	Blaiku	2
115	lcvezra	2
115	Steelynan	2
115	Hermanni__	2
115	anbbang	2
115	Iamthejo	2
115	TechnoNinja64	2
115	Zoeyfortnite	2
134	PhantomsGhost_	1
134	AgressiveEggdog	1
134	Historical_Sand	1
134	Jakobo1337	1
134	ThePoliteG	1
134	DarkDescent2392	1
134	paranoid_plant	1
134	Bobby808	1
134	Motsaro	1
134	2Stout	1
134	whoaluv	1
134	yaboo88	1
134	killmeiamtraitor	1
134	Werbe	1
134	Kynigito	1
134	aec9	1
134	BunkeredTree	1
134	wezzzi	1
134	YungWali	1
134	censorsheep	1
134	Xclax101	1
134	GeromeMerris	1
134	SingedBread	1
134	radioactv_jelly	1
134	Leithz6	1
134	OG_Songsee	1
134	Chayula	1
134	Kyrum2169	1
134	y0shik	1
134	Dogcorn69420	1
134	Winston_Ingram	1
134	Kateesaur	1
134	h2p_emrld	1
