rank	username	minecraft:picked_up/minecraft:poisonous_potato
120	lillips	10
120	MyNameIsDakar	10
120	_Karmaa	10
120	Groundler	10
120	sp00ky_ghost977	10
120	Zetsey	10
120	Dogcorn69420	10
120	Steelynan	10
120	jnp_gaming	10
135	squigglybones	9
135	purpolepickle	9
135	NYJ	9
135	chipklip	9
135	1442	9
135	CoryJJ	9
135	Kiki_Majiki	9
135	Yogscast_Manden	9
143	Huwulling	8
143	dopplexd	8
143	MattieHD	8
143	GingerNeutron	8
143	Noah_Bez	8
143	CharlieButt	8
143	ItsAki_	8
143	Qorbyn	8
143	jambvds	8
143	Frozil12	8
143	oxfordschool	8
143	Kateesaur	8
155	Ssor69	7
155	AngalexikCZ	7
155	Purplehere	7
155	RefluxRatio	7
155	Kynigito	7
155	Russiancat1	7
155	HELLO_I_AM_BEAR	7
155	FlashMigma	7
155	Xclax101	7
155	BumbleBeever	7
155	SSytex_X	7
155	BreadBacon	7
155	Powowowow	7
168	Wooptey	6
168	Silenttieg	6
168	WarHammer3	6
168	Historical_Sand	6
168	nocturne78	6
168	TastyPorkchop	6
168	Malorn_Aetherius	6
168	jacxhadow	6
168	TheThomas69	6
168	emrekn	6
168	Ristebraaten	6
168	AJplaysMC_	6
168	Arceus1975	6
168	_Cloverbelle_	6
168	MousePlays	6
168	MonitorLizards	6
168	victorLIE	6
168	FishyBoy3811	6
168	AlphaWolfPlaysMC	6
168	Joestra	6
168	Deathkob	6
168	Nagasaki_Riku	6
168	_TCARREIRA_	6
168	Hermanni__	6
168	OfficerAnvil	6
168	cichy096	6
168	smogfrog	6
168	Wolverine4302	6
196	Ailmast	5
196	RatatJuice	5
196	Incinere	5
196	_Nuf	5
196	Bobby808	5
196	Covalents	5
196	yulgur1	5
196	PartyPhoenix	5
196	RedcatVII	5
196	Dusk_95	5
196	Cocoamallows	5
196	Jij0	5
196	ReyTheLegend	5
196	lcvezra	5
196	PlasticOtari	5
211	_Virify_	4
211	fanofbands101	4
211	Cowison	4
211	_Razar	4
211	BodaciousCake	4
211	Base_Tempest	4
211	Reamdin	4
211	shdesolt	4
211	TheSecondLord	4
211	Tmb1	4
211	ketaminmann	4
211	Inchef	4
211	ItzYaBoiPicard	4
211	prizm_	4
211	MyNameIsJobo	4
211	SuperPooch06	4
211	CruncyIsTaken	4
211	Dan_Scha	4
211	RodSerlingCringe	4
211	sufjanlover	4
211	Lutres_Torane	4
211	StinkyDiplomat	4
211	MAns_44	4
211	TiborSterle	4
211	MovingFish7	4
211	Vicemaniac	4
211	33sudo	4
211	stahouo	4
211	stellarjay	4
211	Deguns123	4
211	Njensen7	4
211	Smaldo	4
211	FGamerJ	4
211	BiggieDawg	4
245	LittleBug562	3
245	ItsColin11	3
245	6king6colt6	3
245	Hyugo	3
245	Bad_At_Names_Guy	3
245	Paleshield	3
245	Sna_Ke	3
245	Michaelelelelele	3
245	titanlax	3
245	Hobobrine	3
245	Auseawesome	3
245	Ravenbie	3
245	500am	3
245	r123moore	3
245	KingEgg1	3
245	pumpfonzo	3
245	Zaridey	3
245	fallingemma	3
245	toj__	3
245	BigMoneyH	3
245	Windo_licker	3
245	burbankbuilder28	3
245	impossibleteapot	3
245	Nyxiom_	3
245	Skomo	3
245	dartwaffle	3
245	natajimi	3
245	TheSeismicDuck	3
245	Inbefour	3
245	Gryglu583	3
245	EveryonesUncle	3
245	_Bguette_	3
245	rotten_mango	3
245	KlausVonStiglitz	3
245	DrGrant	3
245	DanTheBuilderino	3
245	MustaLoordi	3
245	censorsheep	3
245	Barlycorn	3
245	Typadopoulos	3
245	Spacewardharpy7	3
245	lordpipe	3
245	monky_irl	3
245	AvaRosey	3
245	Smiguli_	3
245	OG_Songsee	3
245	legoclone09	3
245	stavgod	3
245	Pickel_Lord	3
245	robotemo	3
245	bloomkieren	3
245	starbits140	3
245	__tomato	3
245	ediballbearings	3
245	Drawgirll	3
245	HAruSAme14	3
