rank	username	minecraft:picked_up/minecraft:crafter
1	DisgruntledKoala	100
2	Niklas20114552	64
3	11Brewer	16
4	Secret_Canary	10
5	pixelviolin	8
6	McCakeAh	5
7	lordpipe	4
8	lpinfinity	3
9	thewindmillman	2
10	oscminus	1
