rank	username	minecraft:picked_up/minecraft:tube_coral_fan
1	Kouridragon	850
2	Legendosh	475
3	ImpavidArcher	345
4	pintsizedrogue	323
5	thewindmillman	238
6	Enderxz3	209
7	TheShyPig	206
8	Jackattack53	187
9	YungMaki	184
10	Di_infiri	158
11	Hyp3rion_	157
12	Spacewardharpy7	131
13	El_Jalapeno	130
14	12Magner05	121
15	noam464	116
16	500am	109
17	Nicserso	89
18	lordpipe	86
19	_Dean_123	83
20	Lez_	79
21	ApophisNova	77
21	MyNamaSheff	77
23	RoskobiOne	69
24	kekhon	68
25	AuroraValkyrie	67
26	j5ylim	64
26	Merv__	64
26	Mewar	64
29	skroobiez	63
30	luseis	61
30	mihimihimihi	61
32	Fullut	60
33	Mahoose	59
34	HellsSponge	58
35	Manaateee	55
36	Vetral1	51
37	joethahobo	50
38	livingdaydreams	49
39	eiC_	48
40	IdeallyGrey	36
41	Jovaphobic	33
42	Blackberry1310	32
43	Ssor69	31
43	Quaintster	31
43	Kura2218	31
46	tsohomie	29
46	Onennon	29
46	TheWickedBird	29
49	crashomon	28
49	EdGalbraith	28
51	Xalithia	26
52	Inbefour	25
53	Iagoku	22
53	EveryonesUncle	22
53	Yamdalorian	22
56	__tomato	21
57	djancak	20
57	KingMatthew506	20
59	Marbz_	19
59	Krowuss	19
61	Kakolbus	18
61	aec9	18
61	TechnoNinja64	18
64	Archsam	17
64	Rumpletaezer	17
64	FreddyFart	17
64	Xclax101	17
68	TheDankPlatypus	16
68	AlexxO_o	16
70	SaucyDark	15
70	urbeans	15
70	Maenara	15
70	EcksD	15
74	Arceus1975	14
74	Luigipunch989	14
74	h2p_emrld	14
77	r123moore	13
77	PigDab	13
77	HolyVenom	13
77	Jimb0nat0r	13
81	Alteriity	12
81	MSK__	12
81	legal_tax_evader	12
81	groofles	12
81	Jiminbub	12
81	diggydog67	12
87	beeperbeeper5	11
87	Noah_Bez	11
87	Deathkob	11
87	Blaiku	11
87	pixelviolin	11
87	PlasticOtari	11
93	excelsionprime	10
93	surfinggiraffejp	10
93	TheSeismicDuck	10
93	Typadopoulos	10
93	PortlyPete69	10
98	dimondking777	9
98	eitanzaki	9
98	oscminus	9
98	XxCookiequeenxX	9
98	Karbl	9
98	Druid95	9
98	Quotary	9
98	Powowowow	9
106	T045RTY	8
106	RebytreGT	8
106	iSammael	8
109	RobotMinion101	7
109	NameGenerat0r	7
109	Fizznut909	7
109	Steelynan	7
113	myaccountwasgone	6
113	RatatJuice	6
113	Prismyst	6
113	_Nat666	6
113	Gus2005	6
113	miramyu	6
119	Bandito_Roamer	5
119	Apollo_993	5
119	6king6colt6	5
119	TheSecondLord	5
119	MyNameIsJobo	5
119	Snowflowe	5
119	Kynigito	5
119	Eerini	5
119	KeruNatsema	5
119	KlausVonStiglitz	5
119	FreakGenius	5
119	SpacesickPrism	5
119	MilleGrug	5
119	ConnorDanky_	5
133	Groovy_MoonBird	4
133	SuperPooch06	4
133	hanaryheatwave	4
133	domagawha	4
133	Bumpy419	4
133	SexcMf	4
133	Kowcio_	4
133	stellarjay	4
133	SammiWolfGirl	4
133	fffMike	4
133	Skippeh	4
133	Sral7	4
133	Biites	4
133	FishisTTV	4
147	diamondgolem35	3
147	hm947	3
147	ShedJr_	3
147	Historical_Sand	3
147	Inchef	3
147	Voxin2K	3
147	balin55	3
147	YungWali	3
147	claivin	3
147	censorsheep	3
147	Factoroni	3
147	monky_irl	3
147	sp00ky_ghost977	3
147	ZoharGoldMine	3
147	ZeroKraken	3
147	Ezekson	3
163	dudcreeper	2
163	IWorkAtIkea	2
163	InfernalMound	2
163	ratglock	2
163	bloodbiter	2
163	Secret_Canary	2
163	emrekn	2
163	XboxPanda	2
163	burbankbuilder28	2
163	Hiryu27	2
163	F_Uhre	2
163	_Cloverbelle_	2
163	Akoot_	2
163	fw3xy74	2
163	xDraggin	2
163	fkGrim	2
163	_Karmaa	2
163	SkateboardR6	2
163	AvaRosey	2
163	_Mythic____	2
163	SvenskaHugo	2
163	Pumpkin_P_Patch	2
163	_i_ERROR_i_	2
163	laron58	2
163	erkada	2
163	HesDemonPants	2
189	PhantomsGhost_	1
189	Hpdinosaur	1
189	tuckerdoodle	1
189	BodaciousCake	1
189	Huwulling	1
189	MoistMicrowave	1
189	titanlax	1
189	Cryptacity	1
189	eclipseboi	1
189	poopybh	1
189	thescout7	1
189	xxPipperDipperxx	1
189	Covalents	1
189	CollinMH06	1
189	Azmodan_246	1
189	Donutt	1
189	Werbe	1
189	Jimi7hits	1
189	audiocracked	1
189	StinkyDiplomat	1
189	MAns_44	1
189	Blu3beast	1
189	fluddd	1
189	IAmTheWalrus910	1
189	WyngGoy	1
189	MakeHistory157	1
189	Zetsey	1
189	Spenduh	1
189	Ir0npack	1
189	jnp_gaming	1
189	Zoeyfortnite	1
189	skitzxo	1
