rank	username	minecraft:picked_up/minecraft:stripped_jungle_log
1	Mahoose	290
2	PlasticOtari	279
3	ConnorDanky_	259
4	eitanzaki	189
5	PigDab	171
6	TheShyPig	159
7	MightyWertu	158
8	Stiar	149
9	_Virify_	141
10	Airem_Core	91
11	noam464	76
12	joethahobo	59
13	Winklepicker279	56
14	luseis	51
15	kekhon	47
16	EveryonesUncle	31
17	AuroraValkyrie	27
18	SvenskaHugo	23
19	MyNameIsJobo	20
20	mwrty	18
21	KingMatthew506	17
22	BronkerBrum	16
23	yulgur1	15
23	Factoroni	15
25	Windo_licker	14
25	jnp_gaming	14
25	Smoke____	14
28	Deathkob	13
29	Prodiginus	12
30	KarlKaek	11
30	ItsJunoIGuess	11
30	Steelynan	11
33	eiC_	9
33	Soplight	9
35	500am	8
36	Blackberry1310	7
36	Fullut	7
38	Merv__	6
38	Rebytre	6
38	HellsSponge	6
41	Cryptacity	5
41	ROY4LE	5
41	NameGenerat0r	5
41	MilleGrug	5
45	T045RTY	4
45	IWorkAtIkea	4
45	RefluxRatio	4
45	ooga47	4
45	Toiton	4
45	Groundler	4
51	Corbsman	3
51	lillips	3
51	OffWithTheirHead	3
51	SammiWolfGirl	3
55	dudcreeper	2
55	ImpavidArcher	2
55	CoffeeNoir	2
55	QuiCreans	2
55	SteveCraftBlocks	2
55	Kamflame10	2
55	Zaridey	2
55	Di_infiri	2
55	Werbe	2
55	Onennon	2
55	Akoot_	2
55	fkGrim	2
55	Kura2218	2
55	EngagedGrub41	2
55	bladeefan2009	2
70	Bandito_Roamer	1
70	123louis456	1
70	CryoInferno_	1
70	BlancoFlaco	1
70	SaucyDark	1
70	Sna_Ke	1
70	H72l9w	1
70	Historical_Sand	1
70	Swexti	1
70	nocturne78	1
70	beeperbeeper5	1
70	m_be9	1
70	MattieHD	1
70	_Dean_123	1
70	CollinMH06	1
70	Marbz_	1
70	Hyp3rion_	1
70	msJabberwock	1
70	TheWildMateo	1
70	cedric72	1
70	KeruNatsema	1
70	ZA07	1
70	ese_wn_po	1
70	DarlaMeow	1
70	weabis	1
70	FreakGenius	1
70	Typadopoulos	1
70	Eraxa	1
70	Kferno	1
70	Skippeh	1
70	anbbang	1
70	RadarHz	1
70	Enderxz3	1
70	TechnoNinja64	1
70	coobert42	1
