rank	username	minecraft:picked_up/minecraft:stone_slab
1	Spacewardharpy7	28014
2	Mahoose	6304
3	noam464	5976
4	thescout7	4640
5	Snowflowe	4411
6	Di_infiri	3835
7	Freak_Genius	3584
8	Werbe	3464
9	joethahobo	3461
10	Blaiku	2896
11	eitanzaki	2859
12	Historical_Sand	2477
13	Frozil12	2331
14	Blu3beast	2069
15	EcksD	1633
16	PhantomsGhost_	1600
17	TheShyPig	1552
18	thewindmillman	1447
19	PortlyPete69	1248
20	Eczbek	1098
21	M_Patata	952
22	MasterNueve	946
23	RebelAndroid	889
24	EveryonesUncle	797
25	Jimi7hits	793
26	HellsSponge	782
27	KnightmareD	773
28	Onennon	765
29	Miko_Fullbuster	694
30	Legendosh	660
31	PigDab	651
32	Fullut	628
33	ColeSnyder	621
33	SammiWolfGirl	621
35	T045RTY	619
36	gcaisawesome	604
37	pintsizedrogue	600
38	ImpavidArcher	563
39	CoffeeNoir	553
40	EMC_	537
41	MangoTheFish	531
42	FreddyFart	525
43	jcool7	515
44	wobn	495
45	Skippeh	479
46	stavgod	476
47	Dedalus36	470
48	SuperPooch06	457
48	Eraxa	457
50	Sky_light_KING	433
51	Jackattack53	432
52	NameGenerat0r	416
53	Maenara	404
54	ShedJr_	402
54	Smoke____	402
56	Soplight	385
57	kekhon	381
58	BumbleBeever	377
59	Fuhrer_Teemo	372
60	himak1	370
61	Sheldor097	361
62	WyngGoy	359
63	beeperbeeper5	349
64	Swexti	341
65	Zoeyfortnite	333
66	Hyp3rion_	329
67	Racengan	313
68	TheSecondLord	308
69	rarrq	301
70	Hisiste	289
71	Sral7	285
72	Cartoonmaniac	270
73	Kowcio_	267
74	ApophisNova	265
74	MyNamaSheff	265
76	Enderslayerxz3	262
77	Lord_Jord	249
78	Kubelz	244
79	Arceus1975	238
80	Chromary	230
80	Akoot_	230
82	Kakolbus	226
83	m_be9	223
84	burbankbuilder28	211
85	victorLIE	207
86	abramgray	196
87	mariominejedi	193
88	Malorn_Aetherius	188
89	Ssor69	187
90	eviltunix	184
91	RoskobiOne	181
92	EcksDofficial	178
93	DTwenty	176
94	TechnoNinja64	169
95	theonlymagikarp	164
96	Cryptacity	159
97	500am	155
98	Menthas	152
99	I_Am_Mushkin	148
100	AlazelTheReal	146
101	r123moore	145
102	_Boipl_	144
103	avalan64	143
104	Xalithia	139
104	CalebDHawk	139
106	Ezekson	137
107	Merv__	135
108	selectrix	132
109	MonitorLizards	131
109	2blox	131
111	zylanzagreat	130
112	Rasmanden	126
113	Shiirazuku	125
113	Jiminie	125
115	eiC_	123
116	_Karmaa	121
117	Steelynan	120
118	fluddd	119
118	oxfordschool	119
120	Deathkob	115
120	The_slideV3	115
122	Warlord324	113
123	Kekoo	109
124	jnp_gaming	108
125	_stets	107
125	Truckoss	107
127	Scathra	105
128	Skylord_Luke	104
129	dimondking777	103
130	kiluaemc	102
131	SokaOtaku	100
132	mwrty	98
133	fred870d	96
133	ayamefag	96
135	Blackberry1310	92
135	Vorlice	92
137	Winklepicker279	90
138	Kynigito	89
138	epiksk8erduck	89
140	JESS_THE_RERE	87
141	Hermanni__	85
142	ExtraDumb	84
142	vandmanden	84
144	bigstankyy	82
144	radioactv_jelly	82
146	Hiryu27	80
147	xxPipperDipperxx	76
147	XboxPanda	76
147	YungMaki	76
150	Segotep999	74
150	Kubeusz2010	74
152	Kim_Jong_eel	73
153	Quaintster	72
154	ProfessorBee	71
154	Negriuke	71
154	Nycteus_	71
157	SingedBread	70
158	stuy9	69
159	cedric72	68
160	Inchef	64
160	cichy096	64
162	loveseeker	63
162	stellarjay	63
164	fw3xywashere	62
164	KG1999	62
166	InfernalMound	61
167	cog	60
168	intropass	58
168	pipejob	58
168	PlasticOtari	58
171	titanlax	57
171	Kouridragon	57
171	07shiny	57
174	paranoid_plant	56
174	potatocan	56
176	emrekn	55
176	MyNameIsDakar	55
176	Lowjinx	55
179	SvenskaHugo	53
179	Winston_Ingram	53
181	mawileite	52
182	slkiey	51
183	MustaLoordi	50
184	Natty	49
185	KingMatthew506	48
186	SlayerCrypto	46
187	ogoa	45
187	fkGrim	45
189	Th6masss	43
190	Inbefour	42
190	MilleGrug	42
192	FishyBoy3811	41
192	OfficerAnvil	41
194	DemTechAlpha	40
194	GravitySaint	40
194	Fildyr	40
197	hollowww	39
198	wTXop	38
198	wwwwinnebagoooo	38
200	jiggywraps	37
200	bloodbiter	37
200	claivin	37
203	H72l9w	36
203	NoxxxxiS	36
203	BlueZabu	36
206	Jovaphobic	35
206	Wooptey	35
206	YungJakobo	35
206	seramalen	35
210	UrbanPlanner1978	34
211	4383	33
211	Katthaj	33
213	Ailmast	32
213	_Dean_123	32
213	MakeHistory157	32
216	BlancoFlaco	31
216	yaboo88	31
216	FedirSpectator	31
216	Quotary	31
216	_Dri_	31
221	Sleek_Storm_721	30
221	Teebone15	30
223	Bumpy419	29
223	BlankityMcBlank	29
223	obzii	29
226	soundad	28
226	SaucyDark	28
226	Swalt	28
229	ProbablyNick	27
229	awesomeoneme	27
229	NotMeanttoChange	27
229	sp00ky_ghost977	27
229	ElectricDragon81	27
234	Ananas55	26
234	Healthing	26
234	eli_tschki	26
234	PuFY	26
234	RodSerlingCringe	26
234	tartanboy	26
234	anbbang	26
234	RadarHz	26
242	2Stout	25
242	ooga47	25
242	AuroraSkies	25
245	SteveCraftBlocks	24
245	pumpfonzo	24
245	Yahir091	24
245	Moetis	24
245	fffMike	24
250	Comma__	23
250	MinttyFressh	23
250	ese_wn_po	23
253	Syropatathe	22
254	_Virify_	21
254	_NieToksikpl_	21
254	Whiterooster001	21
254	The11thDoctor	21
258	jewbacaman	20
258	Powowowow	20
260	Bandito_Roamer	19
260	Drlzyy	19
260	heckface	19
260	Ardennes	19
264	KGTV	18
264	fallingemma	18
264	NoChumpChange	18
264	Dusk_95	18
264	Xovalt_	18
269	Euclidoris	17
269	ItzYaBoiPicard	17
269	andy_rex	17
269	CruncyIsTaken	17
269	NomadicRobin_	17
274	teslawolf38	16
274	KarlKaek	16
274	CrookedKaptain	16
274	godipose	16
274	camando92	16
279	AuroraValkyrie	15
279	6king6colt6	15
279	MSK__	15
279	tramizu	15
279	Hanselhoof	15
279	Patwannabegamer	15
279	KeruNatsema	15
279	MightyWertu	15
279	the__Reaper4999	15
288	IWorkAtIkea	14
288	Stynxy	14
288	arcanemagic	14
288	LexMakesHistory	14
288	Quincannon	14
288	smogfrog	14
294	ssleepless	13
294	Incinere	13
294	Myszoaz	13
294	TinMaster	13
294	Megarboh	13
294	mimbo1211	13
294	lizardfightclub	13
