rank	username	minecraft:picked_up/minecraft:green_banner
1	joethahobo	120
2	beeperbeeper5	85
3	_Dean_123	33
4	Kakolbus	32
4	Werbe	32
6	Mahoose	25
7	Skylord_Luke	23
8	Historical_Sand	19
9	TheShyPig	10
9	Lord_Jord	10
11	SvenskaHugo	9
11	SammiWolfGirl	9
13	noam464	8
13	Jiminie	8
15	ShedJr_	7
15	Xclax101	7
15	pixelviolin	7
15	Smoke____	7
19	pintsizedrogue	6
19	eitanzaki	6
19	toj__	6
22	Merv__	5
22	Blackberry1310	5
22	CalebDHawk	5
25	r123moore	4
25	HellsSponge	4
25	Legendosh	4
25	jnp_gaming	4
29	ProfessorBee	3
29	xxPipperDipperxx	3
29	seramalen	3
29	Akoot_	3
29	Blaiku	3
29	Spacewardharpy7	3
35	IWorkAtIkea	2
35	Fullut	2
35	EveryonesUncle	2
35	YungMaki	2
35	Soplight	2
40	hm947	1
40	T045RTY	1
40	m_be9	1
40	Chromary	1
40	Arceus1975	1
40	_Karmaa	1
40	Frozil12	1
40	Dusk_95	1
40	Kowcio_	1
40	MythicalyMew	1
40	TechnoNinja64	1
