rank	username	minecraft:picked_up/minecraft:magenta_glazed_terracotta
1	joethahobo	398
2	EMC_	302
3	lordpipe	235
4	thewindmillman	72
5	_Virify_	65
6	beeperbeeper5	60
7	Merv__	51
8	Smoke____	29
9	_Boipl_	23
9	YungMaki	23
11	SingedBread	15
12	eitanzaki	13
12	fluddd	13
14	Fuad_R	12
15	ImpavidArcher	10
15	Ezekson	10
17	Blaiku	8
17	Quotary	8
19	Spenduh	5
20	StinkyDiplomat	4
20	mobunni	4
20	jnp_gaming	4
23	noam464	3
23	Di_infiri	3
23	Inbefour	3
26	bbquakes	2
26	xxPipperDipperxx	2
26	Onennon	2
26	Spacewardharpy7	2
30	Bandito_Roamer	1
30	ProbablyNick	1
30	rarrq	1
30	Fullut	1
30	thescout7	1
30	TheShyPig	1
30	ItzWqlfy	1
30	pixelviolin	1
30	idyllical	1
