rank	username	minecraft:picked_up/minecraft:mossy_stone_brick_stairs
1	kekhon	406
2	Akoot_	315
3	Comma__	125
4	TheShyPig	111
5	HellsSponge	90
6	Eraxa	85
7	SuperPooch06	51
8	layabout100	40
9	cedric72	39
10	Creativebuilder2	32
11	thescout7	27
12	killmeiamtraitor	20
13	Werbe	17
13	FreakGenius	17
15	soundad	14
15	Inchef	14
17	luseis	12
18	pintsizedrogue	10
19	500am	9
19	Maenara	9
21	Blackberry1310	8
21	Winklepicker279	8
21	Zythose	8
24	Huwulling	6
24	Khelvoryk	6
24	Wowful	6
24	Toriankel	6
24	Kowcio_	6
24	Quotary	6
24	Legendosh	6
31	Onennon	5
31	Lutres_Torane	5
33	Reamdin	4
33	TheSecondLord	4
33	Eraza	4
33	MyNameIsJobo	4
37	Marbz_	3
37	Skylord_Luke	3
37	RealGroot	3
40	Bandito_Roamer	2
40	Tommhh	2
40	RebelAndroid	2
40	Alteriity	2
40	thewindmillman	2
40	burbankbuilder28	2
40	RoofTyler	2
40	Nycteus_	2
40	wwwwinnebagoooo	2
40	Soplight	2
40	SpacesickPrism	2
40	Iamthejo	2
52	SmashingPump	1
52	Merv__	1
52	Houstonion	1
52	ITDV	1
52	SquadMonster	1
52	corvidpartyfor6	1
52	BilboBaggins23	1
52	mariominejedi	1
52	ormr_kin	1
52	groofles	1
52	Fuhrer_Teemo	1
52	MinuteMira	1
52	HELLO_I_AM_BEAR	1
52	Fuad_R	1
52	Shogunite	1
52	Cyntrical	1
52	Blaiku	1
52	kyouma777	1
52	UCP_TheKingK	1
52	Jimb0nat0r	1
52	diggydog67	1
