rank	username	minecraft:picked_up/minecraft:mace
1	k_ce	2
1	net_flex	2
1	MattieHD	2
1	hanaryheatwave	2
1	cutelilreno	2
1	Yamdalorian	2
1	00000000-0000-0000-0009-01fe065167f0	2
8	Mr_Byzantine	1
8	MyMawgDonaldsGon	1
8	beeperbeeper5	1
8	oscminus	1
8	Pumpkin_P_Patch	1
8	Spaghettatron	1
