rank	username	minecraft:picked_up/minecraft:warped_pressure_plate
1	thewindmillman	92332
2	EcksD	192
3	Jackattack53	112
4	Hyp3rion_	64
5	Legendosh	23
6	Dakar_	20
7	kekhon	8
8	TheSecondLord	7
9	SpartanNamor	4
9	oscminus	4
9	brofrickcheaters	4
12	Apollo_993	3
12	joethahobo	3
12	beeperbeeper5	3
15	pintsizedrogue	2
16	Hpdinosaur	1
16	Awyrlas	1
16	gcaisawesome	1
16	noam464	1
16	DisgruntledKoala	1
16	craaaash	1
16	Akoot_	1
16	Manaateee	1
16	claivin	1
16	Spacewardharpy7	1
16	iSammael	1
16	IlkeCookes_	1
16	Soplight	1
16	ConnorDanky_	1
16	TheWickedBird	1
