rank	username	minecraft:picked_up/minecraft:dead_horn_coral_block
1	Legendosh	2246
2	TheSecondLord	134
3	Di_infiri	101
4	ImpavidArcher	65
5	diamondgolem35	58
6	Eraxa	49
7	hollowww	39
8	TheShyPig	35
8	Eerini	35
10	kekhon	28
11	fkGrim	26
12	pintsizedrogue	18
12	lillips	18
14	DarkLawD	14
15	Lord_Jord	11
16	Bumpy419	9
16	HellsSponge	9
16	Blu3beast	9
16	cytotoxaint	9
20	Ssor69	8
21	6king6colt6	7
21	eitanzaki	7
21	1442	7
24	EcksDofficial	6
25	_Bguette_	5
25	djancak	5
27	AuroraValkyrie	4
27	NotoriousNina	4
27	GravitySaint	4
27	Nagasaki_Riku	4
31	BodaciousCake	3
31	Blackberry1310	3
31	Zaridey	3
31	burbankbuilder28	3
31	jambvds	3
31	El_Jalapeno	3
37	bloodbiter	2
37	ProfessorBee	2
37	_Dean_123	2
37	XboxPanda	2
37	TheDankPlatypus	2
37	Onennon	2
37	EveryonesUncle	2
37	DarlaMeow	2
37	lordpipe	2
37	AvaRosey	2
37	EcksD	2
48	the_fireminer	1
48	AlazelTheReal	1
48	Historical_Sand	1
48	Shazzyling	1
48	ratglock	1
48	jacxhadow	1
48	Nicky_H225	1
48	GingerNeutron	1
48	sandmire	1
48	noam464	1
48	Kubelz	1
48	Arceus1975	1
48	Rebytre	1
48	LilLizardWizard	1
48	wezzzi	1
48	Katsuragi0243218	1
48	Gryglu583	1
48	Russiancat1	1
48	sufjanlover	1
48	Renchi19	1
48	_Karmaa	1
48	QueenShuvi	1
48	censorsheep	1
48	cog	1
48	IAmTheWalrus910	1
48	__tomato	1
48	Western_1	1
48	Njensen7	1
48	Skippeh	1
48	OfficerAnvil	1
48	HuangMeiHua	1
48	Wolverine4302	1
48	TechnoNinja64	1
48	Smoke____	1
