rank	username	minecraft:picked_up/minecraft:dead_fire_coral_block
1	Legendosh	3456
2	Onennon	2001
3	12Magner05	122
4	Di_infiri	93
5	pintsizedrogue	69
6	Jovaphobic	64
6	Nicserso	64
8	eitanzaki	63
9	diamondgolem35	60
10	__tomato	54
11	ImpavidArcher	50
12	1442	38
13	Mr_Byzantine	24
14	Lord_Jord	23
15	TheShyPig	20
16	hollowww	17
17	NotoriousNina	16
18	Blu3beast	14
19	DarkLawD	13
20	_Bguette_	8
20	HellsSponge	8
20	Skippeh	8
23	burbankbuilder28	7
23	PlasticOtari	7
25	Merv__	6
25	Werbe	6
25	xolstoi	6
28	BodaciousCake	5
28	InfernalMound	5
28	kekhon	5
28	500am	5
28	The11thDoctor	5
33	PazinGaming	4
33	hm947	4
33	RatatJuice	4
33	Lez_	4
33	Inchef	4
33	fr_ser	4
33	Jackattack53	4
33	Eerini	4
33	DarkS0L	4
33	Xclax101	4
33	BlankityMcBlank	4
33	Enderxz3	4
45	H0UNDFRMH3LL	3
45	_Dean_123	3
45	M_Patata	3
45	kars0n	3
45	Skylord_Luke	3
45	Nicky19	3
45	Inbefour	3
45	Tyrannosplart	3
45	GravitySaint	3
45	cog	3
45	MasterNueve	3
45	non089	3
45	Biites	3
58	maxdacatv2	2
58	MattieHD	2
58	MyNameIsJobo	2
58	Studyhallsaver	2
58	ApophisNova	2
58	RobotMinion101	2
58	Akoot_	2
58	lillips	2
58	MAns_44	2
58	Typadopoulos	2
58	silverpopcorn	2
58	Eraxa	2
58	MyNamaSheff	2
58	h2p_emrld	2
72	Paleshield	1
72	MoistMicrowave	1
72	FirsTimeGamingTV	1
72	TheSecondLord	1
72	ThePoliteG	1
72	Kamflame10	1
72	ketaminmann	1
72	Paintz	1
72	noam464	1
72	SuperPooch06	1
72	oscminus	1
72	LeonelSalamanca	1
72	EveryonesUncle	1
72	luseis	1
72	_Karmaa	1
72	claivin	1
72	Quaintster	1
72	FreakGenius	1
72	kalzor	1
72	Optiprimus	1
72	_Mythic____	1
72	Zetsey	1
72	Kowcio_	1
72	YungMaki	1
72	xzvu	1
72	Ezekson	1
72	EcksD	1
72	Wolverine4302	1
72	OrewaSora	1
72	AdmiralSmoke	1
