rank	username	minecraft:picked_up/minecraft:birch_wood
1	Smoke____	1053
2	The_SlideV5	97
3	Merv__	65
4	Kowcio_	60
5	KeruNatsema	56
6	Groundler	55
7	SpacesickPrism	50
8	Mahoose	40
9	Werbe	31
10	eviltunix	30
11	PlasticOtari	26
12	rarrq	25
13	oreee	20
14	censorsheep	17
15	Human_Resource	16
16	joethahobo	14
17	Lez_	9
18	noam464	7
18	ayamefag	7
20	hm947	6
20	Di_infiri	6
20	lcvezra	6
20	Legendosh	6
24	bloodbiter	5
25	stavgod	4
26	beeperbeeper5	3
26	420BreadLizard	3
26	luseis	3
26	Deerfoot	3
26	LordSpeed37	3
26	Luigipunch989	3
26	KingMatthew506	3
26	Steelynan	3
26	Quotary	3
35	ProfessorBee	2
35	MyNameIsJobo	2
35	Hyp3rion_	2
35	IamCL4SSY	2
39	fr0stss	1
39	500am	1
39	Inchef	1
39	Mattesco	1
