rank	username	minecraft:picked_up/minecraft:warped_planks
1	thewindmillman	1410183
2	noam464	297300
3	EcksD	266679
4	Hyp3rion_	26284
5	TheDankPlatypus	3577
6	gcaisawesome	2059
7	Spacewardharpy7	1695
8	Syropatathe	1472
9	eitanzaki	1438
10	Enderxz3	1103
11	rarrq	899
12	PigDab	883
13	Winklepicker279	820
14	TheEnderMan548	764
15	Cowison	706
16	beeperbeeper5	605
17	Legendosh	471
18	EMC_	385
19	soundad	367
20	00000000-0000-0000-0009-01ff0c3e5e4f	340
21	Dakar_	324
22	kekhon	314
23	Apollo_993	313
24	pintsizedrogue	271
25	Lutres_	263
26	12Magner05	251
27	Historical_Sand	239
28	Lez_	234
29	SuperPooch06	231
30	King_Pancake1	229
31	_Razaria	202
31	Kowcio_	202
33	Jonafrog99	196
34	Wolf_Mauler_73	192
35	HolyVenom	184
36	Hermanni__	181
37	Blaiku	179
38	joethahobo	162
39	MilleGrug	146
39	AdmiralSmoke	146
41	ITDV	140
42	Jimb0nat0r	134
43	Di_infiri	133
44	VentiHilton	128
45	Akoot_	126
46	r123moore	121
47	_Huge_Male_	108
48	Xalithia	104
49	PazinGaming	100
49	tsitrawhy	100
51	Mahoose	96
52	Awyrlas	90
53	Eraxa	83
54	Manaateee	79
55	mihimihimihi	78
56	_Dean_123	76
56	lizardfightclub	76
58	Mr_Byzantine	74
59	Optiprimus	72
60	gren_ben	69
60	Segotep999	69
62	CalebDHawk	64
63	Soplight	62
64	Arceus1975	60
64	Nicserso	60
66	jessewegottacook	54
67	Ezekson	52
68	lorpus	45
69	Fullut	43
69	MaGro2010	43
71	Luigipunch989	42
72	catandmoose	41
72	EveryonesUncle	41
72	HellsSponge	41
75	Alteriity	39
76	Jackattack53	37
77	Marbz_	36
78	YungMaki	33
79	KarlKaek	31
80	luseis	30
81	IgnoredBee	28
82	SquadMonster	24
82	FishyBoy3811	24
84	JohnnyFyes	23
85	Hoid_the_Roamer	18
85	extralargenose	18
87	paranoid_plant	16
88	Huwulling	14
88	breadbowlgamer	14
88	FreakGenius	14
91	eclipseboi	13
92	trixterrx	12
92	0Vyp_	12
92	iSammael	12
92	EngagedGrub41	12
96	CLG_Kata	11
97	Mattesco	10
97	Fuad_R	10
99	Frozil20	9
99	djancak	9
101	AlexxO_o	8
101	NomadicRobin_	8
101	Biites	8
101	FishisTTV	8
105	teslawolf38	7
106	TheSecondLord	6
106	Decaying_Lotus	6
106	ConnorDanky_	6
109	RatatJuice	5
109	CoffeeNoir	5
109	Tiberonus	5
109	LexMakesHistory	5
113	Jindong	4
113	Hpdinosaur	4
113	himak1	4
113	Snowflowe	4
113	Werbe	4
113	Lord_Jord	4
113	lordpipe	4
113	monky_irl	4
113	ZoharGoldMine	4
113	MineMaster0012	4
113	Skippeh	4
124	livingdaydreams	3
124	Blackberry1310	3
124	fw3xy74	3
124	SvenskaHugo	3
128	I_Am_Mushkin	2
128	CliffEmAll	2
128	WET_WET_WET	2
128	LeonelSalamanca	2
128	jacobsoy	2
128	TheTommyGun63	2
128	SpacesickPrism	2
128	NATE_the_HALO	2
128	ZeroKraken	2
137	T045RTY	1
137	BobDeBouwer1337	1
137	Touched_Bread	1
137	CarltheCuck	1
137	Zythose	1
137	_Boipl_	1
137	Moofyman	1
137	lillips	1
137	MightyWertu	1
137	dagudagu4	1
137	anbbang	1
137	cichy096	1
137	PlasticOtari	1
