rank	username	minecraft:picked_up/minecraft:bricks
1	thewindmillman	20881
2	Legendosh	13774
3	Hyp3rion_	8170
4	EveryonesUncle	4294
5	Enderxz3	3848
6	Kakolbus	3381
7	Mr_Byzantine	3156
8	Quotary	3152
9	PlasticOtari	3055
10	El_Jalapeno	2752
11	FreakGenius	2751
12	hanaryheatwave	2599
13	burbankbuilder28	2520
14	Spaghettatron	2314
15	Kowcio_	2279
16	Huwulling	2169
17	Steelynan	2061
18	beeperbeeper5	1989
19	Eczbek	1918
20	Lez_	1860
21	Mahoose	1786
22	Yamdalorian	1556
23	Saucepeh	1444
24	_stets	1261
25	Mattesco	1227
26	HellsSponge	1160
27	Ryan_GEMS	1053
28	noam464	1013
29	PhantomsGhost_	1003
30	Frozil20	990
30	craaaash	990
32	paranoid_plant	970
33	Di_infiri	955
34	joethahobo	924
35	rarrq	921
36	Dakar_	734
37	TheShyPig	733
38	Merv__	706
39	U_Mos_	690
40	TheSecondLord	665
41	luseis	644
42	Nicserso	610
43	ShedJr_	583
43	SkateboardR6	583
45	oscminus	581
46	IamCL4SSY	577
47	Historical_Sand	573
48	PazinGaming	560
49	bl1ss0	550
50	Ezekson	532
51	Pumpkin_P_Patch	523
52	Blaiku	484
53	Caribouse	462
54	Zythose	450
54	CalebDHawk	450
56	m_be9	432
57	SingedBread	413
58	Diavri	411
59	Krowuss	391
60	milltesco	390
61	NameGenerat0r	364
62	Onennon	358
63	Soplight	348
64	Buuck_	346
65	Nadhorion	329
66	k_ce	325
67	cutelilreno	324
68	pintsizedrogue	307
69	NomadicRobin_	299
70	weabis	280
71	taengoos	277
72	cog	274
73	Spenduh	272
74	_witch_craft_	271
75	Werbe	260
76	ConnorDanky_	253
77	fffMike	251
78	Olib3ar	248
79	teslawolf38	240
80	NotMeanttoChange	230
81	Spacewardharpy7	224
82	EcksD	192
83	DrowsyOracle	180
84	FormulaNewt3627	177
85	lorpus	174
86	gabukun_	170
87	HolyVenom	168
88	SquadMonster	167
89	_Huge_Male_	166
90	MattieHD	161
91	Pineapplesugr	159
