rank	username	minecraft:picked_up/minecraft:cracked_nether_bricks
1	TheSecondLord	18
1	Yamdalorian	18
3	Legendosh	11
4	mobunni	3
5	YungMaki	2
6	SmashingPump	1
6	kekhon	1
6	Kowcio_	1
