rank	username	minecraft:picked_up/minecraft:cracked_polished_blackstone_bricks
1	lizardfightclub	7196
2	pintsizedrogue	2097
3	thewindmillman	1380
4	HellsSponge	1061
5	Freak_Genius	972
6	Legendosh	963
7	TheSecondLord	891
8	YungMaki	704
9	TheShyPig	572
10	MyNameIsDakar	488
11	set67	477
12	500am	403
13	Cowison	387
14	oxfordschool	372
15	himak1	369
16	Enderslayerxz3	344
17	mwrty	331
18	Racengan	252
19	GlitchyPlate810	250
20	T045RTY	247
21	Blaiku	245
22	ShedJr_	225
23	fanofbands101	221
23	r123moore	221
25	Marbz_	220
26	Smoke____	211
27	joethahobo	210
28	Zythose	176
29	EveryonesUncle	166
30	MSK__	161
31	Hyp3rion_	157
32	wwwwinnebagoooo	141
33	SquadMonster	140
34	Fullut	134
35	Nesquiczek	132
36	ooga47	127
37	crying_wolf_13	122
38	ImpavidArcher	118
39	Alteriity	114
40	Segotep999	111
40	Miko_Fullbuster	111
42	CACTUSLAD	109
43	Billious	108
43	Akoot_	108
45	livingdaydreams	106
46	_Virify_	102
46	Quotary	102
48	Jiminie	101
49	Kowcio_	99
50	Winklepicker279	97
50	Skylord_Luke	97
52	pixelviolin	96
53	Steelynan	94
54	benediktine1	93
55	rarrq	91
56	kekhon	89
56	ApophisNova	89
56	MyNamaSheff	89
59	Kubeusz2010	86
60	SammiWolfGirl	85
61	Mahoose	84
62	Groovy_MoonBird	82
63	burbankbuilder28	81
64	Decaying_Lotus	78
65	KeruNatsema	77
65	Eraxa	77
67	MinttyFressh	74
68	djancak	68
69	Inchef	65
69	Moofyman	65
71	Shogunite	64
71	Dusk_95	64
73	Ezekson	61
74	_Razar	60
75	00000000-0000-0000-0009-01ff0c3e5e4f	59
76	diggydog67	56
77	Werbe	54
78	monky_irl	51
79	PhantomsGhost_	48
80	tartanboy	47
80	PlasticOtari	47
82	noam464	46
83	fred870d	45
84	HolyVenom	42
85	NomadicRobin_	40
86	KarlKaek	39
87	Historical_Sand	38
88	Awyrlas	37
88	FishyBoy3811	37
90	Di_infiri	36
91	12Magner05	35
92	beeperbeeper5	31
92	Rebytre	31
94	eitanzaki	30
94	kinas45y5	30
96	Frozil20	29
97	DarlaMeow	27
98	4774	25
98	IvarEXE	25
100	JitteryJared2	23
101	Hpdinosaur	22
101	ratglock	22
101	Spacewardharpy7	22
101	TheOuterCore	22
105	eclipseboi	20
105	WYFYoyo	20
107	EcksD	19
108	Myrlewen	17
108	Arceus1975	17
108	Afinnity	17
108	LazySupport00	17
112	masskedman	16
112	trexgb	16
114	JingleLizi	15
115	Snowflowe	14
116	ROY4LE	13
117	Touched_Bread	12
117	AlexxO_o	12
117	Nycteus_	12
120	MixerDixer	11
120	NieToksikpl	11
120	GravitySaint	11
120	Luigipunch989	11
120	RadarHz	11
125	Blu3beast	10
126	EMC_	9
126	WET_WET_WET	9
126	fluddd	9
126	SingedBread	9
126	Eczbek	9
131	TheFlfthHorseman	8
131	titanlax	8
131	Chromary	8
134	soundad	7
134	Kakolbus	7
134	Soplight	7
134	Xi_J1nping	7
138	Travasaur	6
138	itburb	6
138	mariominejedi	6
138	bluefragmentt	6
138	iSammael	6
143	4383	5
143	hdtpm	5
143	EcksDofficial	5
146	tweety_sweety	4
146	noodlepack	4
146	egglapras	4
146	Hisiste	4
146	Airem_Core	4
151	diamondgolem35	3
151	Prismyst	3
151	PegLegPete93	3
151	Mattesco	3
151	jcool7	3
151	FelixPSY375	3
157	RebelAndroid	2
157	ChampPog_	2
157	Blackberry1310	2
157	jacxhadow	2
157	Nicky_H225	2
157	SuperPooch06	2
157	whoaluv	2
157	CruncyIsTaken	2
157	Razzgriz	2
157	Sheldor097	2
157	Winston_Ingram	2
168	BlancoFlaco	1
168	hm947	1
168	NinjaKnifeKill	1
168	PhantomBionic	1
168	Da_Boss_Rani	1
168	fade_emerge78823	1
168	pumpfonzo	1
168	Klerick	1
168	yulgur1	1
168	NameGenerat0r	1
168	Vorlice	1
168	MilleGrug	1
168	MissCeleste7	1
