rank	username	minecraft:picked_up/minecraft:note_block
1	noam464	11744
2	thewindmillman	1420
3	Di_infiri	579
4	Akoot_	503
5	Soplight	337
6	eitanzaki	305
7	Spacewardharpy7	249
8	m_be9	192
9	beeperbeeper5	181
10	Euclidoris	154
11	Mahoose	148
12	MangoTheFish	139
13	Jackattack53	119
14	Cocoamallows	107
15	OtariCharlie	103
16	Frozil12	96
17	Freak_Genius	79
18	RobotMinion101	77
19	Onennon	76
20	Blu3beast	71
21	KG1999	69
22	jnp_gaming	68
23	Historical_Sand	67
24	kekhon	66
25	TechnoNinja64	65
26	PigDab	64
26	Shogunite	64
26	sp00ky_ghost977	64
29	Sky_light_KING	63
29	HellsSponge	63
29	BlankityMcBlank	63
32	Smoke____	60
33	Comma__	57
34	YungMaki	55
35	thescout7	54
36	Blaiku	49
37	Bumpy419	46
38	Hyp3rion_	45
39	Awyrlas	42
39	Aiko_Kawashima	42
41	Hermanni__	40
42	oxfordschool	39
43	SaucyDark	37
43	Nicserso	37
45	MightyWertu	35
46	Werbe	33
46	epiksk8erduck	33
46	AssEatrAndLicker	33
49	PhantomsGhost_	30
50	Arceus1975	29
50	Kubeusz2010	29
50	EcksD	29
53	FishyBoy3811	27
54	Fullut	26
55	LetsDoItLive	25
56	Mercadies	24
57	MyNameIsJobo	23
57	the_russell1611	23
59	kinas45y5	21
60	12Magner05	20
61	MangoTango82	19
61	Luigipunch989	19
63	Rich_Kat	17
63	chipklip	17
65	pintsizedrogue	16
66	Merv__	15
66	FishisTTV	15
68	Ezekson	14
69	T045RTY	13
69	fluddd	13
71	DepressedCubic	11
71	Kakolbus	11
71	RyuNeko932000	11
71	EveryonesUncle	11
71	lordpipe	11
71	KingMatthew506	11
77	TheShyPig	10
77	Sheldor097	10
77	sebastiensaborio	10
77	Quotary	10
77	Zoeyfortnite	10
82	Mewar	9
82	xxPipperDipperxx	9
82	Rumpletaezer	9
82	ese_wn_po	9
82	WyngGoy	9
82	Legendosh	9
88	Frach23	8
88	Maenara	8
88	lcvezra	8
91	_Virify_	7
91	censorsheep	7
91	Eczbek	7
94	heckface	6
94	SteveCraftBlocks	6
94	claivin	6
94	Hisiste	6
94	MakeHistory157	6
94	__tomato	6
94	ediballbearings	6
94	Winston_Ingram	6
94	xorompole	6
103	Groovy_MoonBird	5
103	Bandito_Roamer	5
103	diamondgolem35	5
103	SvenskaHugo	5
107	teslawolf38	4
107	Yatitay	4
107	ssleepless	4
107	RebelAndroid	4
107	ShedJr_	4
107	Swexti	4
107	500am	4
107	slkiey	4
107	XboxPanda	4
107	BlueZabu	4
107	ayamefag	4
107	Kijiki	4
107	SammiWolfGirl	4
107	PlzNoBM	4
121	joethahobo	3
121	Frxnkz	3
121	Cambo5000	3
121	Inchef	3
121	ROY4LE	3
121	Covalents	3
121	grislgrobl	3
121	MustaLoordi	3
121	Xclax101	3
121	Racengan	3
121	jcool7	3
132	ImpavidArcher	2
132	fr_ser	2
132	gabriels543	2
132	WET_WET_WET	2
132	MaGro2010	2
132	selectrix	2
132	audiocracked	2
132	Inbefour	2
132	Gryglu583	2
132	YungWali	2
132	RaahLowe	2
132	SwooshBoi	2
132	Airem_Core	2
132	Nagasaki_Riku	2
132	stavgod	2
132	Soul_Atreus	2
132	Kyrum2169	2
132	Spenduh	2
132	Kferno	2
132	mawileite	2
132	FelixPSY375	2
153	milkedit	1
153	KingFaenor	1
153	dongli	1
153	Hpdinosaur	1
153	Incinere	1
153	ivorico	1
153	fr0stss	1
153	Ssor69	1
153	rarrq	1
153	featherflyy	1
153	Prodiginus	1
153	Blackberry1310	1
153	Cryptacity	1
153	TheSecondLord	1
153	_Nuf	1
153	_Dean_123	1
153	Austine6698	1
153	CarbonatedCola	1
153	Kkanot	1
153	mwrty	1
153	egglapras	1
153	Motsaro	1
153	SellyZ	1
153	DSYisDizzy	1
153	theonlymagikarp	1
153	Paintz	1
153	eiC_	1
153	arcanemagic	1
153	Zaridey	1
153	ImDisconnected_	1
153	SlayerCrypto	1
153	Ahketen	1
153	SuperPooch06	1
153	mick407	1
153	Zythose	1
153	Nyxiom_	1
153	_Boipl_	1
153	ApophisNova	1
153	Leyna3	1
153	sxc_	1
153	ILoveCarrot	1
153	TheTrueClipse	1
153	RoyalDorrr	1
153	_Crimson_Legate	1
153	rotten_mango	1
153	JESS_THE_RERE	1
153	Quincannon	1
153	NameGenerat0r	1
153	DASH_X7	1
153	Quaintster	1
153	El_Jalapeno	1
153	Steven1282598	1
153	VilsSwag	1
153	__Auspicious	1
153	Fildyr	1
153	Warlord324	1
153	TheTommyGun63	1
153	IAmTheWalrus910	1
153	33sudo	1
153	Eraxa	1
153	Sank34	1
153	Kukkelikuk	1
153	YummyBaculum	1
153	yatsuta	1
153	Juh1s	1
153	GlitchyPlate810	1
153	obzii	1
153	Xaphoid	1
153	Dogcorn69420	1
153	MyNamaSheff	1
153	Smaldo	1
153	Lowjinx	1
153	adiccting01	1
153	Powowowow	1
153	Sral7	1
153	Yahrto	1
153	JayToe	1
153	diggydog67	1
