rank	username	minecraft:picked_up/minecraft:light_gray_dye
1	thewindmillman	910692
2	noam464	35219
3	Inbefour	1495
4	Jackattack53	576
5	Blaiku	448
6	PlasticOtari	384
7	Legendosh	344
8	MousePlays	320
9	Franco093	319
10	KingMatthew506	314
11	EcksDofficial	300
12	HellsSponge	250
13	EcksD	245
14	thescout7	243
15	Werbe	232
16	eitanzaki	198
17	MilleGrug	192
18	Hoid_the_Roamer	191
19	Swexti	176
20	titanlax	175
21	joethahobo	159
22	Menthas	136
23	Lord_Jord	118
24	mwrty	116
25	Cryptacity	105
26	Lez_	97
27	emrekn	95
28	GlitchyPlate810	92
29	Truckoss	82
30	ImpavidArcher	78
31	Kakolbus	76
32	Wowful	74
33	EveryonesUncle	66
33	lillips	66
35	chipklip	65
36	MixerDixer	64
36	ShedJr_	64
36	Inchef	64
36	SkateboardR6	64
36	QueenHedwig9	64
41	sadvavilloso	61
42	pintsizedrogue	59
43	OLookItsAnxiety	58
43	The_slideV3	58
45	surfinggiraffejp	55
46	BlancoFlaco	54
47	Arceus1975	51
48	fffMike	46
49	lordpipe	42
50	XxCookiequeenxX	41
51	El_Jalapeno	35
52	Akoot_	29
52	Xclax101	29
54	set67	28
55	Rumpletaezer	26
56	mihimihimihi	24
57	_Dean_123	23
58	susbakaimpostor	19
58	MovingFish7	19
60	Groundler	18
61	AvaRosey	17
62	ProfessorBee	14
62	SeverianTheLame	14
64	M_Patata	12
64	CaptainDeadBread	12
64	MasterNueve	12
67	Z3braYTIL	10
67	YungMaki	10
69	_Huge_Male_	9
69	Steelynan	9
71	Freak_Genius	8
71	Enderslayerxz3	8
71	00000000-0000-0000-0009-01ff0c3e5e4f	8
74	rarrq	7
74	kekhon	7
74	NotMeanttoChange	7
77	Jiminie	6
77	SammiWolfGirl	6
77	Sral7	6
80	Jokerman369	5
80	Jimb0nat0r	5
82	livingdaydreams	4
82	beeperbeeper5	4
82	stahouo	4
85	PhantomsGhost_	3
85	Mahoose	3
85	Myszoaz	3
85	12Magner05	3
85	Hiryu27	3
85	WyngGoy	3
85	djancak	3
85	h2p_emrld	3
93	Jorrdi	2
93	ZaneABrain	2
93	ZigzagLily43042	2
93	CliffEmAll	2
93	TheSecondLord	2
93	Fullut	2
93	Di_infiri	2
93	wTXop	2
93	Skylord_Luke	2
93	TheWildMateo	2
93	SingedBread	2
93	monky_irl	2
93	Kowcio_	2
93	xorompole	2
93	00000000-0000-0000-0009-01f073f37a91	2
108	The_Dark_One_00	1
108	Merv__	1
108	AuroraValkyrie	1
108	Killercatty78	1
108	Ryker	1
108	SyntheticSurgeon	1
108	Da_Boss_Rani	1
108	Blackberry1310	1
108	Kubelz	1
108	Winklepicker279	1
108	Marbz_	1
108	whoaluv	1
108	Chromary	1
108	Snowflowe	1
108	MangoTheFish	1
108	RobotMinion101	1
108	AlexxO_o	1
108	MonitorLizards	1
108	SvenskaAlvar	1
108	iHuntWeeaboos	1
108	Quaintster	1
108	fluddd	1
108	Fildyr	1
108	Spacewardharpy7	1
108	Eraxa	1
108	MelaninStealer	1
108	Luigipunch989	1
108	PortlyPete69	1
108	Eczbek	1
108	Ezekson	1
108	oxfordschool	1
