rank	username	minecraft:picked_up/minecraft:wild_armor_trim_smithing_template
1	StarCookiees_	15
2	CLG_Kata	9
3	beeperbeeper5	4
3	Secret_Canary	4
5	Soplight	1
5	Steelynan	1
5	LuvLuvLove	1
