rank	username	minecraft:picked_up/minecraft:bucket
284	RebelAndroid	4
284	lotarp	4
284	PhantomBionic	4
284	Ozixar	4
284	titanlax	4
284	Auseawesome	4
284	jushykins	4
284	jacxhadow	4
284	pr33tu	4
284	wiqor	4
284	Awyrlas	4
284	emrekn	4
284	hcb238	4
