rank	username	minecraft:picked_up/minecraft:cracked_deepslate_tiles
1	TheSecondLord	629
2	TheBananaKat	398
3	SvenskaHugo	381
4	Manaateee	138
5	Mattesco	132
6	mihimihimihi	86
7	_Huge_Male_	26
8	Iamthejo	14
9	ECstardust	9
10	Wowful	8
11	HUNTERmaun	6
12	beeperbeeper5	5
12	11Brewer	5
14	pintsizedrogue	4
14	Apollo_993	4
16	DinoDoctor_	2
16	lorywithay	2
16	MSK__	2
16	500am	2
16	noam464	2
21	PazinGaming	1
21	ImpavidArcher	1
21	royal_2	1
21	Jackattack53	1
21	Krowuss	1
21	Jekyll	1
21	AlexxO_o	1
21	PaperCanvas	1
21	luseis	1
21	Blaiku	1
21	Kowcio_	1
21	YungMaki	1
21	DairyNickel756	1
