rank	username	minecraft:picked_up/minecraft:pearlescent_froglight
1	Hyp3rion_	10451
2	thewindmillman	5289
3	mihimihimihi	1238
4	Crowman1	597
5	Enderxz3	536
6	YungMaki	500
7	CattSoup	436
8	Kakolbus	254
9	Lez_	237
10	SpacesickPrism	186
11	Kowcio_	135
12	pintsizedrogue	108
13	Jackattack53	84
14	AlexxO_o	76
15	Huwulling	63
16	beeperbeeper5	60
17	ImpavidArcher	51
17	weabis	51
19	Alteriity	39
20	Legendosh	31
21	nattybears	28
21	Jimb0nat0r	28
23	luseis	13
23	FishisTTV	13
25	binman420	12
26	TheSecondLord	10
26	RoofTyler	10
28	bearlystraight	9
29	BartekB19	8
30	joethahobo	7
31	Apollo_993	5
32	hanaryheatwave	4
32	non089	4
34	Mahoose	2
34	corpsecity	2
36	rarrq	1
36	Marbz_	1
36	PlasticOtari	1
