rank	username	minecraft:picked_up/minecraft:lime_concrete_powder
1	Hyp3rion_	64192
2	thewindmillman	1876
3	Spacewardharpy7	1601
4	Kowcio_	1059
5	CornOnTheCobalt	781
6	ROY4LE	766
7	stavgod	617
8	Di_infiri	364
9	noam464	357
10	mwrty	262
11	oreee	176
12	Hiryu27	157
13	eitanzaki	129
14	I_Am_Mushkin	108
15	EcksD	86
16	EMC_	84
17	Legendosh	74
18	jnp_gaming	64
19	IamCL4SSY	59
20	Merv__	48
21	DC_XII	47
22	Hoid_the_Roamer	42
23	MineMaster0012	33
24	Fuad_R	32
25	AlexxO_o	31
26	Kakolbus	29
27	Manaateee	19
28	Enderxz3	18
29	Lez_	17
29	TruestTurnip	17
31	Groovy_MoonBird	12
31	AdmiralSmoke	12
33	luseis	11
34	SuperPooch06	7
34	ConnorDanky_	7
36	rarrq	6
36	Snowflowe	6
36	Steve897	6
36	lordpipe	6
40	teslawolf38	5
40	Soplight	5
40	Jimb0nat0r	5
43	HellsSponge	4
44	Eraxa	3
44	KingMatthew506	3
46	CueMix	2
46	Elastiq	2
46	MakeHistory157	2
46	SvenskaHugo	2
50	_Huge_Male_	1
50	T045RTY	1
50	PigDab	1
50	Gryglu583	1
50	Winston_Ingram	1
50	Nicserso	1
