rank	username	minecraft:picked_up/minecraft:written_book
1	kekhon	257
2	beeperbeeper5	228
3	Legendosh	188
4	SteveCraftBlocks	178
4	Akoot_	178
6	Mahoose	155
7	Freak_Genius	153
8	chipklip	137
9	TechnoNinja64	116
10	Bumpy419	113
11	Blackberry1310	98
12	joethahobo	95
13	Awyrlas	92
14	Soplight	87
15	Incinere	85
15	Smoke____	85
17	Ezekson	83
18	TheSecondLord	77
19	xxPipperDipperxx	73
20	Groovy_MoonBird	67
21	claivin	63
22	Xclax101	56
22	YungMaki	56
24	oxfordschool	51
25	r123moore	50
26	EveryonesUncle	48
27	MattieHD	47
28	Frozil12	46
29	lordpipe	45
30	Spacewardharpy7	41
31	EcksD	40
32	500am	38
33	Werbe	37
34	TheShyPig	35
35	Blaiku	34
36	pintsizedrogue	33
37	Jackattack53	32
38	_Boipl_	31
39	I_Am_Mushkin	30
39	Arceus1975	30
41	T045RTY	29
41	Lord_Jord	29
41	NameGenerat0r	29
44	egglapras	28
44	Eraxa	28
46	fluddd	27
46	SammiWolfGirl	27
48	Di_infiri	26
48	Racengan	26
48	kinas45y5	26
51	eitanzaki	25
52	ImpavidArcher	24
53	Dedalus36	23
53	bloodbiter	23
55	ShedJr_	20
55	rarrq	20
55	sebastiensaborio	20
58	Blu3beast	19
58	Hermanni__	19
60	_Dean_123	18
60	CrateOfBoxes	18
62	Merv__	16
62	noam464	16
62	PlasticOtari	16
65	Fullut	15
65	stahouo	15
67	6king6colt6	14
67	NomadicRobin_	14
67	Kowcio_	14
67	alderban107	14
67	EcksDofficial	14
72	RodSerlingCringe	13
72	lcvezra	13
72	Enderslayerxz3	13
75	Swexti	12
75	thescout7	12
75	himak1	12
75	Quaintster	12
75	PortlyPete69	12
80	PhantomsGhost_	11
80	2Stout	11
80	Chromary	11
80	SexcMf	11
84	ROY4LE	10
84	Rebytre	10
84	DarlaMeow	10
84	MakeHistory157	10
84	UrbanPlanner1978	10
89	bigstankyy	9
89	Inchef	9
89	Karetoko	9
89	fr_ser	9
89	Onennon	9
89	MovingFish7	9
89	WyngGoy	9
96	Drlzyy	8
96	KarlKaek	8
96	Myszoaz	8
96	12Magner05	8
96	Mobstr	8
96	CruncyIsTaken	8
96	Sral7	8
103	teslawolf38	7
103	q_wq	7
103	thewindmillman	7
103	ApophisNova	7
103	_Bguette_	7
103	LexMakesHistory	7
103	proxivitoid	7
103	Dusk_95	7
103	AssFullaCum	7
103	KingMatthew506	7
103	MyNamaSheff	7
114	Hyp3rion_	6
114	Hiryu27	6
114	fred870d	6
114	sammidk	6
114	Maenara	6
114	censorsheep	6
114	Ze_BaronKrigler	6
114	Kyrum2169	6
114	__tomato	6
114	CalebDHawk	6
114	jcool7	6
114	Winston_Ingram	6
114	Nicserso	6
114	jnp_gaming	6
128	Bandito_Roamer	5
128	ChampPog_	5
128	eclipseboi	5
128	Scathra	5
128	Xalithia	5
128	Doom_melon	5
128	Rumpletaezer	5
128	RobotMinion101	5
128	Nycteus_	5
128	Quotary	5
128	cichy096	5
128	h2p_emrld	5
140	susbakaimpostor	4
140	SyK7	4
140	Meteora4	4
140	CoffeeNoir	4
140	Cryptacity	4
140	m_be9	4
140	XboxPanda	4
140	Zythose	4
140	DC_XII	4
140	KliBeast21	4
140	Aangezet	4
140	fkGrim	4
140	Lutres_Torane	4
140	_Karmaa	4
140	El_Jalapeno	4
140	cringenaynaybaby	4
140	Vorlice	4
140	Spenduh	4
140	y0shik	4
140	Skippeh	4
140	RadarHz	4
161	nataliecool	3
161	dabloons	3
161	AuroraValkyrie	3
161	Lukeee33	3
161	Natty	3
161	WarHammer3	3
161	Historical_Sand	3
161	heckface	3
161	jushykins	3
161	jacxhadow	3
161	_Nuf	3
161	intropass	3
161	WET_WET_WET	3
161	tobinwilliams	3
161	Skylord_Luke	3
161	seramalen	3
161	thgrocks	3
161	Drewen24	3
161	Wowful	3
161	Jiminie	3
161	Deathkob	3
161	Meatlaugh	3
161	YungWali	3
161	ebanana	3
161	cog	3
161	SvenskaHugo	3
161	starbits140	3
161	Erased_Identity	3
161	laron58	3
190	RosaDoesMC	2
190	elicobnoah	2
190	_NieToksikpl_	2
190	fanofbands101	2
190	Vaarde	2
190	soundad	2
190	jspwn	2
190	Ailmast	2
190	EMC_	2
190	Sleek_Storm_721	2
190	SaucyDark	2
190	Bad_At_Names_Guy	2
190	HollieDaNugget	2
190	Ssor69	2
190	FirsTimeGamingTV	2
190	Prodiginus	2
190	Frxnkz	2
190	Nicky_H225	2
190	ABUSNA1996	2
190	virtual_acid	2
190	Kkanot	2
190	set67	2
190	mwrty	2
190	NotMeanttoChange	2
190	emrekn	2
190	zylanzagreat	2
190	Marbz_	2
190	Snowflowe	2
190	killmeiamtraitor	2
190	DAD_1996	2
190	k1ngGilgamesh	2
190	Mattesco	2
190	Kynigito	2
190	HyperCave	2
190	LuceImaginary	2
190	HolyVenom	2
190	aa2x_	2
190	DScatgirls	2
190	Rasmanden	2
190	MrButterscotch	2
190	Russiancat1	2
190	privatemeekly	2
190	lillips	2
190	OverallConcept	2
190	HellsSponge	2
190	Shogunite	2
190	GravitySaint	2
190	Vegvisir	2
190	Warlord324	2
190	Aezekial	2
190	Leithz6	2
190	geekbird	2
190	McZahrt	2
190	pixelviolin	2
190	Azazel_Echo	2
190	BlankityMcBlank	2
190	brofrickcheaters	2
190	ediballbearings	2
190	BungalowBeet	2
190	Dreamdbr14	2
190	MilleGrug	2
190	_3Stump_	2
190	Kubeusz2010	2
190	erkada	2
190	OfficerAnvil	2
190	Xi_J1nping	2
190	FelixPSY375	2
190	FGamerJ	2
190	HesDemonPants	2
190	2blox	2
190	vandmanden	2
261	TheBiggestFeller	1
261	Krasnal1337	1
261	AlecCary	1
261	BUBBA_KHAN	1
261	funeralhome	1
261	jjettii	1
261	Froste131	1
261	ProbablyNick	1
261	Ananas55	1
261	Cowison	1
261	strongman951753	1
261	JEWISHBadenBeele	1
261	Healthing	1
261	Yatitay	1
261	Tommhh	1
261	SlavBylat	1
261	_DarkBlitz0_	1
261	bra1nbrain	1
261	Zippyzam	1
261	moceimo	1
261	RebelAndroid	1
261	Zlatovlas	1
261	Ironmine12	1
261	Rox_The_Box	1
261	ivorico	1
261	Barjas	1
261	Cats_Fly	1
261	nocturne78	1
261	luckymage	1
261	Euclidoris	1
261	Devintronix	1
261	Malorn_Aetherius	1
261	Auseawesome	1
261	smittyextreme	1
261	jamesq133	1
261	Comma__	1
261	ashetrays	1
261	YungJakobo	1
261	TheThomas69	1
261	zorin123	1
