rank	username	minecraft:picked_up/minecraft:blast_furnace
1	pintsizedrogue	400
2	PlasticOtari	389
3	Historical_Sand	275
4	500am	140
5	TheSecondLord	138
6	diamondgolem35	103
7	HellsSponge	95
8	ECstardust	90
9	noam464	76
10	FreakGenius	73
11	12Magner05	65
12	Akoot_	64
13	kekhon	62
14	SmashingPump	60
15	Mr_Byzantine	58
16	Airem_Core	53
16	h2p_emrld	53
18	luseis	51
19	Blaiku	50
20	yulgur1	47
21	Di_infiri	46
22	Groundler	45
23	Fullut	44
23	IamCL4SSY	44
25	Enderxz3	43
26	skitzxo	42
27	Yatitay	39
27	Lutres_	39
29	Nicserso	36
30	Kowcio_	34
30	_i_ERROR_i_	34
32	Apollo_993	33
33	akap47	30
33	Cortexia	30
33	kyouma777	30
36	KarlKaek	29
36	ROY4LE	29
36	kaiwill0w	29
39	Werbe	28
40	corvidpartyfor6	27
40	yheece	27
42	Kakolbus	26
43	beeperbeeper5	24
43	_Meow_Mix	24
43	pixelviolin	24
43	_3Stump_	24
47	__tomato	23
48	TheDankPlatypus	22
48	Soplight	22
50	Ssor69	21
50	rarrq	21
50	Spacewardharpy7	21
50	Pumpkin_P_Patch	21
54	Mahoose	20
54	tsitrawhy	20
56	powercas_gamer	18
56	Blackberry1310	18
56	Snowflowe	18
56	Onennon	18
56	ProfessorDiaper	18
56	sp00ky_ghost977	18
62	ProfessorBee	17
62	Manaateee	17
62	layabout100	17
65	Napoleonpancake	16
65	MSK__	16
65	MAns_44	16
65	TheOuterCore	16
69	Skylord_Luke	15
69	EveryonesUncle	15
69	DarkS0L	15
69	Burge_r	15
69	Luigipunch989	15
69	Legendosh	15
75	fanofbands101	14
75	PazinGaming	14
75	Solar_Power	14
75	pappaberg	14
79	Frozil20	13
79	UncreativeArtist	13
79	U_Mos_	13
79	Bumpy419	13
79	jewbacaman	13
79	wezzzi	13
79	Kubeusz2010	13
86	Gregward_Smith	12
86	Decaying_Lotus	12
88	CLG_Kata	11
88	abdomera	11
88	gabukun_	11
88	Prodiginus	11
88	Skippeh	11
88	TechnoNinja64	11
94	PhantomsGhost_	10
94	Hyugo	10
94	gilesmcriles	10
94	Cryptacity	10
94	CharlieButt	10
94	trixterrx	10
94	ApophisNova	10
94	Mattesco	10
94	Vetral1	10
94	wobn	10
94	fluddd	10
94	MovingFish7	10
94	obzii	10
94	MyNamaSheff	10
94	TheSandwhich_	10
94	00000000-0000-0000-0009-01ff0c3e5e4f	10
110	_Virify_	9
110	Frigzy_	9
110	KingFaenor	9
110	Xalithia	9
110	Kubelz	9
110	Hyp3rion_	9
110	KartivGal	9
110	HeraclesOGU	9
110	1442	9
110	EngagedGrub41	9
110	Yamdalorian	9
121	TildaAndrea	8
121	BlancoFlaco	8
121	Comma__	8
121	Mewar	8
121	Arceus1975	8
121	Jiminbub	8
121	blackeemperor	8
121	starbits140	8
121	NATE_the_HALO	8
121	Njensen7	8
121	Steelynan	8
