rank	username	minecraft:picked_up/minecraft:prismarine_brick_stairs
1	beeperbeeper5	1064
2	Ezekson	817
3	Hyp3rion_	538
4	Enderxz3	451
5	MilleGrug	326
6	HellsSponge	307
7	CliffEmAll	281
8	ImpavidArcher	252
9	xDraggin	134
10	Merv__	126
11	Kakolbus	117
12	luseis	99
13	Hiryu27	96
14	Bumpy419	89
15	Frozil20	85
16	Legendosh	75
17	joethahobo	69
18	Jackattack53	58
19	Yamdalorian	55
20	diamondgolem35	49
21	mymayowasgone	47
22	TheShyPig	45
23	Comma__	44
24	Incinere	40
24	Maenara	40
26	_Karmaa	39
27	pintsizedrogue	35
27	Marbz_	35
29	Eraxa	33
29	Steelynan	33
31	Blaiku	32
32	PortlyPete69	31
33	xzvu	30
34	Mr_Byzantine	28
34	Powowowow	28
36	Notta	26
36	doublemaki	26
38	TechnoNinja64	25
39	lordpipe	23
40	Blu3beast	22
41	Sleepy_Evelyn	21
41	Vellu21	21
43	elicobnoah	17
43	The_slideV3	17
43	queenalina123	17
43	PlasticOtari	17
47	_Dean_123	16
48	Groundler	13
49	Arceus1975	12
49	weabis	12
49	Vorlice	12
52	Barlycorn	11
53	himak1	10
53	lizardfightclub	10
55	Alteriity	9
55	Mahoose	9
55	corvidpartyfor6	9
55	Skippeh	9
59	hm947	8
59	Fullut	8
61	rarrq	7
61	Paintz	7
61	diggydog67	7
64	Apollo_993	6
64	AspenLightVT	6
66	MinttyFressh	5
66	poopybh	5
66	ZoharGoldMine	5
66	EngagedGrub41	5
70	aluminumhelmet	4
70	ooga47	4
70	Hisiste	4
70	StarCookiees_	4
74	LittleBug562	3
75	Niklas20114552	2
75	eitanzaki	2
75	_witch_craft_	2
75	Blammm	2
75	alkrie	2
75	Soplight	2
75	SammiWolfGirl	2
82	Huwulling	1
82	kekhon	1
82	noam464	1
82	Di_infiri	1
82	hanaryheatwave	1
82	Snowflowe	1
82	Mattesco	1
82	MightyWertu	1
82	TheEnderMan548	1
82	Kowcio_	1
82	UltraZombie	1
