rank	username	minecraft:picked_up/minecraft:waxed_copper_grate
1	thewindmillman	321
2	Mr_Byzantine	104
3	Spaghettatron	50
4	net_flex	30
4	Eczbek	30
6	Pumpkin_P_Patch	21
7	oscminus	15
8	MyMawgDonaldsGon	5
9	Buuck_	4
10	nev_s	2
