rank	username	minecraft:picked_up/minecraft:light_blue_stained_glass_pane
1	Ezekson	1198
2	Hyp3rion_	1151
3	TheTrueClipse	473
4	El_Jalapeno	363
5	Mr_Byzantine	271
6	Cowison	231
7	Ssor69	192
8	lordpipe	152
9	NomadicRobin_	151
10	Manaateee	142
11	Chromary	130
12	Merv__	127
13	12Magner05	117
14	RebelAndroid	113
15	Hiryu27	112
16	rarrq	101
17	sp00ky_ghost977	96
18	Lez_	94
19	Eraxa	78
20	beeperbeeper5	75
21	Blackberry1310	68
22	Groundler	67
23	_Karmaa	65
24	Franco093	64
25	Huwulling	63
26	redikul	58
27	Marbz_	57
28	LexMakesHistory	53
29	Snowflowe	52
29	Inbefour	52
29	DarlaMeow	52
32	TechnoNinja64	48
33	Doom_melon	40
34	ShedJr_	37
34	2Stout	37
36	T045RTY	36
37	EMC_	33
38	pintsizedrogue	32
39	TheSecondLord	31
40	RoskobiOne	30
40	MattieHD	30
40	oscminus	30
40	claivin	30
44	MyNameIsJobo	26
45	jimintyy	24
45	NotMeanttoChange	24
47	joethahobo	23
48	titanlax	22
48	SoftSix	22
50	ApophisNova	21
50	MyNamaSheff	21
52	Jackattack53	20
52	ooga47	20
54	masskedman	19
54	luseis	19
56	kekhon	18
56	obzii	18
58	Onennon	17
59	alderban107	16
60	thewindmillman	15
60	TheShyPig	15
60	UrbanPlanningEx	15
63	noam464	14
63	fkGrim	14
65	RobotMinion101	13
66	dabloons	12
67	ITDV	10
68	The_slideV3	9
69	diamondgolem35	8
69	Mattesco	8
69	Travka100	8
72	Ryan_GEMS	6
72	Blaiku	6
72	little_dUki	6
75	__Fanda__	5
75	SvenskaHugo	5
75	MilleGrug	5
75	PlasticOtari	5
79	ImpavidArcher	4
79	eitanzaki	4
79	Awyrlas	4
79	YungMaki	4
79	Steelynan	4
84	CLG_Kata	3
84	Mahoose	3
84	MinttyFressh	3
84	Enderxz3	3
88	H0UNDFRMH3LL	2
88	Frozil20	2
88	Hpdinosaur	2
88	Flores991	2
88	Historical_Sand	2
88	Swexti	2
88	500am	2
88	Smashic	2
88	Winklepicker279	2
88	HyperCave	2
88	lillips	2
88	the__Reaper4999	2
88	Spacewardharpy7	2
88	extralargenose	2
88	Kowcio_	2
88	SammiWolfGirl	2
88	xolstoi	2
105	BPTY4618	1
105	6king6colt6	1
105	ProfessorBee	1
105	SteveCraftBlocks	1
105	Kakolbus	1
105	Di_infiri	1
105	Zythose	1
105	Hoid_the_Roamer	1
105	F_Uhre	1
105	zToasty69z	1
105	EveryonesUncle	1
105	Druid95	1
105	Vivacia	1
105	The_SlideV5	1
