rank	username	minecraft:picked_up/minecraft:dead_horn_coral_fan
1	Di_infiri	64
2	Spacewardharpy7	40
3	noam464	39
4	ImpavidArcher	14
4	Mahoose	14
6	Blackberry1310	11
7	joethahobo	10
7	PigDab	10
7	Fuad_R	10
10	pintsizedrogue	9
10	HellsSponge	9
12	Onennon	6
12	Jiminie	6
14	Drlzyy	4
14	eitanzaki	4
14	XxCookiequeenxX	4
14	Factoroni	4
18	benediktine1	3
18	Hyp3rion_	3
18	Rebytre	3
18	ApophisNova	3
18	MilleGrug	3
18	MyNamaSheff	3
24	xPixelRainx	2
24	bloodbiter	2
24	Werbe	2
27	tuckerdoodle	1
27	TheSecondLord	1
27	Winklepicker279	1
27	Jackattack53	1
27	Arceus1975	1
27	groofles	1
27	lillips	1
27	NameGenerat0r	1
27	Freak_Genius	1
27	WyngGoy	1
27	Smoke____	1
