rank	username	minecraft:picked_up/minecraft:light_blue_bed
1	HellsSponge	160
2	Smoke____	85
3	mwrty	43
4	kekhon	41
5	12Magner05	38
6	ayamefag	26
7	Lez_	25
7	noam464	25
9	pintsizedrogue	22
10	PlasticOtari	18
11	eitanzaki	16
11	Akoot_	16
11	Blu3beast	16
11	2blox	16
15	fluddd	14
16	Groovy_MoonBird	13
17	XboxPanda	12
17	Segotep999	12
17	Nicserso	12
20	Luigipunch989	11
20	00000000-0000-0000-0009-01ff0c3e5e4f	11
22	MineMaster0012	10
23	Louiis123	9
23	Freak_Genius	9
25	EMC_	8
25	beeperbeeper5	8
25	Jackattack53	8
25	FishyBoy3811	8
25	_Karmaa	8
30	rarrq	7
30	_Nuf	7
30	ewpunk	7
33	YahooScreen9000	6
33	Eraxa	6
35	ShedJr_	5
35	Negriuke	5
35	Shogunite	5
35	__tomato	5
35	Steelynan	5
40	Drlzyy	4
40	SaucyDark	4
40	Racengan	4
43	Ailmast	3
43	4383	3
43	jushykins	3
43	SoftSix	3
43	ApophisNova	3
43	Werbe	3
43	fkGrim	3
43	djancak	3
43	Dogcorn69420	3
43	RadarHz	3
43	MyNamaSheff	3
54	I_snowy_I	2
54	Reamdin	2
54	Chickenchaser2	2
54	burbankbuilder28	2
54	wwwwinnebagoooo	2
54	PabloGonza02	2
54	TheEnderman548	2
54	Winston_Ingram	2
54	Ezekson	2
54	Enderslayerxz3	2
54	Legendosh	2
54	Zoeyfortnite	2
66	CoffeeNoir	1
66	_AceOfSpace_	1
66	joethahobo	1
66	SquadMonster	1
66	charlie_3k	1
66	eclipseboi	1
66	SteveCraftBlocks	1
66	_Dean_123	1
66	500am	1
66	Mobstr	1
66	TableTim	1
66	Arceus1975	1
66	_Boipl_	1
66	CowOfTheNile	1
66	Mattesco	1
66	_Hxdes_	1
66	UnThinkable2110	1
66	claivin	1
66	monky_irl	1
66	AlexBurnsRed	1
66	pixelviolin	1
66	Kowcio_	1
66	Goldiethebear03	1
66	jcool7	1
66	00000000-0000-0000-0009-01f9013b764e	1
