rank	username	minecraft:picked_up/minecraft:white_terracotta
1	thewindmillman	129921
2	MilleGrug	20565
3	Barlycorn	15607
4	joethahobo	12149
5	TheShyPig	8278
6	Inbefour	7788
7	EcksD	7370
8	Snowflowe	7199
9	FreakGenius	5969
10	DarlaMeow	5822
11	Rumpletaezer	5515
12	Skylord_Luke	5408
13	EveryonesUncle	4998
14	Spacewardharpy7	4761
15	Huwulling	4594
16	EMC_	4167
17	Karbl	3887
18	RatatJuice	3574
19	kekhon	3478
20	RebelAndroid	2997
21	Hyp3rion_	2994
22	Steelynan	2975
23	lordpipe	2855
24	ConnorDanky_	2582
25	xolstoi	2503
26	Sral7	2456
27	Mahoose	2319
28	TheSecondLord	2258
29	Onennon	2140
30	Soplight	1940
31	Hoid_the_Roamer	1900
32	The_SlideV5	1869
33	SuperPooch06	1866
34	YungMaki	1865
35	GoofySilly	1768
36	groofles	1644
37	QuiCreans	1612
38	Historical_Sand	1611
39	Eczbek	1591
40	_Bguette_	1525
41	Euclidoris	1502
42	Enderxz3	1460
43	Merv__	1435
43	CoffeeNoir	1435
45	Dusk_95	1376
46	Werbe	1211
47	Fullut	1050
48	heckface	1048
49	Wooptey	1033
50	Smoke____	933
51	audiocracked	924
52	Kamflame10	919
53	Toriankel	903
54	The_slideV3	901
55	QueenShuvi	899
56	Jimb0nat0r	877
57	diggydog67	871
58	PlasticOtari	858
59	livingdaydreams	832
60	Kakolbus	827
61	El_Jalapeno	790
62	TooManyDuck	788
63	Parcc	775
64	KingMatthew506	723
65	himak1	712
66	_8man	676
67	_Karmaa	674
68	SellyZ	672
69	yulgur1	655
70	fanofbands101	640
71	UrbanPlanningEx	630
72	set67	620
73	Blu3beast	605
74	Kowcio_	536
75	NomadicRobin_	523
76	gabriels543	506
77	Nyxiom_	498
78	Hermanni__	494
79	MirielThePastor	468
80	Deodorante	466
81	titanlax	465
82	mwrty	432
83	the_russell1611	416
84	F_Uhre	414
85	500am	411
86	masskedman	405
87	shineh10	387
88	00000000-0000-0000-0009-01ff0c3e5e4f	383
89	RoofTyler	380
89	cog	380
91	TechnoNinja64	362
92	Ezekson	361
93	ProfessorBee	355
94	ImDisconnected_	354
95	PhantomsGhost_	339
96	Lord_Jord	330
97	ApophisNova	326
97	MyNamaSheff	326
99	Blaiku	313
100	the__Reaper4999	308
101	jcool7	296
102	SDMNAEK	294
103	AuroraValkyrie	289
104	AgressiveEggdog	286
105	mariominejedi	271
106	SpaceTurtleOX	270
107	djancak	269
108	Mr_Byzantine	267
109	MAns_44	260
110	Di_infiri	254
111	Swexti	251
111	Jakobo1337	251
113	eitanzaki	248
114	theonlymagikarp	241
115	CarltheCuck	238
116	SpouHn	220
117	Natty	217
118	beeperbeeper5	198
119	WET_WET_WET	192
120	NATE_the_HALO	191
120	00000000-0000-0000-0009-01f073f37a91	191
122	Comma__	188
123	Akoot_	183
124	ROY4LE	182
125	Nycteus_	178
126	MattieHD	174
127	fluddd	172
128	fkGrim	171
129	pintsizedrogue	161
130	noam464	156
131	Ozixar	155
132	HyperCave	154
133	Alteriity	151
133	lorpus	151
133	PegLegPete93	151
136	Zaridey	147
137	The11thDoctor	139
138	wobn	135
139	Crowman1	133
140	ougstur	128
141	RoskobiOne	127
142	Stynxy	126
143	Blamphe	125
144	ProbablyNick	124
144	iHuBlack	124
146	Dan_Scha	115
147	Lez_	113
147	Noah_Bez	113
149	Groovy_MoonBird	107
150	Bumpy419	104
151	Tristankill	100
152	elicobnoah	99
153	Rebytre	83
154	Inchef	78
154	_Boipl_	78
156	PazinGaming	75
157	Sabby65	73
157	2Stout	73
159	xxPipperDipperxx	68
160	Juk3b0x	67
161	Nicserso	66
162	MangoTheFish	65
162	natajimi	65
162	NameGenerat0r	65
165	TitanCrafting	63
166	CarryLine	60
167	ZeroKraken	59
168	lillips	58
169	Elastiq	57
170	gcaisawesome	56
171	Powowowow	55
172	thescout7	54
173	KarlKaek	53
173	MeowMeowMcmuffin	53
175	ItsDeltaMC	52
176	MyNameIsJobo	51
177	LexMakesHistory	50
178	ImpavidArcher	49
178	duqboy	49
178	how_are_you	49
181	jnp_gaming	48
182	rats_life	47
183	XxCookiequeenxX	46
184	fr0stss	44
185	mihimihimihi	43
186	ShedJr_	42
187	XboxPanda	41
188	olliebollie48	40
188	Moofyman	40
190	CuzIm2Kev	38
191	Myszoaz	37
191	DanTheBuilderino	37
193	Jackattack53	36
194	Chrisdeadeye	33
195	nattybears	31
195	Sleepy_Time_	31
195	emrekn	31
198	rarrq	29
199	Esme_1	28
200	DepressedCubic	27
200	MyNameIsDakar	27
202	soundad	26
202	StinkyDiplomat	26
204	TheEnderMan548	25
205	OG_Songsee	24
206	seanitoo	22
206	_Virify_	22
206	Mookle96	22
209	sp00ky_ghost977	20
209	SammiWolfGirl	20
211	SSytex_X	19
211	Luigipunch989	19
213	Thaumatarge	18
213	WinterYoke	18
215	RealGroot	16
216	Bandito_Roamer	14
216	Meatlaugh	14
218	m_be9	13
218	claivin	13
220	ReflexCode	12
221	MightyWertu	11
222	Jovaphobic	10
222	Frozil20	10
224	301851	9
224	fade_emerge78823	9
224	AnnieBathory	9
227	Blackberry1310	8
227	Xalithia	8
227	IamCL4SSY	8
227	luseis	8
227	SvenskaHugo	8
227	yatsuta	8
227	__tomato	8
227	Skippeh	8
227	Legendosh	8
236	StylesK	7
236	Doom_melon	7
236	AlexxO_o	7
236	SaintJosie	7
236	Kijiki	7
241	NatalieTW	6
241	impossibleteapot	6
241	xzvu	6
244	tuckerdoodle	5
244	asspharte	5
244	J4ko8_	5
244	07shiny	5
248	Gemstuff	4
248	Eraza	4
248	andy_rex	4
248	Tyrannosplart	4
248	Optiprimus	4
248	tsitrawhy	4
248	monolu	4
248	trexgb	4
256	LeDuctTape	3
256	Cats_Fly	3
256	Taddaiv	3
256	RedcatVII	3
256	OffWithTheirHead	3
256	wwwwinnebagoooo	3
256	SkateboardR6	3
256	MovingFish7	3
256	alderban107	3
256	Kubeusz2010	3
256	CattSoup	3
256	AltnumberF4	3
268	6king6colt6	2
268	Hpdinosaur	2
268	Da_Boss_Rani	2
268	eclipseboi	2
268	Marbz_	2
268	legal_tax_evader	2
268	Rocco_Lane	2
268	Kouridragon	2
268	Vetral1	2
268	NoChumpChange	2
268	teakings	2
268	stavgod	2
268	Eraxa	2
268	MineMaster0012	2
268	gusstationwerker	2
268	little_dUki	2
284	FazeObama69	1
284	SmashingPump	1
284	Iagoku	1
284	_Razaria	1
284	T045RTY	1
284	ZaneABrain	1
284	MrKrabOnCoke	1
284	Whiterooster001	1
284	12Magner05	1
284	KGTV	1
284	r123moore	1
284	Freeman666	1
284	Hiryu27	1
284	k1ngGilgamesh	1
284	wfk7	1
284	XeroByMyth	1
284	lizardfightclub	1
