rank	username	minecraft:picked_up/minecraft:bamboo_fence
1	_witch_craft_	204
2	k_ce	202
3	Enderxz3	115
4	Fullbit_	84
4	Hoid_the_Roamer	84
6	Mr_Byzantine	63
7	Synthoum	61
8	Mr_Froxy	52
9	Jimb0nat0r	50
10	Bambuino	48
11	Mattesco	31
12	Cache3	18
13	_Duckery	14
14	robonya_	12
15	FiguraDei	10
16	Werbe	8
17	Jackattack53	7
18	pintsizedrogue	6
18	Mr_Sun15	6
20	ItzClutch_	4
20	SpacesickPrism	4
20	Yamdalorian	4
23	Buuck_	3
24	Merv__	2
24	craaaash	2
26	mymayowasgone	1
26	lordpipe	1
26	Kowcio_	1
26	ConnorDanky_	1
