rank	username	minecraft:picked_up/minecraft:polished_deepslate_slab
1	mihimihimihi	3381
2	Winklepicker279	1890
3	EveryonesUncle	996
4	500am	965
5	titanlax	944
6	Nicserso	781
7	HUNTERmaun	618
8	Fuad_R	555
9	Spacewardharpy7	357
10	11Brewer	329
11	12Magner05	310
12	EMC_	294
13	Lez_	221
14	ImpavidArcher	202
15	pintsizedrogue	198
15	Mattesco	198
17	groofles	189
18	Sleepy_Evelyn	183
19	2extreeme	180
20	thewindmillman	179
21	TheWickedBird	157
22	Buuck_	149
23	TheWildMateo	144
23	SvenskaHugo	144
25	Mr_Byzantine	135
26	TheSecondLord	131
27	StinkyDiplomat	128
28	fffMike	121
29	RebelAndroid	117
30	noam464	108
30	weabis	108
32	RoskobiOne	95
33	pretty_pink_reno	92
34	Huwulling	84
35	PazinGaming	81
36	Jimb0nat0r	75
37	Spenduh	74
38	myaccountwasgone	69
38	Jackattack53	69
38	FiguraDei	69
41	k_ce	67
42	YungMaki	65
43	PlasticOtari	64
44	beeperbeeper5	58
45	Touched_Bread	53
46	Legendosh	48
47	excelsionprime	43
48	luseis	41
48	Deathkob	41
50	JETrotter	35
50	Pumpkin_P_Patch	35
52	Arceus1975	29
53	QuiCreans	28
53	pixelviolin	28
53	TheKingK_	28
56	Kowcio_	27
57	TooPure2	26
58	_witch_craft_	23
59	Steelynan	22
60	Ryker	21
61	Da_Boss_Rani	20
62	Skylord_Luke	19
63	Marbz_	18
64	Mahoose	17
64	shadowthemonkey	17
64	skitzxo	17
67	fade_emerge78823	15
68	emreknugrlu	14
69	hermmm_	12
69	EcksD	12
71	Btabtab	11
71	MAns_44	11
71	non089	11
74	Groovy_MoonBird	10
74	Sleepy_Time_	10
76	shineh10	9
76	oscminus	9
78	corpsecity	8
79	prizm_	6
79	lizardfightclub	6
81	RatatJuice	5
81	Alteriity	5
81	Hydro___________	5
81	Smashic	5
81	Enderxz3	5
86	ECstardust	4
86	hm947	4
86	Inchef	4
86	Hyp3rion_	4
86	shrimp_flips	4
91	teslawolf38	3
91	fragrantmonke444	3
91	The_Fulgurator	3
91	Blaiku	3
91	mobunni	3
96	crashomon	2
96	hanaryheatwave	2
96	Manaateee	2
99	Niklas20114552	1
99	lorywithay	1
99	thebaddruid	1
99	Lord_Jord	1
99	fluddd	1
99	Spankathor	1
99	TheBananaKat	1
