rank	username	minecraft:picked_up/minecraft:minecart
1	noam464	2725
2	thewindmillman	1486
3	eitanzaki	1244
4	T045RTY	1177
5	Di_infiri	1117
6	HellsSponge	1058
7	Spacewardharpy7	1055
8	thescout7	967
9	pintsizedrogue	949
10	Smoke____	632
11	joethahobo	598
12	Hyp3rion_	547
13	Mahoose	487
14	PigDab	462
15	PlasticOtari	459
16	WyngGoy	424
17	beeperbeeper5	417
18	Soplight	409
19	Jackattack53	403
20	Werbe	373
21	Freak_Genius	308
22	pixelviolin	290
23	Historical_Sand	265
24	Blaiku	258
25	EcksD	250
26	Groundler	237
27	Lord_Jord	221
28	jacxhadow	213
28	fffMike	213
30	ShedJr_	210
31	_Virify_	206
31	Snowflowe	206
33	Smashic	192
34	MightyWertu	184
35	YungMaki	174
36	Franco093	170
36	MyNameIsJobo	170
38	El_Jalapeno	165
39	SteveCraftBlocks	164
40	Blu3beast	160
41	TechnoNinja64	155
42	jnp_gaming	154
43	gcaisawesome	149
44	Hermanni__	140
44	Ezekson	140
46	Comma__	139
47	EMC_	136
48	Dusk_95	133
49	DanTheBuilderino	128
50	NotMeanttoChange	122
50	Jimi7hits	122
50	Akoot_	122
53	ayamefag	120
54	Kakolbus	115
55	PortlyPete69	113
56	ProfessorBee	106
57	TheShyPig	105
58	claivin	103
59	mariominejedi	100
60	Arceus1975	99
60	Bumpy419	99
60	FishyBoy3811	99
63	Dedalus36	98
64	obzii	95
65	BumbleBeever	94
66	Jordan_R	92
67	RebelAndroid	90
67	audiocracked	90
69	JESS_THE_RERE	88
70	The_slideV3	79
70	Racengan	79
72	6king6colt6	75
72	MattieHD	75
72	Hiryu27	75
75	2blox	74
76	Blackberry1310	73
76	emrekn	73
76	OfficerAnvil	73
76	Legendosh	73
80	Chromary	71
80	masskedman	71
80	oxfordschool	71
83	KG1999	70
84	q_wq	69
84	xxPipperDipperxx	69
86	Quotary	68
87	MakeHistory157	67
87	KingMatthew506	67
89	gabriels543	66
89	Enderslayerxz3	66
91	Rumpletaezer	65
91	Frozil12	65
91	07shiny	65
94	Warlord324	64
95	diamondgolem35	63
95	rarrq	63
95	Steelynan	63
98	2Stout	62
98	Skylord_Luke	62
100	gilesmcriles	61
100	_Nuf	61
102	DemTechAlpha	60
103	kekhon	59
103	Rebytre	59
103	EveryonesUncle	59
106	Bandito_Roamer	58
106	Fullut	58
106	SkateboardR6	58
109	FreddyFart	56
109	mawileite	56
111	RobotMinion101	53
111	Fuad_R	53
111	sp00ky_ghost977	53
114	TheSeismicDuck	52
114	Eraxa	52
114	anbbang	52
117	mwrty	51
118	MilleGrug	49
119	The_SlideV5	48
120	Deathkob	47
121	Sral7	46
122	Typadopoulos	45
122	UrbanPlanner1978	45
124	Ryker	43
124	UncreativeArtist	43
124	stavgod	43
124	__tomato	43
128	bloodbiter	42
128	chipklip	42
130	Kim_Jong_eel	41
130	Spenduh	41
130	jcool7	41
133	lordpipe	40
133	IAmTheWalrus910	40
133	SvenskaHugo	40
136	eviltunix	39
136	Kubelz	39
136	SpaceTurtleOX	39
139	PhantomsGhost_	38
139	ImpavidArcher	38
139	livingdaydreams	38
139	12Magner05	38
139	censorsheep	38
139	Xclax101	38
145	TheSecondLord	37
145	ItsDeltaMC	37
147	soundad	35
147	ToastedGamingYT	35
147	ClemenPine	35
147	Darkgon	35
151	CliffEmAll	34
151	Njensen7	34
151	Powowowow	34
154	Kkanot	33
154	Moofyman	33
154	Sky_light_KING	33
154	Kowcio_	33
158	dimondking777	32
158	Hisiste	32
160	Wooptey	31
160	ivorico	31
160	H72l9w	31
160	benediktine1	31
164	Jovaphobic	30
164	pZygh0st	30
164	RustyKedel	30
164	fred870d	30
164	HesDemonPants	30
169	awesomeoneme	29
169	Frxnkz	29
169	slkiey	29
169	SuperPooch06	29
169	sufjanlover	29
174	Bolete	28
174	AuroraSkies	28
174	Inbefour	28
177	SaucyDark	27
177	Prismyst	27
177	andy_rex	27
177	Quincannon	27
181	Ecplosive	26
181	Rasmanden	26
181	TheOuterCore	26
181	EcksDofficial	26
185	CruncyIsTaken	25
185	EfficientC52	25
185	Nycteus_	25
188	SellyZ	24
188	lcvezra	24
190	RoskobiOne	23
190	BlancoFlaco	23
190	eiC_	23
190	prizm_	23
190	CollinMH06	23
190	Kyrum2169	23
190	kinas45y5	23
197	Mr_Byzantine	22
197	FirsTimeGamingTV	22
197	loveseeker	22
197	Gryglu583	22
197	Barlycorn	22
197	FelixPSY375	22
203	Awyrlas	21
203	Marbz_	21
203	whoaluv	21
203	CaptainDeadBread	21
207	chimpmunker	20
207	PegLegPete93	20
207	Nyxiom_	20
207	djancak	20
207	CalebDHawk	20
212	Hoid_the_Roamer	19
212	Voxin2K	19
212	GrildChezSanwich	19
212	UCP_TheKingK	19
212	Chuglyfe	19
212	SammiWolfGirl	19
218	bigstankyy	18
218	BobDeBouwer1337	18
218	theonlymagikarp	18
218	Donutt	18
218	Jiminie	18
218	Moetis	18
218	Sheldor097	18
218	00000000-0000-0000-0009-01f898304150	18
226	youhjjhhhjj	17
226	fr0stss	17
226	Onennon	17
226	AlexxO_o	17
226	GravitySaint	17
231	Mookle96	16
231	Delta_Balaur	16
231	M_Patata	16
231	YahooScreen9000	16
231	Lutres_Torane	16
231	kyouma777	16
231	88Hazza88	16
231	Kubeusz2010	16
239	AuroraValkyrie	15
239	Hyugo	15
239	Kferno	15
242	Tolhart	14
242	_Dean_123	14
242	lillips	14
242	Cyntrical	14
242	Soul_Atreus	14
242	Shin69	14
242	Skippeh	14
242	Nicserso	14
250	MunkaKris	13
250	teslawolf38	13
250	I_Am_Mushkin	13
250	CoffeeNoir	13
250	Covalents	13
250	valiSW	13
250	Skomo	13
250	NomadicRobin_	13
250	monky_irl	13
250	stahouo	13
250	Dogcorn69420	13
250	MeetTheWollo	13
262	elicobnoah	12
262	Ssor69	12
262	jushykins	12
262	m_be9	12
262	Inchef	12
262	groofles	12
262	Wowful	12
262	Shogunite	12
262	MustaLoordi	12
262	SUN_DREAM	12
262	ediballbearings	12
262	Luigipunch989	12
274	Froste131	11
274	ExtraDumb	11
274	HollieDaNugget	11
274	TerraVl	11
274	Hanselhoof	11
274	Stiar	11
274	XboxPanda	11
274	CharlieButt	11
274	TheDankPlatypus	11
274	Zythose	11
274	ApophisNova	11
274	Drewen24	11
274	Fuhrer_Teemo	11
274	Soap_Bender	11
274	Fildyr	11
274	MasterNueve	11
274	yatsuta	11
274	MyNamaSheff	11
292	Drlzyy	10
292	Merv__	10
292	error10101	10
292	ssleepless	10
292	500am	10
292	Xalithia	10
292	hcb238	10
292	_Boipl_	10
292	kars0n	10
