rank	username	minecraft:picked_up/minecraft:crafting_table
1	thewindmillman	19103
2	MilleGrug	7162
3	Frozil20	1509
4	ROY4LE	1252
5	pintsizedrogue	1134
6	noam464	1049
7	FreakGenius	711
8	Mahoose	697
9	Yamdalorian	664
10	skitzxo	644
11	Lez_	622
12	k_ce	621
13	beeperbeeper5	610
14	500am	481
15	Blackberry1310	467
16	kekhon	461
17	rarrq	459
18	HellsSponge	423
19	EMC_	411
20	EcksD	409
21	Kowcio_	403
22	Cocoamallows	376
23	Soplight	372
24	Legendosh	359
25	Eraxa	353
26	Werbe	350
27	TheShyPig	347
28	Hyp3rion_	346
29	El_Jalapeno	340
30	joethahobo	328
31	Skippeh	317
32	Di_infiri	304
33	PlasticOtari	300
34	CoffeeNoir	294
34	Akoot_	294
34	miramyu	294
37	hermmm_	290
38	livingdaydreams	281
39	m_be9	275
40	thescout7	273
41	burbankbuilder28	268
42	lordpipe	266
43	Arceus1975	261
44	luseis	259
45	Fullut	251
46	Enderxz3	246
47	mwrty	241
48	xzvu	239
49	Mr_Byzantine	238
50	Alteriity	237
51	groofles	234
52	MattieHD	232
53	pixelviolin	228
54	EveryonesUncle	226
55	Merv__	225
56	eitanzaki	214
57	Onennon	213
58	Mattesco	211
59	12Magner05	209
60	Gregward_Smith	206
60	Jackattack53	206
60	Groundler	206
63	RadarHz	204
64	TheSecondLord	201
65	Ezekson	187
66	Steelynan	180
67	Spacewardharpy7	179
68	Snowflowe	178
69	SvenskaHugo	176
70	PazinGaming	175
71	Blaiku	173
72	ImpavidArcher	171
73	Avocadogerms	166
73	ConnorDanky_	166
75	PigDab	164
76	Racengan	162
77	ApophisNova	160
77	MyNamaSheff	160
79	Deathkob	155
80	oscminus	153
81	RatatJuice	148
82	Kakolbus	147
83	fffMike	143
84	TheBananaKat	135
85	_Mythic____	133
86	vandmanden	131
87	Xalithia	130
87	MightyWertu	130
89	Rumpletaezer	128
89	YungMaki	128
89	jnp_gaming	128
92	PortlyPete69	127
93	Segotep999	125
94	Xclax101	122
95	Gzrdy	121
96	Skylord_Luke	119
97	KarlKaek	118
98	MAns_44	117
98	TechnoNinja64	117
100	Hisiste	113
101	diamondgolem35	112
102	ogoa	110
102	Jimb0nat0r	110
104	MyNameIsJobo	108
104	RebytreGT	108
106	xxPipperDipperxx	104
107	Cryptacity	102
108	Natty	101
109	Winklepicker279	100
110	fluddd	99
111	tuckerdoodle	97
111	Elastiq	97
113	U_Mos_	96
113	Krowuss	96
115	Groovy_MoonBird	95
115	set67	95
115	Inbefour	95
115	Smiguli_	95
115	SpacesickPrism	95
120	Marbz_	93
121	Historical_Sand	91
122	Paint	90
123	Eczbek	89
124	epiksk8erduck	88
124	yulgur1	88
126	Jovaphobic	87
127	Napoleonpancake	85
128	IamCL4SSY	84
128	claivin	84
130	SuperPooch06	83
130	mihimihimihi	83
132	Myszoaz	82
132	fw3xy74	82
134	Nicserso	81
135	SmashingPump	80
135	Touched_Bread	80
135	Bumpy419	80
135	Spenduh	80
139	Lutres_	79
139	DarkS0L	79
141	whoaluv	78
141	MakeHistory157	78
143	TheEnderMan548	77
144	SkateboardR6	76
145	teslawolf38	75
145	T045RTY	75
147	Bandito_Roamer	74
147	RoskobiOne	74
147	SaucyDark	74
150	PhantomsGhost_	73
150	DarlaMeow	73
152	_Dean_123	72
152	BreadBacon	72
154	Huwulling	71
154	skroobiez	71
154	Smashic	71
154	gcaisawesome	71
154	Dakar_	71
154	Quotary	71
160	CLG_Kata	70
160	Chromary	70
160	Hahaa_0	70
160	Manaateee	70
160	Kubeusz2010	70
165	pappaberg	68
165	Blu3beast	68
167	Vizzoid	67
167	LordSpeed37	67
169	_Huge_Male_	66
169	sp00ky_ghost977	66
171	Apollo_993	65
171	ProfessorBee	65
171	CharlieButt	65
171	Wowful	65
171	jcool7	65
